"source" "target" "tag"
1 2 "great"
1 2 "little"
1 2 "poor"
1 2 "strange"
1 2 "well"
1 2 "young"
1 3 "fine"
1 3 "good"
2 3 "great"
2 3 "little"
2 3 "poor"
1 3 "remarkable"
2 3 "well"
2 3 "young"
3 4 "great"
3 4 "well"
3 4 "young"
3 5 "eager"
3 5 "good"
1 5 "handsome"
1 5 "pretty"
4 5 "young"
4 6 "agreeable"
1 6 "delightful"
1 6 "extraordinary"
5 6 "good"
4 6 "great"
5 6 "handsome"
3 6 "ignorant"
3 6 "intelligent"
3 6 "little"
3 6 "pleasing"
3 6 "poor"
5 6 "pretty"
5 6 "young"
6 7 "afraid"
1 7 "excellent"
6 7 "good"
6 7 "great"
6 7 "interested"
6 7 "little"
6 7 "pretty"
6 7 "proper"
1 7 "respectable"
5 7 "satisfied"
1 7 "strong"
4 7 "tired"
3 7 "warm"
4 7 "well"
6 7 "young"
6 8 "delightful"
3 8 "fine"
7 8 "good"
7 8 "great"
6 8 "handsome"
7 8 "little"
1 8 "old"
7 8 "pretty"
2 8 "short"
6 8 "surprised"
7 8 "tired"
7 8 "well"
7 8 "young"
3 9 "affectionate"
8 9 "great"
8 9 "handsome"
7 9 "satisfied"
8 9 "well"
7 10 "charming"
8 10 "delighted"
8 10 "disappointed"
5 10 "eager"
8 10 "fine"
4 10 "glad"
8 10 "good"
3 10 "lucky"
8 10 "old"
9 10 "satisfied"
7 10 "warm"
8 10 "young"
8 12 "short"
9 12 "well"
10 12 "young"
7 13 "afraid"
10 13 "beautiful"
10 13 "delighted"
10 13 "glad"
10 13 "good"
9 13 "great"
1 13 "kind"
8 13 "little"
6 13 "pleased"
8 13 "pretty"
7 13 "strong"
10 13 "warm"
12 13 "well"
12 13 "young"
13 14 "determined"
10 14 "fair"
13 14 "glad"
1 14 "good-looking"
7 14 "interested"
13 14 "well"
13 14 "young"
1 15 "bad"
14 15 "determined"
3 15 "evil"
3 15 "giving"
13 15 "good"
13 15 "great"
9 15 "handsome"
3 15 "important"
3 15 "interesting"
