"terms";"clusters"
"#-certain";139
"#-direct";142
"#-easy";124
"#-expressive";114
"#-fast";68
"#-free";163
"#-handsome";157
"#-open";70
"#-partial";162
"#-patient";12
"#-polite";12
"#-sanguine";213
"#-sleek";31
"#-sober";89
"#-sweet";54
"#-trim";259
"#-unobservant";91
"abject";108
"abrupt";209
"acceptable";66
"accessible";249
"accurate";68
"acquiescent";109
"active";263
"acute";261
"adhesive";271
"adventurous";51
"affable";231
"affectionate";22
"aggressive";259
"alert";82
"aloof";80
"argumentative";55
"arrogant";205
"assiduous";248
"austere";140
"avaricious";76
"awkward";209
"baseless";205
"bashful";277
"benevolent";140
"benignant";217
"biddable";105
"bitter";227
"bland";178
"bluff";78
"boisterous";16
"bold";14
"boyish";143
"brave";260
"brisk";113
"bristly";86
"brutal";101
"brute";94
"businesslike";99
"busy";175
"callous";256
"calm";155
"candid";2
"capricious";43
"captious";130
"careful";127
"careless";179
"casual";221
"cautious";47
"ceremonious";91
"changeful";117
"chary";256
"chaste";108
"chatty";54
"cheerful";137
"cheery";256
"chivalrous";141
"choleric";162
"christian";59
"civil";189
"clean";207
"close";62
"clumsy";277
"coherent";8
"coming";124
"communicative";253
"compassionate";138
"complacent";43
"compliant";8
"complimentary";223
"conciliatory";35
"condescending";232
"confident";224
"confidential";58
"congenial";77
"congratulatory";162
"conscientious";37
"considerate";113
"consistent";72
"constant";13
"constrained";230
"contemplative";229
"contrary";199
"conversational";233
"cool";197
"coquettish";16
"cordial";171
"courageous";222
"courteous";217
"covetous";23
"cranky";154
"credulous";261
"crisp";90
"critical";12
"cruel";93
"cunning";238
"curious";84
"dainty";263
"dauntless";119
"decided";72
"decisive";225
"deferential";268
"defiant";211
"definite";131
"deliberate";160
"delicate";145
"demonstrative";71
"dependent";278
"deprecatory";80
"destructive";44
"determined";49
"dignified";149
"digressive";37
"diligent";144
"diplomatic";17
"direct";264
"discreet";208
"discursive";203
"disdainful";257
"dishonest";17
"disorderly";161
"dissatisfied";83
"distrustful";83
"docile";212
"dogged";164
"doleful";111
"domestic";46
"doughty";131
"downright";250
"dreamy";131
"dutiful";39
"eager";235
"earnest";26
"easy";62
"eloquent";174
"emphatic";21
"energetic";174
"enthusiastic";87
"envious";4
"equable";79
"exact";21
"excitable";80
"exclusive";274
"excursive";218
"expansive";34
"explicit";173
"expressive";84
"facetious";251
