"terms";"clusters"
"#-constant";186
"#-easy";103
"#-free";63
"#-open";105
"#-shrewd";154
"abrupt";61
"acceptable";77
"accessible";26
"accurate";13
"active";51
"acute";92
"adventurous";181
"affectionate";94
"alert";77
"argumentative";44
"assured";136
"authoritative";166
"awkward";182
"bacchanalian";42
"benevolent";77
"bitter";65
"bluff";67
"boastful";170
"bold";141
"brave";75
"brisk";85
"brute";32
"busy";62
"calm";111
"capricious";73
"careful";132
"careless";139
"casual";37
"cautious";147
"certain";153
"chary";151
"chaste";40
"cheerful";156
"cheery";34
"chivalrous";67
"christian";14
"circumstantial";161
"civil";40
"clamorous";160
"clean";123
"close";7
"clumsy";150
"cold";7
"compassionate";2
"complacent";154
"complimentary";151
"confident";50
"confidential";127
"congenial";80
"considerate";49
"constant";142
"contentious";12
"convivial";85
"cool";59
"cordial";96
"courageous";46
"crisp";20
"cruel";120
"curious";9
"dainty";83
"decided";37
"definite";116
"deliberate";182
"delicate";145
"demonstrative";6
"deprecatory";10
"destructive";160
"determined";179
"direct";14
"discreet";25
"disdainful";91
"disorderly";90
"disrespectful";182
"dissatisfied";67
"docile";35
"dogged";67
"doleful";69
"dolorous";138
"domestic";123
"dutiful";187
"eager";179
"earnest";93
"easy";54
"emotional";78
"emphatic";32
"emulative";40
"energetic";124
"exact";70
"exclusive";122
"explicit";22
"explosive";73
"expressive";23
"faithful";137
"familiar";56
"fanciful";158
"fast";47
"fearful";175
"fearless";126
"feminine";21
"ferocious";146
"fervent";55
"fierce";141
"firm";48
"fitful";163
"forcible";25
"forensic";182
"forgetful";47
"formal";100
"fraternal";146
"free";120
"fresh";139
"friendly";72
"frolicsome";108
"frugal";53
"furtive";61
"gallant";107
"gay";91
"general";88
"generous";112
"genial";32
"genteel";87
"gentle";130
"girlish";149
"glib";98
"gloomy";188
"graceful";5
"gracious";52
"grateful";66
"grave";60
"greedy";125
"gregarious";61
"gruff";38
"handsome";84
"handy";144
"hasty";74
"hateful";13
"haughty";107
"headless";68
"headlong";8
"heartless";119
"heedful";43
"heedless";35
"helpful";99
"helpless";45
"honest";187
"hopeful";18
"hopeless";28
"hostile";31
"humane";142
"humble";98
"hunted";39
"hurried";114
"immaculate";31
"immovable";95
"impatient";10
"imperative";113
"imperious";110
"imperturbable";105
"impetuous";26
"impressible";40
"independent";154
"indifferent";169
"industrious";85
"inquisitive";186
"insolent";113
"intense";49
"intimate";55
"ironical";90
"irreligious";20
"irrepressible";133
"irresolute";96
"jealous";15
"judicious";103
"just";45
"keen";182
"kind";139
"kindly";168
"lazy";67
"lenient";36
"lethargic";183
"limp";61
"lively";20
"lofty";175
"lonely";129
"loud";120
"loving";38
"loyal";186
"magnanimous";185
"malevolent";78
"martial";39
"maternal";115
"mechanical";118
"meddlesome";61
"melancholy";110
"mercenary";131
"merciful";46
"merry";40
"methodical";152
"military";16
"mincing";148
"mistrustful";91
"moderate";158
"modest";136
"moody";27
"mournful";117
"movable";142
"murderous";179
"musical";144
"mutinous";32
"natural";145
"neat";9
"negative";32
"negligent";24
"nervous";32
"nimble";65
"nonsensical";78
"obedient";113
"observant";134
"orderly";81
"original";89
"outspoken";186
"partial";160
"particular";88
"passionate";118
"passive";76
"patient";112
"patriotic";61
"peaceful";57
"peevish";122
"pensive";122
"peremptory";77
"persevering";101
"persistent";50
"placid";5
"plaintive";144
"pleasant";64
"polite";173
"politic";154
"political";101
"practical";177
"precise";105
"prophetic";86
"proud";170
"provident";122
"quick";153
"quiet";180
"random";159
"rapacious";140
"rapid";149
"rapturous";91
"reasonable";46
"reckless";135
"refined";157
"refractory";90
"religious";81
"reproachful";72
"republican";34
"resentful";172
"reserved";38
"resolute";101
"responsible";17
"responsive";79
"restless";171
"retaliative";92
"retributive";82
"revengeful";147
"revolutionary";176
"rough";58
"rude";143
"rusty";187
"ruthless";126
"sad";1
"sagacious";126
"sanguine";154
"sarcastic";85
"scientific";158
"second";153
"selfish";116
"sensible";47
"sensitive";39
"sensual";40
"sentimental";91
"serene";35
"serious";121
"shrewd";104
"shy";32
"silent";153
"simple";104
"sincere";92
"sleek";164
"slow";162
"smooth";74
"sober";99
"social";40
"soft";171
"solemn";165
"sorrowful";46
"sour";18
"speedy";186
"spiritual";142
"stable";162
"staid";158
"stalwart";186
"stately";76
"steady";188
"steep";14
"stern";25
"stiff";30
"still";49
"stolid";95
"stormy";144
"straight";23
"straightforward";63
"strict";69
"studious";56
"submissive";84
"subtle";48
"sudden";130
"sufficient";81
"suicidal";46
"sullen";83
"sunny";30
"superstitious";115
"supple";126
"sure";54
"sweet";128
"swift";179
"tender";97
"thankful";93
"thorough";109
"thoughtful";106
"tickle";186
"tight";100
"timid";46
"timorous";144
"traitorous";41
"treacherous";34
"tremulous";32
"true";180
"trusty";3
"tumultuous";122
"turbid";157
"turbulent";116
"ugly";155
"unblushing";105
"uncertain";106
"ungrateful";159
"unhappy";1
"unkind";61
"unrelenting";74
"unselfish";119
"unsteady";115
"vague";163
"vain";169
"violent";102
"virtuous";71
"voluble";61
"watchful";141
"weak";4
"wary";33
"willing";178
"windy";76
"wise";53
"trim";164
"unreserved";159
"unsuspicious";168
"zealous";136
"overbearing";182
"unscrupulous";98
"vivacious";18
"vicious";151
"urgent";29
"thankless";26
"uncomplaining";184
"verbal";154
"tortuous";135
"uncompromising";46
"vigilant";90
"treasonable";19
"vehement";168
"worldly";167
"undutiful";85
"unfeeling";174
"saintly";108
"suspicious";5
"wiser";74
"womanly";11
"unruly";157
"ungenerous";8
"severe";8
"tranquil";26
