"terms";"clusters"
"#-eager";31
"#-easy";83
"#-free";61
"#-weak";79
"#-wise";117
"abrupt";168
"acceptable";164
"accessible";174
"accurate";50
"active";19
"acute";144
"affectionate";124
"affluent";90
"aloof";123
"argumentative";47
"arrogant";90
"assuasive";10
"assured";59
"awkward";56
"baseless";77
"bitter";16
"bluff";96
"boastful";31
"boisterous";119
"bold";116
"brave";108
"brisk";146
"brutish";169
"buoyant";41
"busy";166
"calculating";132
"calm";128
"candid";70
"careful";32
"careless";25
"cautious";74
"certain";126
"chaste";106
"chatty";91
"cheerful";65
"cheery";175
"christian";63
"circuitous";161
"civil";131
"clean";27
"cleanly";91
"close";42
"cold";33
"commanding";67
"compassionate";22
"complacent";123
"complimentary";15
"conciliatory";165
"confident";176
"confidential";74
"considerate";84
"consistent";174
"constant";144
"constrained";25
"contrary";77
"conventional";25
"conversational";71
"cool";133
"cordial";61
"courageous";56
"cruel";14
"cunning";118
"curious";130
"decorous";50
"deferential";165
"defiant";121
"delicate";117
"demonstrative";174
"dependent";95
"destructive";29
"determined";58
"dictatorial";59
"diffident";117
"direct";52
"discreet";62
"dishonest";140
"disorderly";6
"dissatisfied";110
"doleful";77
"domestic";121
"dreamy";105
"dutiful";79
"eager";97
"earnest";24
"easy";153
"economical";47
"energetic";174
"enthusiastic";164
"even";165
"exact";80
"explosive";86
"expressive";60
"facetious";3
"faithful";141
"familiar";101
"fanciful";34
"fast";158
"fearful";135
"feminine";113
"fierce";134
"fiery";167
"forgiving";169
"formal";103
"frank";76
"free";109
"fresh";160
"friendly";27
"frivolous";20
"furtive";83
"gallant";123
"gay";117
"generous";142
"genial";29
"genteel";104
"gentle";73
"giddy";81
"gloomy";164
"graceful";106
"graceless";7
"gracious";164
"grateful";120
"grave";97
"greedy";164
"gritty";50
"gruff";40
"handsome";152
"handy";40
"hasty";117
"hearty";91
"heavy";170
"heedless";76
"helpless";64
"honest";137
"hopeful";150
"hopeless";28
"hospitable";64
"hostile";3
"humane";117
"humble";178
"hurried";160
"imaginative";75
"immaculate";83
"immovable";83
"impatient";157
"imperceptible";74
"imperial";136
"imperious";19
"impertinent";76
"impervious";134
"improvident";174
"impulsive";81
"incisive";148
"inconsiderate";37
"incredulous";12
"indefatigable";10
"independent";115
"indifferent";89
"indolent";50
"industrious";100
"inflexible";75
"intellectual";17
"intense";54
"intimate";79
"invincible";161
"inviolable";99
"irascible";40
"irrational";123
"jocular";53
"kind";157
"ladylike";134
"languid";62
"lazy";62
"limp";19
"lofty";121
"logical";47
"lonely";93
"loud";48
"loving";38
"magnanimous";36
"majestic";123
"maternal";40
"mathematical";155
"maudlin";135
"mechanical";164
"melancholy";139
"mercenary";77
"merciful";5
"mild";50
"mischievous";5
"modest";121
"mournful";70
"movable";29
"mute";25
"natural";26
"neat";43
"negligent";16
"nervous";122
"nigh";168
"noiseless";2
"noisy";155
"nonsensical";148
"obedient";83
"observant";77
"officious";6
"open";156
"oracular";74
"oratorical";77
"orderly";142
"original";41
"outspoken";91
"particular";107
"passive";59
"paternal";40
"patient";73
"patriotic";134
"peaceful";161
"penitent";3
"pensive";151
"persistent";50
"pert";74
"perverse";165
"philosophical";36
"pious";176
"plaintive";45
"pleasant";111
"polite";129
"political";21
"politico";47
"practical";107
"predatory";74
"proud";89
"provident";165
"prudent";143
"punctual";100
"purposeless";114
"quick";149
"rapid";49
"rapturous";164
"reasonable";44
"refined";98
"regardful";103
"reliant";152
"religious";176
"reproachful";98
"resentful";95
"reserved";80
"respectful";154
"restless";13
"rigid";50
"romantic";127
"rough";69
"rude";74
"runaway";98
"rusty";59
"sad";92
"sagacious";71
"sanguine";94
"scientific";98
"scornful";174
"second";18
"selfish";1
"sensible";68
"sentimental";9
"serene";78
"serious";81
"servile";135
"severe";176
"shrewd";177
"silent";8
"simple";130
"sincere";132
"slow";57
"smooth";105
"sober";30
"social";44
"soft";159
"solemn";168
"sorrowful";147
"sour";123
"spirited";96
"spiritual";67
"sprightly";162
"stable";88
"stately";51
"statistical";112
"steadfast";74
"steady";87
"stealthy";54
"steep";40
"stern";55
"stiff";23
"still";146
"stolid";114
"stormy";95
"straight";39
"straightforward";117
"strict";175
"strong";163
"submissive";72
"subservient";151
"subtle";39
"sudden";128
"sufficient";149
"suggestive";134
"sullen";62
"sunny";58
"susceptible";167
"suspicious";88
"sweet";102
"swift";83
"sympathetic";90
"tardy";31
"tearful";56
"tempered";151
"tender";117
"thankful";103
"thorough";36
"thoughtful";82
"tidy";114
"tight";23
"timid";85
"true";4
"trustful";117
"ugly";125
"unbending";39
"uncertain";35
"uncompromising";164
"ungracious";138
"unhappy";38
"unrelenting";25
"vague";172
"vain";173
"vicious";62
"violent";42
"vivacious";146
"vocal";145
"watchful";21
"zealous";31
"unkind";117
"tough";56
"tremulous";174
"umbrageous";19
"wise";144
"torpid";113
"windy";46
"wiser";155
"weak";73
"vehement";77
"womanly";25
"willing";66
"uncommunicative";41
"vengeful";74
"wheezy";11
"troublous";83
"wry";62
"tasteful";29
"stubborn";136
"wary";171
"visionary";61
"utilitarian";39
"ungrateful";29
