"terms";"clusters"
"#-brutal";168
"#-cold";30
"#-cordial";2
"#-easy";178
"#-fast";202
"#-free";61
"#-hearty";120
"#-pleasant";75
"#-unmindful";83
"#-wise";80
"abject";191
"abrupt";147
"acceptable";107
"active";113
"acute";217
"adventurous";69
"affable";192
"affectionate";142
"affluent";56
"amorous";18
"argumentative";30
"atheist";15
"avaricious";152
"awkward";216
"bashful";156
"bitter";150
"bland";221
"bluff";59
"boastful";139
"boisterous";68
"bold";199
"boyish";131
"brave";198
"brisk";209
"brutal";22
"buoyant";83
"businesslike";179
"busy";174
"cabalistic";134
"calm";155
"candid";167
"capricious";72
"careful";189
"careless";135
"casual";197
"cautious";153
"certain";26
"cheerful";6
"cheery";63
"childlike";173
"choleric";72
"christian";195
"circumstantial";115
"civil";41
"clamorous";33
"clean";58
"close";1
"cold";26
"communicative";41
"companionable";93
"compassionate";81
"complacent";103
"compliant";167
"complimentary";132
"concise";118
"confident";188
"confidential";176
"congenial";194
"considerate";57
"consistent";75
"constant";174
"contemplative";127
"convivial";69
"cool";128
"cordial";82
"cranky";96
"crisp";118
"critical";33
"cruel";182
"cunning";111
"curious";128
"dainty";137
"daring";169
"deceptive";80
"decided";92
"decisive";76
"deferential";51
"deliberate";67
"delicate";91
"dependent";220
"deprecatory";191
"dexterous";93
"dignified";48
"dilatory";60
"diligent";11
"direct";44
"discreet";98
"disdainful";35
"dishonest";186
"disrespectful";108
"distrustful";25
"docile";36
"domestic";16
"downright";30
"dreamy";136
"dutiful";119
"eager";23
"earnest";170
"easy";112
"eloquent";137
"emphatic";201
"energetic";2
"envious";129
"equable";172
"eulogistic";24
"even";7
"exact";71
"exclusive";114
"expansive";212
"expressive";194
"facetious";221
"faithful";9
"familiar";133
"fast";25
"fastidious";213
"fearful";58
"feminine";180
"ferocious";107
"fervent";78
"festive";208
"fierce";10
"fiery";43
"firm";124
"fitful";46
"flexible";178
"forcible";86
"forgetful";136
"formal";55
"frank";41
"fraternal";4
"free";6
"fresh";62
"friendly";154
"frigid";92
"frolicsome";213
"frugal";124
"gallant";148
"garrulous";166
"gay";106
"general";159
"generous";55
"genial";146
"genteel";200
"gentle";1
"gentlemanly";95
"giddy";109
"glib";185
"gloomy";38
"graceful";8
"gracious";55
"grateful";38
"grave";162
"greedy";146
"gritty";141
"gruff";101
"handsome";138
"handy";59
"hasty";184
"headlong";94
"heady";192
"heartless";19
"hearty";34
"heavy";62
"heedless";30
"helpless";148
"honest";159
"hopeful";185
"hopeless";101
"hospitable";107
"humane";51
"humble";62
"hurried";32
"hypocritical";87
"hysterical";56
"immaculate";218
"impatient";79
"imperative";90
"imperceptible";191
"imperturbable";27
"impetuous";64
"impish";146
"incautious";5
"inconsiderate";56
"inconstant";12
"incorruptible";218
"incredulous";87
"indefatigable";134
"indefinite";24
"independent";158
"indifferent";10
"industrious";99
"injudicious";96
"inquisitive";88
"insatiable";187
"insolent";180
"intense";185
"intimate";205
"intractable";123
"intrepid";64
"intuitive";46
"inventive";114
"inviolable";75
"inward";104
"irascible";59
"ironical";14
"irritable";108
"jealous";221
"jocose";175
"jolly";203
"jovial";132
"joyful";163
"joyous";177
"just";172
"keen";117
"kind";66
"knowing";217
"laborious";54
"laconic";146
"languid";131
"lazy";181
"limp";145
"listless";125
"literal";18
"literary";126
"lively";195
"lofty";43
"lonely";189
"loud";142
"loving";203
"majestic";190
"malicious";110
"matronly";183
"maudlin";52
"mazy";51
"meek";69
"melancholy";31
"melodramatic";213
"mercenary";122
"merciful";190
"merry";157
"methodical";15
"mild";142
"military";97
"mirthful";208
"miserly";178
"moderate";165
"modest";200
"monastic";169
"monkish";198
"monosyllabic";124
"moody";115
"mournful";174
"musical";210
"mute";42
"natural";66
"neat";89
"negative";215
"nervous";15
"newsmonger";46
"nigh";48
"nimble";211
"noiseless";116
"noisy";133
"obdurate";13
"obedient";70
"obliging";48
"obsequious";152
"observant";92
"obstinate";30
"oily";175
"opinionated";139
"oratorical";121
"original";66
"orthodox";172
"pacific";87
"partial";36
"particular";112
"passionate";60
"passive";56
"patient";184
"peaceful";157
"penitent";162
"pensive";214
"penurious";178
"peremptory";22
"persuasive";146
"pert";124
"perverse";130
"philosophical";40
"pious";73
"placid";13
"plaintive";15
"playful";65
"pleasant";112
"pleasurable";84
"pliant";146
"poetic";134
"polite";17
"politic";179
"pompous";172
"positive";144
"practical";74
"precise";121
"presumptuous";105
"promiscuous";141
"prophetic";108
"proud";161
"provident";169
"prudent";55
"punctual";12
"quick";143
"quiet";26
"radical";172
"rapid";32
"rapturous";178
"rash";206
"reasonable";202
"rebellious";177
"reckless";173
"refined";211
"reflective";169
"remorseful";177
"reproachful";61
"resigned";84
"resolute";153
"respectful";149
"responsible";162
"restless";171
"retiring";191
"revolutionary";30
"righteous";169
"rigid";109
"roguish";76
"rough";174
"rude";150
"rueful";137
"runaway";92
"rusty";47
"sad";38
"sagacious";36
"sarcastic";186
"scornful";51
"scrupulous";167
"second";154
"selfish";85
"sensible";222
"sensitive";45
"sentimental";194
"serene";86
"serious";10
"severe";178
"shrewd";3
"shrewish";152
"shy";175
"silent";112
"simple";143
"sincere";138
"sleek";165
"slippery";45
"slipshod";87
"sloppy";213
"slow";102
"sluggish";181
"sly";126
"smooth";184
"snobbish";108
"sober";9
"social";16
"soft";140
"solemn";174
"sorrowful";85
"sour";209
"specific";56
"speedy";162
"spirited";127
"spiritless";109
"spiritual";63
"spiteful";20
"spontaneous";202
"sportive";4
"stable";28
"staid";100
"stately";21
"steadfast";144
"steady";135
"stealthy";160
"steep";53
"stern";190
"stiff";201
"still";64
"strict";86
"strong";50
"studious";177
"submissive";78
"sudden";170
"sufficient";140
"suggestive";97
"sullen";183
"sunny";63
"supercilious";207
"susceptible";137
"suspicious";23
"sweet";38
"sympathetic";122
"tacit";175
"talkative";54
"tardy";49
"tearful";53
"tender";155
"thankful";79
"thoughtful";38
"thoughtless";204
"tidy";141
"tight";111
"timid";143
"tough";124
"tractable";139
"tranquil";53
"treacherous";193
"tremulous";20
"true";6
"truthful";104
"ugly";133
"unceremonious";5
"uncertain";171
"unctuous";76
"unequivocal";218
"ungrateful";44
"unguarded";166
"unhappy";42
"unmindful";215
"unresisting";101
"unsteady";46
"untoward";127
"unyielding";82
"urgent";70
"vague";196
"vain";183
"venturous";219
"verbal";146
"violent";23
"virtuous";64
"visionary";168
"vocal";210
"watchful";147
"weak";37
"willing";77
"swift";29
"vehement";183
"wise";204
"wry";5
"sprightly";144
"surly";172
"timorous";187
"unobtrusive";100
"windy";61
"worldly";104
"unchanging";131
"uncomplaining";30
"unfeminine";212
"trustful";166
"wasteful";151
"whimsical";164
"technical";4
"unkind";202
"vicious";144
"trim";39
"unsuspicious";21
"scientific";191
"wary";87
"waggish";83
"ungenerous";51
"wrathful";39
"religious";134
