"acceptable" "active" "affectionate" "awkward" "busy" "careful" "certain" "cheerful" "civil" "close" "cold" "constant" "decided" "decisive" "delicate" "determined" "direct" "domestic" "eager" "earnest" "easy" "free" "fresh" "friendly" "gallant" "general" "generous" "gentle" "grateful" "handsome" "heavy" "honest" "humble" "impatient" "independent" "indifferent" "intimate" "kind" "lively" "melancholy" "moderate" "musical" "natural" "neat" "nervous" "obliging" "open" "partial" "particular" "pleasant" "proud" "quick" "quiet" "reasonable" "rude" "sad" "sanguine" "second" "sensible" "serious" "severe" "silent" "simple" "sincere" "slow" "soft" "steady" "strong" "sudden" "sufficient" "sure" "sweet" "tempered" "thankful" "thorough" "true" "ungracious" "ungrateful" "unhappy" "unsuspicious" "vain" "weak" "willing"
"acceptable" 0 0 0 0 1 0 0 1 1 0 3 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0 1 2 1 0 0 1 0 0 1 0 2 0 0 0 0 1 0 1 1 2 0 2 0 1 0 2 1 0 1 0 2 0 0 0 1 0 0 1 1 0 1 0 1 5 1 0 0 1 1 0 0 0 0 0 0 1
"active" 0 0 1 1 1 0 0 2 0 1 0 1 0 0 0 0 0 0 1 0 2 0 1 1 0 4 2 2 1 0 0 0 0 1 1 0 0 1 1 0 1 1 2 1 0 2 2 0 1 1 1 2 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 1 1 1 5 3 0 0 0 1 0 0 1 0 0 0 0
"affectionate" 0 1 0 2 1 1 1 1 1 0 0 0 0 0 1 0 0 2 1 0 1 1 0 0 0 2 1 3 0 1 1 0 0 0 0 0 0 2 0 2 0 0 3 0 2 1 2 0 0 1 0 3 1 1 0 2 0 0 1 0 2 0 0 0 0 0 0 1 0 0 4 0 1 0 1 2 1 1 2 0 0 0 1
"awkward" 0 1 2 0 2 0 1 2 2 1 1 0 1 0 0 1 0 0 0 1 1 1 0 3 0 3 0 2 2 0 1 0 1 1 0 0 0 3 1 0 0 0 1 3 1 1 3 0 1 2 0 2 0 0 1 3 0 1 1 3 1 3 1 0 0 0 0 1 0 1 8 1 1 0 3 4 1 1 1 0 1 0 0
"busy" 1 1 1 2 0 0 3 2 2 1 3 1 0 0 1 2 0 0 5 1 1 1 4 2 2 9 1 0 4 2 1 0 2 3 2 3 0 6 0 0 1 0 4 2 0 2 1 1 4 3 0 5 1 4 1 2 1 3 4 1 1 2 3 1 1 1 0 4 2 0 11 3 1 2 1 3 1 0 2 1 1 0 1
"careful" 0 0 1 0 0 0 1 1 1 0 1 0 0 0 2 1 0 1 0 0 1 0 0 0 1 2 0 1 0 1 0 0 0 1 1 1 0 3 0 1 0 0 3 0 0 0 0 0 1 1 0 1 1 1 0 2 0 1 1 2 2 1 1 0 0 1 1 2 0 0 2 0 1 0 0 0 1 0 0 1 0 0 0
"certain" 0 0 1 1 3 1 0 1 1 1 3 2 1 2 1 2 2 1 2 1 3 0 3 4 2 6 0 0 2 2 1 0 1 1 2 4 1 5 2 0 1 1 5 1 1 2 3 0 6 4 0 3 4 2 1 3 2 3 1 1 2 5 1 1 0 2 1 9 1 0 14 2 1 3 2 7 0 0 3 1 2 1 5
"cheerful" 1 2 1 2 2 1 1 0 3 1 6 1 0 1 1 2 0 2 1 1 6 0 0 6 2 12 1 5 0 8 2 0 2 2 1 1 3 5 5 3 1 1 8 1 2 0 6 2 2 8 2 1 3 3 0 5 0 3 4 3 2 5 2 0 0 1 0 6 2 3 14 2 1 1 0 8 1 2 3 2 3 1 2
"civil" 1 0 1 2 2 1 1 3 0 1 2 0 1 0 2 1 0 1 0 0 2 0 2 2 0 4 1 2 3 2 0 0 3 1 0 4 1 6 1 1 0 1 5 0 1 3 3 1 4 6 0 2 1 2 3 3 0 1 3 2 3 0 1 0 1 1 0 1 0 0 8 0 0 0 2 5 2 1 0 0 0 0 0
"close" 0 1 0 1 1 0 1 1 1 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 3 1 1 1 1 0 1 0 0 1 0 0 0 1 0 0 0 2 0 0 0 2 1 2 4 0 0 0 0 1 1 0 2 1 0 0 0 0 0 0 1 0 1 1 0 3 3 0 0 0 1 0 1 0 0 0 0 0
