"abrupt" "affectionate" "awkward" "bold" "brutal" "busy" "careless" "certain" "cheerful" "civil" "concise" "contrary" "cruel" "curious" "delicate" "dependent" "determined" "dutiful" "eager" "earnest" "easy" "explicit" "faithful" "fearful" "flighty" "free" "friendly" "gay" "general" "generous" "genteel" "gentle" "giddy" "grateful" "grave" "hasty" "hearty" "heavy" "helpless" "hospitable" "humane" "humble" "impatient" "impertinent" "indifferent" "intimate" "kind" "lively" "loud" "melancholy" "modest" "natural" "obedient" "obliging" "officious" "open" "partial" "particular" "pleasant" "polite" "proud" "prudent" "quick" "quiet" "respectful" "romantic" "rude" "second" "sensible" "serious" "severe" "silent" "simple" "solemn" "spirited" "strong" "sudden" "sufficient" "sure" "sweet" "thankful" "thoughtful" "true" "ugly" "ungrateful" "unhappy" "unsteady" "urgent" "vain" "violent" "weak" "willing"
"abrupt" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 1 0 1 0 0 0 0 1 0 2 0 3 0 0 0 0 0 1 4 0 0 0 0 0 0 2 0 0 2 0 2 1
"affectionate" 0 0 1 1 0 1 1 2 1 0 0 0 2 0 0 0 0 2 2 1 0 0 0 0 0 0 1 0 2 0 0 0 0 2 0 0 0 0 1 0 0 0 0 3 1 0 1 2 0 1 0 2 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 2 1 0 0 2 1 0 1 1 0 0 4 2 2 0 1 1 1 1 0 0 0 1 2 1
"awkward" 0 1 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 2 1 0 2 1 2 1 1 0 0 0 0 1 0 1 0 0 1 0 0 2 0 0 0 0 2 0 0 0 1 0 0 0 0 1 4 3 0 0 1 1 0 3 0 0 0 1 1 1
"bold" 0 1 1 0 0 1 0 0 0 1 0 0 2 0 0 0 1 1 0 0 1 0 0 0 1 4 0 0 3 1 0 1 0 2 2 1 1 0 0 0 0 1 2 4 1 0 2 1 3 2 2 2 0 0 0 2 1 2 0 1 0 0 0 2 1 0 0 0 2 1 1 2 1 0 2 0 0 1 6 3 1 0 1 0 1 2 0 1 2 3 2 0
"brutal" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 1 3 0 0 0 1 0 2 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 2 0 0 1 0 0 4 0 0 1 0 0 0 1 0 0 1 0 1 0
"busy" 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 3 1 1 0 1 0 0 0 0 0 1 1 1 0
"careless" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 1 0 3 1 0 0 1 0 0
"certain" 2 2 0 0 0 0 0 0 0 2 0 0 5 1 0 1 2 0 5 2 2 0 1 0 0 3 0 0 2 2 1 1 0 2 1 0 1 0 0 0 1 2 0 5 3 1 1 1 2 1 2 4 0 2 1 0 0 3 1 1 1 0 0 2 0 1 1 3 2 2 2 3 1 1 0 2 2 1 10 2 0 0 3 0 1 1 0 1 0 3 1 3
"cheerful" 0 1 1 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 2 0 1 0 0 0 1 2 1 0 1 1 0 1 0 1 2 1 0 1 2 0 0 0 0 0 2 1 2 1 0 0 2 0 0 1 0 1 0 2 1 0 1 0 0 0 0 0 1 1 2 1 0 5 1 0 0 1 0 4 2 3 1 2 4 0 1 2 0 0 2 0 2 0
"civil" 0 0 0 1 0 1 0 2 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 3 0 1 2 0 1 1 0 0 1 0 1 1 0 0 0 0 1 3 0 1 0 1 0 0 2 1 0 0 1 1 0 1 1 1 1 0 1 1 1 0 2 0 0 1 2 1 0 0 1 0 0 1 4 0 0 0 0 0 0 0 0 0 2 0 0 0
"concise" 0 0 0 0 0 0 0 0 0 0 0 2 1 0 2 0 0 0 0 2 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 2 1 0 2 0 1 0 1 0 0 1 0 1 2 1 1 1
"contrary" 0 0 0 0 0 1 0 0 0 0 2 0 1 0 1 0 0 0 0 2 0 1 1 0 0 2 1 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 2 1 1 2 0 1 0 2 0 0 2 0 1 1 2 1 1
"cruel" 0 2 2 2 0 0 0 5 2 1 1 1 0 0 1 0 2 0 4 3 7 0 1 0 1 4 2 1 5 4 1 1 2 1 2 0 1 0 2 0 2 1 2 7 3 1 2 1 1 3 4 1 2 2 1 2 1 3 0 3 4 1 2 4 2 0 3 4 4 3 0 8 1 0 0 6 2 1 13 4 2 1 6 3 1 6 0 2 3 5 6 1
"curious" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 2 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 1 1 1 1 0 0 0 0 1 1 3 2 1 0 2 0 0 0 0 0 0 0 1 0
"delicate" 0 0 0 0 0 0 1 0 1 0 2 1 1 0 0 0 0 0 1 1 2 0 1 0 1 1 1 0 1 3 0 1 0 3 0 1 0 0 1 1 1 2 0 2 1 0 0 0 1 3 0 2 2 1 0 2 0 4 0 1 1 0 0 0 0 0 0 1 2 2 0 4 0 0 1 1 2 1 7 0 1 0 0 0 0 4 1 1 1 2 1 1
"dependent" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0 0 0 2 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 2 0 1 2 0 0 0 1 0 0 2 2 0 0 1 0 0 2 1 0 1 1 1 1
"determined" 1 0 0 1 1 0 1 2 0 1 0 0 2 0 0 0 0 0 2 0 2 1 0 0 0 2 0 0 3 3 2 0 0 2 0 0 0 1 0 0 1 3 0 2 0 1 1 0 2 0 0 2 1 1 1 2 0 1 0 1 2 1 2 0 0 0 1 1 2 0 1 3 0 0 0 1 1 0 8 2 0 0 2 0 0 3 0 1 1 2 1 0
"dutiful" 0 2 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 1 3 1 1 0 0 1 0 2 0 0 1 0 1 0
"eager" 1 2 1 0 1 1 0 5 2 1 0 0 4 1 1 1 2 0 0 1 3 0 1 0 0 3 1 2 2 2 0 1 1 2 2 1 2 2 2 1 1 1 0 4 4 0 0 2 3 0 1 3 1 1 2 0 0 4 0 0 2 1 1 3 0 3 1 2 0 2 0 4 2 0 0 2 0 1 6 4 1 2 2 0 1 2 0 1 2 3 2 1
"earnest" 0 1 2 0 0 0 0 2 0 0 2 2 3 0 1 0 0 0 1 0 1 1 1 0 0 3 1 0 1 1 0 0 1 0 0 0 0 0 1 0 1 0 0 3 1 0 0 0 3 2 0 2 1 0 0 2 0 1 0 1 1 0 0 1 0 0 1 0 1 0 0 1 0 1 0 2 1 0 6 1 1 0 1 1 0 1 0 2 1 2 1 2
"easy" 0 0 1 1 1 0 1 2 1 0 0 0 7 1 2 1 2 0 3 1 0 0 1 1 1 4 0 0 4 5 0 0 1 4 1 1 1 1 1 1 1 2 1 3 3 1 0 1 1 1 2 4 1 1 1 1 0 6 0 3 2 1 0 2 2 1 2 1 2 3 0 7 0 0 1 3 2 0 10 0 0 0 6 2 0 6 1 1 2 3 1 0
"explicit" 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 1 1 1 2 0 0 0 1 0 0 1 0 0 1 0 0 1
"faithful" 0 0 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 1 1 1 0 0 0 0 2 1 0 0 1 0 1 0 1 0 0 2 0 1 1 1 2 0 0 1 1 0 1 0 2 0 2 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 1 1 0
"fearful" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 2 0 0 0 3 1 0 4 0 0 0 1 0 0 0 0 0 0 1 2 0
"flighty" 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 2 0 0 1 1 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 2 0 0 0 0 1 0 0 0 0 0 2 0 0 3 0 0 0 1 0 1 3 1 0 0 1 0 0 0 0 0 0 1 1 0
"free" 0 0 0 4 1 1 0 3 2 3 1 2 4 0 1 1 2 0 3 3 4 1 2 1 2 0 0 1 2 4 1 2 1 3 2 1 3 1 1 1 0 3 2 4 2 3 1 1 5 1 4 3 1 1 0 0 0 3 0 2 0 0 2 2 0 1 3 0 3 2 1 5 2 3 1 2 2 2 11 1 0 1 5 1 0 1 0 1 3 6 2 2
"friendly" 0 1 0 0 0 0 0 0 1 0 1 1 2 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 2 0 0 1 1 2 0 0 0 1 1 0 1 0 1 2 0
"gay" 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 0 2 1 0 1 0 0 1 2 0 0 0 0 1 0 0 0 1 2 1 0 0 0 0 1 2 0 1 1 0 0 1 1 1 1 1 2 0 1 0 0 0 0 0 0 0 0 1 4 3 1 1 1 0 0 0 0 0 2 0 3 0
"general" 1 2 0 3 3 1 2 2 1 2 0 0 5 2 1 0 3 3 2 1 4 1 0 0 1 2 0 2 0 4 2 2 2 3 3 1 2 2 1 1 1 3 2 7 2 1 1 1 4 0 1 3 1 2 2 4 1 7 1 6 1 0 5 2 4 0 2 5 3 2 2 6 2 2 2 2 4 4 21 7 1 1 5 2 0 7 1 1 5 3 3 0
"generous" 0 0 0 1 0 0 0 2 1 0 1 1 4 0 3 2 3 0 2 1 5 0 1 1 1 4 1 0 4 0 0 1 0 4 1 1 0 1 2 0 3 3 1 4 0 2 2 1 2 3 2 3 2 1 1 2 1 1 1 2 2 0 1 0 0 0 0 3 3 2 0 5 1 0 0 3 2 2 9 4 1 0 3 1 3 6 0 2 2 5 4 3
"genteel" 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 2 2 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 4 0 0 0 1 1 0 0 0 0 0 0 0 0
"gentle" 0 0 0 1 0 0 0 1 1 1 0 0 1 1 1 0 0 0 1 0 0 0 1 0 2 2 0 2 2 1 0 0 0 0 2 1 2 0 1 0 0 2 1 3 1 1 0 1 0 1 0 1 1 1 1 4 1 3 1 0 0 1 2 0 1 0 0 0 3 1 0 2 2 1 1 1 0 2 3 3 0 0 1 0 0 1 0 0 1 1 2 0
"giddy" 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 1 0 0 1 0 1 0 1 2 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 1 0 3 0
"grateful" 1 2 1 2 0 0 2 2 1 0 0 0 1 1 3 1 2 1 2 0 4 2 1 0 0 3 1 0 3 4 0 0 0 0 1 2 1 0 1 2 0 3 0 4 4 0 4 2 4 3 1 3 2 0 0 1 2 5 1 1 1 0 0 2 0 1 0 4 4 4 1 8 2 1 1 2 2 3 12 6 1 0 0 0 2 8 1 0 3 3 4 1
