"terms";"clusters"
"abject";10
"abrupt";43
"active";45
"adventurous";33
"affectionate";47
"agile";10
"assured";3
"benevolent";2
"bitter";27
"bold";5
"busy";13
"calm";58
"certain";79
"cheerful";69
"chivalrous";33
"circumstantial";21
"clean";84
"close";62
"cold";2
"congratulatory";72
"consistent";46
"constant";32
"contrary";6
"cool";76
"cordial";3
"cruel";72
"decisive";70
"delicate";66
"dependent";43
"dilatory";59
"docile";72
"domestic";22
"eager";24
"earnest";64
"enthusiastic";20
"equitable";30
"expressive";31
"familiar";22
"fast";26
"fastidious";18
"fearful";54
"feminine";77
"fervent";7
"fierce";30
"firm";7
"free";55
"fresh";50
"gallant";33
"gay";78
"general";9
"generous";60
"genial";66
"gentle";34
"gloomy";24
"grateful";35
"hasty";25
"hateful";16
"heartless";3
"heavy";79
"helpless";37
"hopeless";21
"humane";33
"icy";43
"imaginative";76
"immutable";43
"impatient";77
"imperial";43
"inarticulate";84
"inconstant";23
"incredulous";3
"indefatigable";26
"indifferent";33
"industrious";76
"inquisitive";41
"insatiable";83
"intellectual";46
"intense";48
"intimate";73
"intuitive";18
"invincible";40
"joyous";17
"just";83
"keen";61
"kind";27
"laborious";22
"languid";77
"listless";12
"literary";72
"lively";31
"lofty";4
"lonely";6
"loud";29
"majestic";11
"melancholy";79
"mercenary";23
"metaphysical";33
"mild";74
"military";23
"moderate";75
"modest";72
"mournful";78
"murderous";70
"natural";63
"nervous";39
"obedient";76
"open";29
"original";81
"painstaking";76
"passionate";76
"passive";8
"patient";8
"peaceful";64
"placid";1
"pleasant";65
"pleasurable";53
"practical";7
"precipitous";43
"prophetic";68
"proud";51
"prudent";76
"quick";15
"quiet";25
"rapid";36
"refined";23
"republican";23
"restless";61
"romantic";77
"rough";9
"rude";69
"sad";82
"saintly";33
"scientific";75
"second";14
"selfish";28
"sensitive";81
"serene";16
"serious";57
"severe";47
"silent";50
"simple";36
"sincere";17
"slothful";10
"slow";35
"soft";67
"solemn";1
"sorrowful";1
"stately";17
"steady";8
"stiff";76
"strong";59
"sudden";56
"sufficient";55
"supple";52
"sure";21
"sweet";19
"thoughtful";33
"tranquil";40
"true";44
"tumultuous";28
"ugly";72
"uncertain";75
"unhappy";71
"vain";65
"vehement";33
"vicious";20
"violent";63
"watchful";80
"weak";49
"wise";42
"virtuous";62
"unbending";26
"woeful";38
"susceptible";6
"wiser";42
