"terms";"clusters"
"active";2
"affectionate";2
"busy";1
"careful";2
"certain";1
"cheerful";2
"clean";2
"close";1
"cold";1
"confidential";2
"cool";2
"curious";1
"delicate";2
"earnest";2
"easy";1
"faithful";2
"familiar";1
"free";1
"fresh";1
"friendly";2
"general";1
"gentle";2
"gloomy";2
"gracious";1
"grateful";2
"grave";2
"handsome";1
"heavy";1
"honest";2
"hopeful";2
"indifferent";2
"joyful";2
"kind";1
"melancholy";2
"military";2
"natural";1
"neat";2
"open";1
"particular";1
"pleasant";1
"polite";2
"practical";2
"proud";1
"quick";1
"quiet";1
"rough";2
"rusty";2
"second";1
"sensible";2
"serious";2
"silent";1
"simple";2
"slow";2
"stately";2
"steady";2
"strong";1
"sudden";1
"sufficient";2
"sure";1
"sweet";2
"thoughtful";2
"tight";2
"true";1
"unhappy";2
"watchful";2
"weak";2
"willing";2
