"terms";"clusters"
"active";37
"affectionate";10
"awkward";40
"bitter";24
"bold";3
"busy";33
"calm";31
"careful";27
"careless";31
"certain";17
"cheerful";4
"clean";39
"close";30
"cold";7
"confidential";3
"constant";12
"cool";31
"cruel";36
"curious";25
"delicate";20
"eager";33
"earnest";20
"easy";11
"expressive";25
"faithful";35
"familiar";33
"free";13
"fresh";15
"friendly";29
"general";21
"genteel";43
"gentle";26
"gloomy";10
"graceful";2
"gracious";8
"grave";31
"handsome";22
"hasty";9
"hearty";1
"heavy";32
"honest";15
"humble";24
"impatient";37
"jealous";12
"kind";15
"lively";23
"loud";44
"melancholy";30
"merry";31
"natural";44
"nervous";27
"open";21
"original";26
"particular";38
"pleasant";38
"proud";22
"quick";28
"quiet";6
"rough";34
"rusty";18
"sad";5
"second";6
"selfish";25
"serious";22
"severe";5
"silent";32
"slow";9
"soft";24
"solemn";41
"spirited";23
"stately";18
"stern";42
"strong";17
"sudden";14
"sufficient";16
"sure";19
"sweet";20
"tight";41
"true";38
"ugly";37
"unhappy";14
"vague";29
"vain";2
"vicious";31
"violent";6
"virtuous";35
"weak";11
"willing";36
