"terms";"clusters"
"bold";1
"busy";2
"calm";1
"certain";2
"cheerful";1
"close";2
"cold";2
"confidential";1
"constant";1
"cruel";1
"curious";1
"delicate";1
"earnest";1
"easy";2
"expressive";1
"familiar";1
"free";2
"fresh";1
"friendly";1
"general";2
"gentle";2
"gracious";1
"grateful";1
"grave";1
"handsome";2
"haughty";1
"heavy";2
"honest";1
"humble";1
"indifferent";1
"kind";2
"lonely";1
"melancholy";2
"mild";1
"natural";2
"open";2
"particular";2
"pleasant";1
"proud";2
"quick";1
"quiet";2
"rough";1
"sad";1
"second";2
"sensible";1
"severe";1
"silent";2
"simple";1
"slow";1
"smooth";1
"soft";1
"solemn";2
"stately";1
"steady";1
"strong";2
"sudden";1
"sure";2
"sweet";2
"thoughtful";1
"timid";1
"true";2
"unhappy";1
"vague";1
"violent";1
"weak";2
