"terms";"clusters"
"busy";2
"certain";1
"cheerful";2
"christian";2
"clean";2
"close";1
"cold";1
"constant";2
"curious";1
"determined";2
"domestic";2
"easy";1
"expressive";2
"familiar";2
"free";1
"fresh";2
"friendly";2
"general";1
"gentle";2
"gloomy";2
"grateful";2
"grave";2
"handsome";2
"heavy";1
"honest";2
"hopeless";2
"humble";2
"impatient";2
"indifferent";2
"lively";2
"lonely";2
"natural";1
"neat";2
"open";1
"particular";1
"pleasant";1
"polite";2
"proud";1
"quiet";1
"second";2
"sensible";2
"serious";2
"silent";1
"slow";2
"steady";2
"strong";1
"sudden";1
"sure";1
"suspicious";2
"sweet";2
"thoughtful";2
"true";1
"uncertain";2
"vain";2
"violent";2
"weak";2
