"active" "certain" "cheerful" "close" "cold" "constant" "determined" "domestic" "eager" "easy" "friendly" "general" "gentle" "grateful" "handsome" "kind" "lively" "modest" "natural" "open" "particular" "pleasant" "quick" "quiet" "reasonable" "sad" "second" "selfish" "sensible" "serious" "silent" "steady" "strong" "sudden" "sufficient" "sure" "sweet" "true" "unhappy" "willing"
"active" 0 2 2 2 0 2 1 2 2 1 2 5 1 0 1 2 1 2 3 0 1 2 0 4 0 1 2 1 1 0 0 3 2 1 1 4 0 1 1 1
"certain" 2 0 2 1 5 3 1 3 1 2 0 6 2 0 3 2 2 2 7 2 4 4 3 6 2 0 2 2 2 3 2 2 5 3 3 15 1 2 1 2
"cheerful" 2 2 0 1 2 1 2 2 1 4 0 4 1 0 2 1 2 1 4 2 1 4 1 3 2 1 1 0 1 0 1 3 2 2 0 7 0 2 1 0
"close" 2 1 1 0 4 2 1 2 3 2 1 5 3 1 2 3 3 2 4 2 2 4 2 3 1 0 2 1 1 3 2 6 3 2 2 4 0 4 0 2
"cold" 0 5 2 4 0 0 3 1 1 4 0 4 1 1 5 4 4 0 5 1 1 5 2 2 2 1 2 2 1 1 2 1 5 3 5 11 0 2 2 1
"constant" 2 3 1 2 0 0 1 1 1 0 1 3 3 1 1 2 2 2 4 3 3 3 0 2 1 0 0 0 2 2 1 1 4 0 0 4 1 2 0 0
"determined" 1 1 2 1 3 1 0 0 4 2 2 6 2 2 0 3 2 0 6 2 1 5 2 1 3 2 2 2 1 1 2 3 6 2 1 9 3 6 1 1
"domestic" 2 3 2 2 1 1 0 0 1 2 0 3 0 0 1 2 2 0 4 3 2 2 1 1 1 0 0 2 4 3 3 2 3 1 1 3 2 3 2 1
"eager" 2 1 1 3 1 1 4 1 0 1 2 4 1 0 1 3 2 2 5 0 2 4 3 0 0 2 4 1 1 4 2 1 3 0 2 6 1 3 0 0
"easy" 1 2 4 2 4 0 2 2 1 0 3 14 0 0 3 6 2 2 5 2 4 6 2 3 3 1 0 2 2 4 2 3 5 4 2 9 3 6 2 2
"friendly" 2 0 0 1 0 1 2 0 2 3 0 7 2 0 1 2 1 1 4 2 2 3 2 2 3 3 2 1 0 3 2 1 2 2 1 7 1 2 1 1
"general" 5 6 4 5 4 3 6 3 4 14 7 0 8 6 4 9 6 7 12 7 8 15 7 9 5 4 6 4 5 14 9 6 16 6 6 37 7 11 3 5
"gentle" 1 2 1 3 1 3 2 0 1 0 2 8 0 1 1 2 1 2 2 3 2 2 1 2 1 0 2 0 0 3 3 3 4 1 0 7 2 3 1 2
"grateful" 0 0 0 1 1 1 2 0 0 0 0 6 1 0 0 5 2 1 5 5 2 5 1 1 0 1 1 1 4 3 1 2 2 0 1 5 2 2 1 1
"handsome" 1 3 2 2 5 1 0 1 1 3 1 4 1 0 0 3 2 0 2 2 4 3 1 1 0 1 2 2 0 2 1 1 1 2 3 8 3 0 2 0
"kind" 2 2 1 3 4 2 3 2 3 6 2 9 2 5 3 0 5 3 7 4 4 8 2 1 5 3 1 3 4 6 3 1 9 3 1 12 4 6 2 1
"lively" 1 2 2 3 4 2 2 2 2 2 1 6 1 2 2 5 0 0 7 4 3 7 2 1 1 0 3 1 3 5 3 2 8 1 1 6 2 2 2 1
"modest" 2 2 1 2 0 2 0 0 2 2 1 7 2 1 0 3 0 0 2 0 1 4 4 2 1 3 0 0 2 4 1 1 3 2 2 8 1 2 1 2
