"terms";"clusters"
"#-constant";188
"#-easy";79
"#-free";154
"#-open";64
"#-shrewd";126
"abrupt";174
"acceptable";146
"accessible";26
"accurate";160
"active";29
"acute";179
"adventurous";100
"affectionate";78
"alert";146
"argumentative";90
"assured";64
"authoritative";19
"awkward";86
"bacchanalian";120
"benevolent";146
"bitter";163
"bluff";2
"boastful";20
"bold";155
"brave";119
"brisk";164
"brute";108
"busy";152
"calm";166
"capricious";36
"careful";10
"careless";13
"casual";163
"cautious";139
"certain";153
"chary";127
"chaste";167
"cheerful";47
"cheery";67
"chivalrous";26
"christian";28
"circumstantial";112
"civil";167
"clamorous";156
"clean";97
"close";192
"clumsy";137
"cold";24
"compassionate";18
"complacent";126
"complimentary";127
"confident";68
"confidential";145
"congenial";105
"considerate";63
"constant";106
"contentious";125
"convivial";69
"cool";165
"cordial";90
"courageous";84
"crisp";55
"cruel";110
"curious";183
"dainty";190
"decided";163
"definite";161
"deliberate";181
"delicate";23
"demonstrative";79
"deprecatory";123
"destructive";156
"determined";98
"direct";116
"discreet";163
"disdainful";114
"disorderly";75
"disrespectful";181
"dissatisfied";7
"docile";100
"dogged";118
"doleful";32
"dolorous";160
"domestic";92
"dutiful";83
"eager";9
"earnest";133
"easy";6
"emotional";134
"emphatic";48
"emulative";167
"energetic";140
"exact";3
"exclusive";88
"explicit";49
"explosive";36
"expressive";130
"faithful";52
"familiar";14
"fanciful";135
"fast";159
"fearful";121
"fearless";40
"feminine";59
"ferocious";77
"fervent";58
"fierce";111
"firm";16
"fitful";71
"forcible";163
"forensic";181
"forgetful";178
"formal";44
"fraternal";175
"free";54
"fresh";183
"friendly";52
"frolicsome";89
"frugal";171
"furtive";53
"gallant";187
"gay";154
"general";6
"generous";170
"genial";108
"genteel";27
"gentle";132
"girlish";44
"glib";76
"gloomy";15
"graceful";36
"gracious";111
"grateful";65
"grave";147
"greedy";77
"gregarious";53
"gruff";32
"handsome";33
"handy";82
"hasty";168
"hateful";160
"haughty";46
"headless";143
"headlong";27
"heartless";142
"heavy";85
"heedful";184
"heedless";100
"helpful";43
"helpless";147
"honest";131
"hopeful";40
"hopeless";116
"hostile";176
"humane";106
"humble";76
"hunted";137
"hurried";110
"immaculate";176
"immovable";139
"impatient";71
"imperative";31
"imperious";50
"imperturbable";67
"impetuous";26
"impressible";167
"independent";126
"indifferent";111
"industrious";69
"inquisitive";188
"insolent";104
"intense";63
"intimate";1
"ironical";75
"irreligious";35
"irrepressible";141
"irresolute";90
"jealous";37
"judicious";73
"just";71
"keen";86
"kind";119
"kindly";2
"lazy";118
"lenient";90
"lethargic";34
"limp";53
"lively";35
"lofty";95
"lonely";72
"loud";162
"loving";32
"loyal";188
"magnanimous";70
"malevolent";134
"martial";137
"maternal";194
"mechanical";117
"meddlesome";53
"melancholy";50
"mercenary";66
"merciful";84
"merry";167
"methodical";186
"military";107
"mincing";45
"mistrustful";114
"moderate";135
"modest";64
"moody";26
"mournful";193
"movable";106
"murderous";42
"musical";82
"mutinous";108
"natural";113
"neat";124
"negative";108
"negligent";91
"nervous";48
"nimble";163
"nonsensical";134
"obedient";81
"observant";150
"open";85
"orderly";61
"original";99
"outspoken";188
"partial";156
"particular";131
"passionate";117
"passive";122
"patient";157
"patriotic";158
"peaceful";170
"peevish";148
"pensive";148
"peremptory";172
"persevering";93
"persistent";140
"placid";2
"plaintive";82
"pleasant";23
"polite";41
"politic";126
"political";93
"practical";38
"precise";104
"prophetic";182
"proud";20
"provident";88
"quick";62
"quiet";153
"random";55
"rapacious";184
"rapid";157
"rapturous";114
"reasonable";84
"reckless";178
"refined";129
"refractory";75
"religious";83
"reproachful";35
"republican";67
"resentful";104
"reserved";138
"resolute";102
"responsible";60
"responsive";27
"restless";109
"retaliative";76
"retributive";52
"revengeful";96
"revolutionary";70
"rough";21
"rude";106
"rusty";17
"ruthless";40
"sad";133
"sagacious";125
"sanguine";11
"sarcastic";69
"scientific";135
"second";24
"selfish";161
"sensible";159
"sensitive";137
"sensual";167
"sentimental";114
"serene";100
"serious";142
"shrewd";115
"shy";108
"silent";62
"simple";115
"sincere";36
"sleek";144
"slow";191
"smooth";168
"sober";43
"social";190
"soft";109
"solemn";57
"sorrowful";42
"sour";120
"speedy";188
"spiritual";106
"stable";103
"staid";135
"stalwart";188
"stately";122
"steady";21
"steep";28
"stern";163
"stiff";30
"still";60
"stolid";59
"stormy";82
"straight";151
"straightforward";31
"strict";32
"strong";85
"studious";169
"submissive";39
"subtle";177
"sudden";62
"sufficient";61
"suicidal";25
"sullen";190
"sunny";47
"superstitious";194
"supple";40
"sure";153
"sweet";119
"swift";9
"tender";189
"thankful";133
"thorough";22
"thoughtful";186
"tickle";188
"tight";74
"timid";9
"timorous";82
"traitorous";106
"treacherous";67
"tremulous";48
"true";153
"trusty";185
"tumultuous";88
"turbid";8
"turbulent";161
"ugly";87
"unblushing";104
"uncertain";173
"ungrateful";55
"unhappy";183
"unkind";53
"unrelenting";168
"unselfish";37
"unsteady";38
"vague";185
"vain";136
"violent";149
"virtuous";101
"voluble";5
"watchful";155
"weak";132
"wary";180
"willing";52
"windy";122
"wise";177
"trim";144
"unreserved";55
"unsuspicious";90
"zealous";80
"overbearing";181
"unscrupulous";76
"vivacious";120
"vicious";127
"urgent";56
"thankless";26
"uncomplaining";128
"verbal";12
"tortuous";178
"uncompromising";25
"vigilant";75
"treasonable";176
"vehement";2
"worldly";4
"undutiful";69
"unfeeling";88
"saintly";89
"suspicious";36
"wiser";94
"womanly";138
"unruly";8
"ungenerous";51
"severe";26
"tranquil";51
