"terms";"clusters"
"#-close";69
"#-grateful";9
"#-mim";17
"#-silent";120
"#-straight";29
"#-sure";111
"#-weak";182
"abject";39
"abrupt";162
"acceptable";99
"active";183
"acute";76
"adventurous";181
"affable";195
"affectionate";127
"aloof";217
"amorous";234
"awkward";57
"benevolent";168
"benign";10
"benignant";27
"bitter";82
"bland";7
"blithe";7
"bluff";244
"boisterous";114
"bold";110
"boyish";196
"brave";50
"brisk";192
"brutal";20
"brute";208
"buoyant";215
"busy";160
"calm";44
"candid";4
"capricious";220
"careful";237
"careless";82
"casual";157
"catholic";77
"cautious";205
"censorious";11
"certain";238
"changeable";122
"charitable";226
"chaste";27
"cheerful";110
"cheery";97
"choleric";58
"christian";195
"circuitous";224
"civil";30
"clamorous";186
"clean";113
"close";86
"clumsy";208
"coherent";150
"cold";238
"combustible";245
"commanding";213
"communicative";43
"companionable";43
"compassionate";66
"complacent";219
"complimentary";204
"conciliatory";108
"condescending";153
"confident";54
"confidential";173
"congenial";171
"conscientious";131
"conscionable";88
"considerate";115
"consistent";162
"constant";79
"conventional";208
"conversational";90
"convivial";245
"cool";137
"coquettish";43
"cordial";11
"courageous";200
"courteous";36
"cowardly";169
"credulous";211
"crisp";100
"critical";216
"cruel";50
"cunning";190
"curious";137
"dainty";18
"daring";63
"decorous";64
"deferential";209
"definite";197
"delicate";31
"dependent";196
"despotic";13
"destructive";176
"determined";16
"devout";176
"dexterous";119
"dignified";8
"direct";198
"discourteous";48
"discreet";111
"disdainful";233
"disorderly";221
"disrespectful";207
"dissatisfied";153
"distrustful";4
"dogged";125
"doleful";126
"domestic";204
"downright";232
"dreamy";214
"eager";206
"earnest";75
"easy";184
"emphatic";212
"emulous";3
"energetic";64
"enthusiastic";171
"envious";134
"equable";242
"even";134
"exact";215
"excitable";144
"exclusive";185
"explicit";151
"expressive";203
"faithful";130
"faithless";212
"familiar";65
"fanciful";32
"fast";225
"fearful";206
"feminine";34
"ferocious";135
"fervent";7
"festive";64
"fickle";148
"fierce";243
"fiery";41
"firm";41
"fitful";43
"flighty";67
"flippant";122
"forcible";24
"forgetful";36
"forgiving";235
"formal";209
"frank";96
"free";165
"fresh";95
"friendly";116
"frivolous";47
"frugal";210
"gallant";178
"gay";74
"general";110
"generous";62
"genial";134
"genteel";204
"gentle";19
"gentlemanly";189
"giddy";194
"gloomy";49
"graceful";84
"gracious";74
"grateful";38
"grave";56
"greedy";163
"gregarious";28
"gruff";203
"guarded";168
"halting";149
"handsome";19
"handy";223
"hasty";104
"hateful";224
"haughty";162
"headlong";41
"heartless";48
"hearty";50
"heavy";184
"heedless";226
"helpless";152
"heretical";52
"honest";110
"hopeful";192
"hopeless";222
"hospitable";229
"humble";14
"hunted";139
"hurried";202
"hysterical";39
"icy";3
"immovable";128
"impatient";104
"imperative";11
"imperious";118
"impertinent";125
"imperturbable";21
"impetuous";200
"impious";5
"incautious";177
"inconsiderate";151
"inconstant";167
"incorruptible";180
"incredulous";11
"indefinite";157
"independent";87
"indifferent";77
"indolent";189
"indomitable";233
