"terms";"clusters"
"#-close";239
"#-cold";168
"#-considerate";242
"#-curious";113
"#-free";201
"#-handsome";124
"#-honest";7
"#-hopeful";257
"#-neat";3
"#-open";142
"#-partial";35
"#-true";241
"abrupt";153
"acceptable";256
"accessible";123
"accurate";3
"active";266
"acute";223
"adventurous";189
"affable";132
"affectionate";194
"aloof";129
"animated";274
"argumentative";24
"arrogant";231
"artistic";248
"assured";195
"austere";102
"avaricious";265
"awkward";210
"bashful";139
"benevolent";114
"benignant";49
"bitter";108
"bland";56
"bluff";73
"boastful";66
"boisterous";231
"bold";122
"boyish";211
"brave";134
"brisk";76
"brutal";85
"busy";59
"calculating";274
"callous";150
"calm";167
"candid";275
"capricious";30
"captious";206
"careful";16
"careless";186
"casual";99
"censorious";229
"ceremonious";279
"certain";38
"changeable";110
"charitable";270
"chary";26
"chaste";109
"chatty";263
"cheerful";205
"cheery";81
"chivalrous";53
"christian";99
"circumspect";31
"civil";204
"classic";196
"clean";173
"close";251
"clumsy";12
"coherent";82
"cold";64
"combative";117
"compassionate";83
"complacent";237
"complimentary";146
"conceited";226
"conciliatory";41
"concise";193
"condescending";61
"confident";270
"confidential";244
"congenial";281
"considerate";277
"consistent";98
"constant";236
"contemplative";80
"contentious";271
"contrary";14
"conversational";247
"convivial";79
"cool";161
"cordial";225
"courageous";190
"courteous";190
"crisp";176
"critical";265
"cruel";19
"cunning";198
"curious";253
"dainty";136
"dandy";79
"decisive";183
"deferential";24
"defiant";207
"definite";12
"deliberate";105
"delicate";243
"demonstrative";233
"demure";261
"dependent";43
"despotic";53
"destructive";192
"desultory";51
"determined";144
"dignified";184
"diligent";170
"direct";55
"discourteous";142
"discreet";99
"disdainful";176
"disorderly";34
"dispassionate";90
"dissatisfied";143
"distrustful";201
"doleful";79
"domestic";154
"dreamy";269
"dutiful";273
"eager";252
"earnest";194
"easy";38
"eloquent";36
"emphatic";188
"energetic";270
"enthusiastic";174
"envious";117
"equable";90
"equitable";164
"eulogistic";53
"exact";45
"excitable";39
"exclusive";48
"expansive";39
"explicit";229
"expressive";100
"faithful";63
"familiar";251
"fast";184
"fastidious";80
"fatherly";71
"fearful";47
"feminine";143
"ferocious";203
"fervent";98
"fervid";61
"fickle";206
"fierce";68
"fiery";134
"firm";170
"fitful";281
"flighty";33
"forcible";86
"forensic";30
"forgetful";245
"forgiving";41
"formal";152
"forward";250
"frank";141
"free";17
"fresh";182
"fretful";124
"friendly";262
"frigid";52
"frivolous";214
"frolicsome";142
"frugal";164
"gallant";264
"gay";167
"general";259
"generous";222
"genial";180
"genteel";8
"gentle";97
"gentlemanly";37
"giddy";156
"girlish";57
"glib";26
"gloomy";42
"graceful";163
"graceless";178
"gracious";249
"grateful";161
"grave";266
"greedy";200
"gruff";69
"halting";117
"handsome";17
"handy";269
"hasty";11
"hateful";77
"haughty";27
"headless";181
"headstrong";212
"hearty";29
"heavy";64
"helpless";50
"honest";97
"hopeful";4
"hopeless";144
"hospitable";169
"hostile";119
"humane";92
"humble";158
"hurried";18
"icy";133
"immaculate";218
"immovable";19
"impatient";141
"imperial";257
"imperious";207
"impersonal";55
"imperturbable";67
"impetuous";78
"impressible";31
"inarticulate";35
"inconstant";31
"incurious";235
"indefatigable";177
"indefinite";148
"independent";210
"indifferent";95
"indomitable";70
"indulgent";26
"industrious";13
"inexpressive";263
"inflammable";123
"inflexible";203
"ingenuous";50
"inquisitive";129
"insolent";61
"intellectual";151
"intemperate";219
"intense";23
"intimate";191
"intrusive";121
"intuitive";133
"inward";18
"irascible";9
"irrational";20
"irresponsive";248
"irritable";117
"jealous";68
"jocose";20
"jocular";233
"joyful";104
"joyous";214
"just";109
"keen";171
"kind";17
"laborious";77
"lackadaisical";79
"laconic";80
"laggard";157
"languid";272
"lavish";267
"lax";217
"leisurely";34
"lenient";231
"limp";160
"listless";240
"literal";15
"lithe";123
"litigious";206
"lively";169
"lofty";36
"lonely";127
"loquacious";66
"loud";222
"loving";162
"loyal";33
"magnanimous";80
"magpie";126
"majestic";197
"malicious";22
"martial";213
"maternal";53
"matronly";187
"mechanical";153
"meek";58
"melancholy";63
"mercenary";89
"merry";228
"methodical";15
"mild";45
"military";243
"mirthful";109
"mischievous";264
"miserly";74
"mistrustful";61
"moderate";93
"modest";188
"moody";96
"motherly";131
"mournful";126
"murderous";30
"musical";173
"mute";179
"natural";259
"neat";266
"negative";258
"neglectful";55
"negligent";7
"nervous";84
"nigh";242
"nimble";37
"noiseless";140
"noisy";102
"nonsensical";276
"obdurate";218
"obedient";238
"obliging";172
"obsequious";106
"observant";171
"obstinate";221
"oily";73
"open";259
"orderly";15
"original";47
"orthodox";257
"owlish";41
"painstaking";109
"partial";116
"particular";182
"passionate";207
"passionless";80
"patient";272
"patriotic";250
"peaceful";228
"penitent";52
"persevering";20
"persistent";248
"persuasive";34
"pertinacious";82
"perverse";159
"petulant";239
"philosophical";133
"pious";78
"placid";132
"plaintive";197
"playful";275
"pleasant";64
"pleasurable";93
"polite";222
"politic";39
"political";196
"positive";54
"possessive";232
"practical";199
"precise";24
"prejudiced";21
"presumptuous";5
"prompt";118
"proud";251
"prudent";49
"punctual";185
"quarrelsome";208
"quick";251
"quiet";259
"rapacious";147
"rapid";27
"rapturous";111
"rash";9
"reasonable";277
"rebellious";238
"refined";200
"regretful";142
"relentless";35
"religious";274
"remorseful";106
"reproachful";247
"resentful";165
"resolute";179
"respectful";210
"responsible";255
"responsive";187
"restless";28
"rigid";112
"romantic";227
"rough";107
"rude";92
"rusty";42
"sad";8
"sagacious";270
"sanguine";81
"sarcastic";91
"scientific";212
"scornful";192
"scrupulous";37
"second";251
"selfish";10
"sensible";254
"sensitive";116
"sentimental";80
"serene";50
"serious";104
"servile";267
"severe";144
"shrewd";278
"shy";44
"silent";17
"simple";262
"sincere";22
"sleek";6
"slippery";130
"slow";145
"sly";268
"smooth";252
"smutty";110
"snappish";165
"sociable";159
"social";202
"soft";25
"solemn";236
"solicitous";206
"sorrowful";252
"sour";103
"spasmodic";39
"speedy";46
"spirited";125
"spiritual";234
"splenetic";239
"spontaneous";215
"sportive";1
"sprightly";6
"stable";120
"staid";168
"stalwart";203
"stately";40
"steadfast";62
"steady";209
"stealthy";6
"steep";72
"stentorian";22
"stern";180
"stiff";13
"still";246
"stolid";101
"stormy";258
"straight";119
"straightforward";52
"strict";237
"strong";38
"stubborn";257
"studious";46
"subtle";76
"sudden";249
"sufficient";230
"suggestive";6
"suicidal";159
"sullen";238
"sunny";27
"supercilious";94
"sure";128
"surly";65
"susceptible";278
"suspicious";116
"sweet";175
"systematic";155
"talkative";216
"tardy";115
"tart";22
"tenacious";248
"tender";44
"testy";276
"thankful";11
"thankless";155
"thorough";2
"thoughtful";107
"ticklish";48
"tidy";121
"tight";236
"timid";237
"tough";148
"tractable";238
"traditional";149
"tranquil";146
"treacherous";72
"tremulous";166
"trenchant";231
"trim";123
"troublous";157
"true";259
"truthful";103
"ugly";84
"unassuming";115
"uncertain";185
"unchanging";174
"uncharitable";193
"uncomplaining";271
"undecided";87
"ungrateful";108
"unhappy";205
"unmindful";271
"unreserved";220
"unselfish";121
"unsteady";69
"unsuspicious";41
"unvarying";281
"unwary";138
"upstart";94
"vague";32
"vain";256
"vehement";151
"vicious";98
"vigilant";75
"violent";180
"vivacious";135
"vocal";138
"wary";77
"watchful";60
"weak";260
"whimsical";135
"willing";244
"wiser";189
"wishful";224
"zealous";68
"worldly";199
"undutiful";137
"verbal";172
"umbrageous";26
"virtuous";3
"wise";32
"scholarly";123
"woeful";70
"urgent";268
"wry";248
"trustful";86
"untidy";139
"trusty";2
"turbulent";3
"unbending";177
"unerring";109
"wasteful";242
"womanly";88
"unmerciful";150
"sober";193
"vindictive";61
"unkind";33
"unscrupulous";35
"waggish";73
"wrathful";90
"uncivil";265
"unpolite";123
"sympathetic";80
"unpretending";62
"thoughtless";280
"unresisting";106
"swift";187
"unworldly";265
"windy";187
