"terms";"clusters"
"#-cheerful";263
"#-forthcoming";83
"#-gay";74
"#-guarded";166
"#-hasty";177
"#-hopeless";208
"#-indifferent";229
"#-lawless";194
"#-loud";52
"#-proud";97
"#-sure";55
"#-vain";74
"abject";89
"abrupt";192
"academic";273
"acceptable";139
"accessible";95
"accurate";38
"active";18
"acute";248
"adventurous";55
"affable";245
"affectionate";76
"aloof";234
"anticipative";199
"arbitrary";106
"argumentative";216
"arrogant";180
"artistic";195
"assured";173
"austere";244
"avaricious";93
"awkward";125
"bacchanalian";186
"bashful";240
"benevolent";205
"benignant";196
"bitter";121
"bland";111
"blithe";74
"bluff";32
"boastful";210
"boisterous";233
"bold";184
"boyish";142
"brave";110
"brisk";168
"brutal";15
"busy";71
"calm";159
"capricious";26
"careful";230
"careless";164
"casual";225
"ceremonious";64
"certain";149
"changeable";74
"charitable";180
"chary";101
"cheerful";80
"cheery";132
"chivalrous";219
"christian";30
"civil";239
"clean";223
"close";51
"clumsy";50
"cold";90
"commanding";111
"communicative";257
"companionable";210
"compassionate";205
"complacent";43
"complimentary";105
"conceited";182
"conciliatory";64
"condescending";179
"confident";118
"confidential";59
"congenial";2
"conscientious";267
"considerate";192
"consistent";218
"constant";254
"contemplative";89
"contrary";8
"conventional";26
"conversational";93
"convivial";257
"cool";53
"cordial";211
"courageous";173
"cranky";63
"crisp";153
"critical";17
"cruel";94
"cunning";75
"curious";224
"daring";182
"decided";148
"decisive";155
"deferential";77
"defiant";116
"definite";221
"deliberate";16
"delicate";96
"demonstrative";194
"demure";128
"dependent";188
"deprecatory";124
"despotic";106
"desultory";20
"detached";167
"determined";255
"dignified";248
"diligent";47
"direct";185
"discreet";123
"disdainful";155
"dishonest";36
"disorderly";119
"dispassionate";88
"disrespectful";143
"dissatisfied";1
"distempered";67
"distrustful";249
"doleful";7
"domestic";264
"dreamy";84
"dutiful";114
"eager";33
"earnest";90
"easy";109
"ecstatic";21
"eloquent";169
"elusive";106
"emphatic";228
"enthusiastic";66
"envious";95
"equable";156
"erratic";75
"exact";164
"exclusive";42
"expeditious";163
"explicit";265
"explosive";82
"expressive";78
"faithful";68
"familiar";23
"fanciful";235
"fast";57
"fatherly";20
"fawning";226
"fearful";57
"fearsome";199
"feminine";250
"ferocious";6
"fervent";13
"festive";216
"fickle";103
"fierce";58
"fiery";172
"firm";49
"fitful";178
"flighty";233
"flip";62
"forgetful";219
"forgiving";9
"formal";99
"forthcoming";201
"fractious";62
"frank";152
"free";159
"fresh";159
"fretful";251
"friendly";94
"frigid";97
"frugal";265
"furtive";115
"gallant";237
"gay";5
"general";149
"generous";254
"genial";141
"genteel";215
"gentle";23
"gentlemanly";171
"giddy";24
"girlish";127
"gloomy";142
"graceful";185
"gracious";224
"grateful";184
"grave";109
"greedy";148
"gritty";61
"gruff";213
"grumpy";248
"guarded";89
"handsome";94
"handy";174
"hasty";73
"haughty";69
"headlong";248
"hearty";215
"heavy";80
"heedless";250
"helpful";265
"helpless";237
"heretical";54
"honest";51
"hopeful";158
"hopeless";121
"hospitable";148
"humble";197
"hurried";231
"hypocritical";37
"hysterical";102
"imaginative";238
"immaculate";86
"immovable";70
"impatient";4
"imperceptible";82
"imperious";130
"impertinent";97
"imperturbable";39
"impervious";194
"impetuous";198
"impious";15
"improvident";62
"impudent";172
"inarticulate";138
"inconsiderate";217
"inconstant";213
"incredulous";87
"indefinite";193
"independent";262
"indifferent";12
"indomitable";182
"indulgent";34
"industrious";57
"inexpensive";135
"inexpressive";74
"inflexible";220
"ingenuous";52
"injudicious";144
"inquisitive";214
"insatiable";101
"intellectual";233
"intense";107
"intimate";255
"intolerant";66
"intractable";88
"intrusive";212
"inviolable";251
"inward";101
"irresolute";271
"irritable";129
"jaunty";165
"jealous";189
"jemmy";103
"jocose";143
"jocular";210
"jolly";104
"jovial";257
"joyful";100
"joyous";265
"judicious";134
"just";210
"keen";88
"kind";48
"laborious";153
"lackadaisical";35
"languid";193
"lawless";146
"lax";27
"lazy";118
"limp";40
"listless";129
"literal";111
"lively";28
"lofty";171
"logical";190
"lonely";28
"loquacious";250
"loud";131
"loving";145
"loyal";47
"lucid";74
"magnanimous";89
"magpie";269
"majestic";116
"malevolent";151
"malicious";120
"masculine";54
"maudlin";35
"mechanical";182
"meek";247
"melancholy";240
"mercenary";84
"merciful";102
"merciless";20
"merry";231
"metropolitan";201
"mild";170
"military";42
"mischievous";91
"moderate";268
"modest";41
"monkish";243
"moody";181
"motherly";227
"mournful";246
"musical";160
"mute";85
"natural";149
"neat";68
"negative";260
"negligent";34
"nervous";68
"nigh";174
"nimble";132
"noiseless";39
"nonsensical";44
"obdurate";31
"obedient";144
"obliging";11
"observant";53
"officious";112
"open";48
"oracular";77
"orderly";4
"original";12
"outspoken";147
"partial";18
"particular";92
"passionate";255
"passionless";44
"passive";138
"patient";59
"patriotic";47
"peaceful";123
"penitent";83
"pensive";272
"penurious";93
"peremptory";95
"perverse";253
"pettish";242
"philosophical";144
"phlegmatic";187
"pious";46
"placid";22
"plaintive";166
"playful";79
"pleasant";19
"pliant";122
"polite";140
"political";212
"positive";113
"practical";170
"precise";155
"presumptuous";265
"prompt";268
"prophetic";152
"proud";23
"prudent";7
"puffy";179
"punctilious";213
"punctual";139
"querulous";229
"quick";270
"quiet";149
"random";127
"rapid";127
"rapturous";266
"rash";86
"reasonable";205
"rebellious";161
"regal";242
"regardful";219
"regretful";16
"relentless";213
"reliant";196
"religious";157
"remorseful";111
"reproachful";126
"resentful";111
"resigned";91
"resolute";164
"resolved";199
"respectful";211
"responsible";162
"restless";145
"revengeful";249
"rigid";130
"rigorous";179
"romantic";45
"rough";109
"rude";235
"runaway";87
"rusty";3
"ruthless";193
"sad";96
"sagacious";42
"sanguine";203
"sarcastic";178
"scholastic";37
"scientific";204
"scornful";263
"scrupulous";137
"second";92
"selfish";254
"sensible";76
"sensitive";117
"sentimental";155
"serene";85
"serious";76
"servile";89
"severe";126
"sheepish";31
"shrewd";194
"shy";140
"silent";19
"simple";60
"sincere";72
"sleek";132
"slippery";38
"sloppy";273
"slow";51
"sluggish";226
"smooth";5
"sober";223
"social";222
"soft";94
"solemn";25
"solicitous";247
"sorrowful";145
"sour";120
"specific";111
"speedy";190
"spirited";236
"spiritless";1
