"terms";"clusters"
"#-accessible";89
"#-handsome";7
"#-heavy";109
"#-reasonable";7
"#-sure";88
"#-vain";8
"active";30
"acute";3
"affectionate";65
"assured";88
"awkward";69
"bitter";111
"bold";68
"busy";36
"calm";81
"careless";6
"certain";75
"changeable";101
"cheerful";13
"christian";72
"civil";44
"clean";97
"close";6
"cold";51
"communicative";70
"complimentary";20
"conciliatory";61
"confident";29
"confidential";104
"conscientious";70
"consistent";25
"constant";13
"contrary";56
"cool";80
"cordial";30
"critical";40
"cruel";95
"curious";110
"decided";1
"decisive";88
"delicate";98
"determined";50
"dignified";56
"direct";46
"disrespectful";55
"dissatisfied";100
"domestic";107
"dutiful";88
"eager";65
"earnest";39
"easy";50
"ecstatic";1
"explicit";71
"faithful";24
"familiar";92
"fearful";32
"fervent";87
"fickle";46
"firm";104
"fraternal";101
"free";36
"fresh";49
"friendly";73
"frivolous";40
"gallant";103
"gay";96
"general";86
"generous";18
"genteel";72
"gentle";5
"gentlemanlike";7
"gloomy";51
"graceful";42
"gracious";91
"grateful";39
"grave";93
"greedy";16
"guarded";91
"handsome";4
"hateful";16
"hearty";88
"heavy";14
"heedless";62
"helpless";15
"honest";94
"hopeful";79
"hopeless";109
"humble";99
"immovable";8
"impartial";74
"impatient";18
"impertinent";33
"impetuous";111
"inconstant";101
"independent";12
"indifferent";96
"indulgent";42
"industrious";106
"intellectual";92
"intense";79
"intimate";83
"irritable";81
"jealous";108
"joyful";39
"judicious";45
"just";90
"keen";9
"kind";23
"languid";22
"lazy";1
"lenient";63
"literary";105
"lively";5
"lofty";31
"lonely";81
"loud";91
"malevolent";104
"malicious";62
"maternal";83
"mild";54
"military";30
"mischievous";27
"miserly";31
"moderate";85
"modest";63
"monastic";89
"natural";77
"neat";45
"negligent";54
"noisy";69
"obliging";90
"obstinate";104
"open";43
"original";1
"partial";51
"particular";4
"patient";84
"pensive";20
"perverse";55
"pitiless";89
"placid";21
"playful";21
"pleasant";59
"polite";52
"positive";13
"proud";82
"punctual";31
"quick";75
"quiet";64
"random";70
"rapid";85
"rapturous";89
"reasonable";37
"refined";25
"religious";20
"resentful";20
"resolute";72
"respectful";103
"restless";1
"romantic";81
"rude";48
"sad";53
"sanguine";26
"scrupulous";63
"second";43
"sedentary";106
"selfish";102
"sensible";38
"sentimental";27
"serious";48
"servile";28
"severe";67
"shy";1
"silent";51
"simple";94
"sincere";5
"sly";27
"smooth";33
"sober";103
"social";87
"solemn";2
"solicitous";42
"speedy";76
"sportive";78
"stable";56
"steady";12
"steep";52
"stormy";91
"strict";104
"strong";50
"stubborn";35
"sudden";86
"sufficient";110
"sullen";47
"sure";86
"sweet";65
"sympathetic";66
"tacit";60
"tasteful";90
"tender";19
"thankful";52
"thoughtless";22
"treacherous";20
"tremulous";8
"true";23
"ugly";101
"uncertain";34
"uncheerful";110
"uncivil";61
"uncoquettish";88
"ungenerous";96
"unhappy";14
"unkind";108
"unsteady";58
"unsuspicious";81
"untoward";17
"urgent";108
"violent";32
"watchful";109
"unprejudiced";88
"traditional";89
"vain";65
"wise";10
"swift";47
"unfriendly";60
"unguarded";19
"unpretending";41
"willing";57
"worldly";7
"whimsical";91
"unreserved";72
"ungraceful";71
"tidy";29
"virtuous";104
"uncandid";106
"temperate";11
"thorough";89
"uncritical";66
