"terms";"clusters"
"#-buff";161
"#-certain";163
"#-curious";116
"#-fast";98
"#-strong";80
"#-sure";48
"abject";213
"abrupt";103
"accurate";125
"active";40
"acute";230
"adventurous";204
"affable";65
"affectionate";162
"aloof";74
"amorous";166
"animated";142
"apathetic";256
"argumentative";163
"assiduous";90
"awkward";139
"bashful";94
"belligerent";267
"benevolent";57
"benign";118
"benignant";51
"bitter";55
"bland";259
"bloodthirsty";105
"boastful";109
"boisterous";34
"bold";204
"boyish";78
"brave";133
"brisk";113
"brutal";43
"buoyant";132
"busy";83
"cabalistic";180
"callous";267
"calm";9
"candid";205
"canny";239
"captious";236
"careful";93
"careless";257
"casual";85
"cautious";126
"ceremonious";209
"certain";17
"charitable";171
"chaste";256
"cheerful";99
"chivalrous";103
"choleric";5
"christian";160
"circumstantial";235
"civil";104
"clean";93
"cleanly";16
"close";225
"clumsy";75
"coherent";59
"cold";150
"commanding";249
"communicative";175
"companionable";247
"compassionate";58
"complacent";181
"complimentary";52
"conciliatory";185
"condescending";31
"confident";230
"confidential";35
"congenial";242
"congratulatory";27
"conscientious";148
"considerate";100
"consistent";120
"constant";54
"contemplative";60
"contrary";176
"conversable";141
"conversational";28
"convivial";3
"cool";40
"coquettish";217
"cordial";55
"courteous";65
"covetous";117
"crisp";153
"critical";96
"cruel";44
"cunning";215
"curious";99
"dainty";119
"daring";234
"dashing";42
"decided";88
"decisive";135
"definite";214
"deliberate";19
"delicate";107
"dependent";260
"deprecatory";240
"destructive";51
"determined";178
"dexterous";138
"dictatorial";166
"dignified";9
"direct";64
"discreet";78
"dishonest";145
"dispassionate";16
"distrustful";116
"domestic";162
"downright";74
"dutiful";152
"eager";211
"earnest";263
"easy";183
"efficient";259
"eloquent";229
"emphatic";233
"energetic";158
"enthusiastic";130
"envious";165
"equable";45
"erudite";214
"eulogistic";156
"exact";250
"excitable";255
"exclusive";56
"explicit";201
"expressive";198
"exuberant";95
"facetious";179
"faithful";130
"faithless";221
"familiar";203
"fast";13
"fearful";107
"feminine";106
"ferocious";190
"fervent";149
"festive";19
"fickle";84
"fierce";198
"fiery";243
"firm";39
"fleshly";64
"forcible";269
"forensic";110
"forgiving";81
"formal";76
"forthcoming";239
"fractious";51
"frank";270
"free";115
"fresh";248
"friendly";21
"frivolous";157
"frugal";22
"fustian";247
"gallant";92
"gay";212
"general";225
"generous";141
"genteel";167
"gentle";143
"gentlemanlike";264
"gentlemanly";244
"giddy";125
"girlish";267
"gleeful";170
"gloomy";21
"graceful";96
"gracious";126
"grateful";139
"grave";233
"greedy";237
"gruff";104
"halting";59
"handsome";147
"handy";256
"hasty";46
"haughty";37
"headlong";234
"headstrong";104
"heartless";71
"hearty";154
"heavy";50
"heedless";205
"helpless";55
"honest";76
"hopeful";156
"hopeless";91
"hospitable";139
"hostile";61
"humane";7
"humble";208
"hurried";184
"hypocritical";261
"hysterical";258
"immovable";44
"impartial";145
"impatient";125
"imperative";216
"imperceptible";95
"imperial";27
"imperious";18
"impertinent";56
"imperturbable";178
"impetuous";52
"impudent";102
"inarticulate";30
"inconstant";84
"indefatigable";254
"indefinite";231
"independent";118
"indifferent";106
"indirect";131
"industrious";75
"inexpressive";199
"inflammable";117
"inflexible";181
"ingenuous";127
"inquisitive";144
"insolent";81
"intellectual";161
"intense";154
"intimate";233
"intuitive";103
"invariable";84
"inventive";187
"invincible";210
"inward";196
"irascible";241
"irrepressible";177
"irritable";6
"jaunty";245
"jealous";121
"jocose";247
"jolly";58
"jovial";222
"joyful";16
"joyous";29
"judicious";62
"just";131
"keen";199
"kind";54
"kindly";114
"laborious";110
"languid";132
"lavish";41
"lazy";158
"lethargic";108
"limp";122
"listless";33
"literary";161
"lively";54
"lofty";158
"lonely";130
"loquacious";67
"loud";223
"loyal";45
"magisterial";108
"magnanimous";232
"majestic";46
"malicious";43
"maternal";100
"mathematical";207
"mechanical";94
"melancholy";251
"melodramatic";32
"merciful";253
"merry";202
"metaphysical";199
"methodical";16
"migratory";168
"mild";84
"military";159
"mischievous";231
"moderate";230
"modest";204
"moody";206
"mournful";92
"musical";192
"mute";10
"natural";251
"neat";49
"negative";81
"negligent";59
"nervous";54
"nigh";82
"noiseless";261
"noisy";35
"obdurate";234
"obedient";98
"obliging";232
"obsequious";219
"observant";256
"officious";22
"oily";20
"open";150
"original";149
"orthodox";136
"overbearing";123
"partial";66
"particular";68
"passionate";89
"passive";153
"paternal";231
"patient";134
"patriotic";2
"peaceful";8
"penitent";224
"peremptory";2
"persuasive";129
"pert";59
"pettish";236
"philanthropic";265
"philosophical";197
"phlegmatic";116
"pickwickian";121
"pious";122
"placid";29
"plaintive";128
"platonic";16
"playful";100
"pleasant";140
"pleasurable";24
"pliable";22
"pliant";109
"poetic";160
"polite";196
"political";218
"pompous";4
"positive";195
"practical";204
"precise";227
"prejudiced";175
"presumptuous";146
"prim";182
"prompt";112
"prophetic";265
"proud";154
"prudent";14
"puffy";173
"pugilistic";171
"punctual";238
"quick";113
"quiet";50
"rapid";36
"rapturous";111
"rash";90
"reasonable";107
"rebellious";1
"reckless";266
"reflective";23
"refractory";252
"religious";169
"reproachful";236
"reserved";180
"resigned";47
"respectful";218
"responsible";159
"responsive";26
"restless";53
"retrospective";103
"rigid";69
"roguish";43
"romantic";91
"rough";177
"rude";96
"rueful";182
"ruminative";88
"runaway";170
"rusty";57
"ruthless";71
"sad";76
"sagacious";238
"sanctified";261
"sanguinary";213
"sanguine";224
"sarcastic";235
"scientific";211
"scornful";81
"scrupulous";144
"second";50
"selfish";59
"sensible";87
"sensitive";38
"sentimental";97
"serene";185
"serious";191
"servile";79
"severe";86
"shrewd";221
"silent";124
"simple";77
"sincere";209
"slanderous";79
"sleek";144
"slippery";131
"slipshod";168
"sloppy";18
"slovenly";214
"slow";54
"sly";11
"smooth";77
"snappish";26
"sober";58
"social";172
"soft";36
"solemn";200
"solicitous";30
"sorrowful";232
"sour";168
"spasmodic";98
"speculative";70
"speedy";56
"spirited";228
"spiteful";131
"splenetic";127
"spontaneous";134
"sprightly";61
"stable";203
"stately";73
"statistical";45
"steadfast";182
"steady";126
"stealthy";15
"steep";44
"stentorian";228
"stern";254
"stiff";198
"still";168
"stormy";128
"straight";186
"straightforward";20
"strict";220
"strong";140
"studious";74
"subtle";127
"sudden";17
"sufficient";130
"sullen";234
"sunny";177
"supercilious";168
"superstitious";84
"sure";68
"surly";12
"susceptible";237
"suspicious";126
"sweet";262
"swift";189
"sympathetic";242
"systematic";63
"taciturn";237
"talkative";6
"technical";161
"tempered";137
"tender";100
"testy";196
"thoughtful";164
"thoughtless";193
"tidy";151
"tight";229
"timid";255
"torpid";26
"tractable";193
"treacherous";84
"tremulous";246
"true";17
"tumultuous";246
"ugly";188
"unblushing";84
"uncertain";215
"uncomplaining";136
"unctuous";168
"undecided";155
"unequivocal";188
"unerring";111
"unfeeling";28
"ungraceful";226
"ungrateful";180
"unhappy";49
"unkind";15
"unmindful";146
"unpolite";74
"unrelenting";136
"unsteady";155
"vague";38
"vain";39
"valorous";7
"vehement";194
"verbal";197
"vindictive";86
"violent";99
"visionary";170
"vixenish";188
"volatile";58
"wily";159
"wiser";224
"willing";87
"wise";25
"vagabondish";88
"tacit";221
"wry";84
"trusty";239
"unremitting";94
"urgent";246
"worldly";142
"submissive";24
"timorous";216
"weak";174
"zealous";101
"virtuous";133
"unsuspicious";268
"uncharitable";119
"worshipful";170
"unceremonious";42
"womanly";268
"wary";8
"specific";256
"vociferous";28
"wistful";222
"unresisting";175
"unremorseful";131
"veracious";75
"throng";18
"warlike";256
"wrathful";74
"thorough";207
"vicious";117
"undutiful";88
"ultra";26
"tough";267
"resolute";221
"strenuous";141
"surreptitious";72
"tearful";267
"tortuous";217
"watchful";132
