"terms";"clusters"
"#-brutal";123
"#-cold";28
"#-cordial";174
"#-easy";60
"#-fast";126
"#-free";39
"#-hearty";215
"#-pleasant";170
"#-unmindful";193
"#-wise";111
"abject";193
"abrupt";120
"acceptable";208
"active";207
"acute";183
"adventurous";61
"affable";31
"affectionate";97
"affluent";55
"amorous";140
"argumentative";30
"atheist";84
"avaricious";104
"awkward";128
"bashful";202
"bitter";137
"bland";48
"bluff";55
"boastful";72
"boisterous";153
"bold";64
"boyish";73
"brave";36
"brisk";155
"brutal";134
"buoyant";194
"businesslike";17
"busy";154
"cabalistic";204
"calm";9
"candid";213
"capricious";6
"careful";216
"careless";133
"casual";93
"cautious";137
"certain";68
"cheerful";71
"cheery";33
"childlike";161
"choleric";202
"christian";112
"circumstantial";6
"civil";208
"clamorous";143
"clean";21
"close";165
"cold";68
"communicative";208
"companionable";27
"compassionate";176
"complacent";40
"compliant";213
"complimentary";162
"concise";20
"confident";114
"confidential";130
"congenial";164
"considerate";206
"consistent";151
"constant";76
"contemplative";38
"convivial";16
"cool";222
"cordial";51
"cranky";107
"crisp";220
"critical";128
"cruel";132
"cunning";166
"curious";13
"dainty";140
"daring";87
"deceptive";111
"decided";101
"decisive";20
"deferential";172
"deliberate";95
"delicate";2
"dependent";171
"deprecatory";121
"dexterous";179
"dignified";17
"dilatory";4
"diligent";200
"direct";169
"discreet";96
"disdainful";111
"dishonest";16
"disrespectful";41
"distrustful";219
"docile";157
"domestic";106
"downright";30
"dreamy";30
"dutiful";179
"eager";146
"earnest";187
"easy";71
"eloquent";140
"emphatic";143
"energetic";174
"envious";191
"equable";52
"eulogistic";70
"even";36
"exact";79
"exclusive";148
"expansive";131
"expressive";89
"facetious";164
"faithful";19
"familiar";67
"fast";74
"fastidious";204
"fearful";103
"feminine";25
"ferocious";102
"fervent";144
"festive";40
"fierce";144
"fiery";23
"firm";200
"fitful";212
"flexible";161
"forcible";47
"forgetful";86
"formal";133
"frank";75
"fraternal";218
"free";71
"fresh";160
"friendly";78
"frigid";41
"frolicsome";115
"frugal";29
"gallant";113
"garrulous";34
"gay";53
"general";180
"generous";53
"genial";110
"genteel";147
"gentle";165
"gentlemanly";14
"giddy";192
"glib";221
"gloomy";205
"graceful";79
"gracious";53
"grateful";205
"grave";15
"greedy";172
"gritty";91
"gruff";100
"handsome";210
"handy";55
"hasty";19
"headlong";29
"heady";60
"heartless";36
"hearty";149
"heavy";160
"heedless";28
"helpless";88
"honest";3
"hopeful";92
"hopeless";100
"hospitable";102
"humane";56
"humble";160
"hurried";80
"hypocritical";8
"hysterical";199
"immaculate";155
"impatient";49
"imperative";169
"imperceptible";214
"imperturbable";14
"impetuous";127
"impish";129
"incautious";171
"inconsiderate";201
"inconstant";44
"incorruptible";86
"incredulous";8
"indefatigable";194
"indefinite";70
"independent";58
"indifferent";2
"industrious";179
"injudicious";169
"inquisitive";81
"insatiable";105
"insolent";25
"intense";92
"intimate";43
"intractable";26
"intrepid";203
"intuitive";212
"inventive";148
"inviolable";170
"inward";99
"irascible";213
"ironical";200
"irritable";26
"jealous";48
"jocose";163
"jolly";90
"jovial";188
"joyful";117
"joyous";206
"just";52
"keen";2
"kind";69
"knowing";183
"laborious";148
"laconic";129
"languid";73
"lazy";108
"limp";177
"listless";148
"literal";140
"literary";171
"lively";1
"lofty";186
"lonely";142
"loud";142
"loving";90
"majestic";217
"malicious";195
"matronly";181
"maudlin";77
"mazy";56
"meek";32
"melancholy";9
"melodramatic";193
"mercenary";167
"merciful";217
"merry";64
"methodical";175
"mild";142
"military";136
"mirthful";40
"miserly";60
"moderate";82
"modest";37
"monastic";87
"monkish";185
"monosyllabic";200
"moody";6
"mournful";154
"musical";141
"mute";37
"natural";18
"neat";24
"negative";152
"nervous";168
"newsmonger";99
"nigh";15
"nimble";116
"noiseless";138
"noisy";154
"obdurate";149
"obedient";96
"obliging";15
"obsequious";104
"observant";101
"obstinate";91
"oily";163
"open";83
"opinionated";72
"oratorical";56
"original";69
"orthodox";52
"pacific";8
"partial";157
"particular";46
"passionate";118
"passive";101
"patient";158
"peaceful";64
"penitent";15
"pensive";112
"penurious";60
"peremptory";134
"persuasive";110
"pert";29
"perverse";121
"philosophical";84
"pious";86
"placid";88
"plaintive";135
"playful";111
"pleasant";46
"pleasurable";70
"pliant";110
"poetic";193
"polite";197
"politic";17
"pompous";52
"positive";5
"practical";137
"precise";56
"presumptuous";211
"promiscuous";77
"prophetic";41
"proud";178
"provident";87
"prudent";190
"punctual";44
"quick";189
"quiet";68
"radical";52
"rapid";159
"rapturous";126
"rash";179
"reasonable";161
"rebellious";206
"reckless";194
"refined";122
"reflective";87
"remorseful";206
"reproachful";196
"resigned";70
"resolute";94
"respectful";58
"responsible";15
"restless";11
"retiring";26
"revolutionary";30
"righteous";87
"rigid";34
"roguish";20
"rough";42
"rude";54
"rueful";140
"runaway";41
"rusty";11
"sad";109
"sagacious";157
"sarcastic";168
"scornful";56
"scrupulous";55
"second";78
"selfish";176
"sensible";138
"sensitive";112
"sentimental";221
"serene";27
"serious";149
"severe";126
"shrewd";163
"shrewish";93
"shy";163
"silent";46
"simple";189
"sincere";149
"sleek";108
"slippery";184
"slipshod";172
"sloppy";193
"slow";10
"sluggish";45
"sly";81
"smooth";125
"snobbish";41
"sober";145
"social";63
"soft";166
"solemn";154
"sorrowful";139
"sour";170
"specific";167
"speedy";15
"spirited";38
"spiritless";59
"spiritual";33
"spiteful";66
"spontaneous";214
"sportive";209
"stable";98
"staid";201
"stately";139
"steadfast";30
"steady";150
"stealthy";153
"steep";198
"stern";85
"stiff";112
"still";203
"strict";27
"strong";68
"studious";124
"submissive";65
"sudden";187
"sufficient";37
"suggestive";33
"sullen";181
"sunny";162
"supercilious";123
"sure";83
"susceptible";156
"suspicious";207
"sweet";182
"sympathetic";30
"tacit";155
"talkative";173
"tardy";22
"tearful";80
"tender";7
"thankful";12
"thoughtful";205
"thoughtless";98
"tidy";31
"tight";166
"timid";205
"tough";29
"tractable";72
"tranquil";50
"treacherous";54
"tremulous";33
"true";71
"truthful";99
"ugly";67
"unceremonious";84
"uncertain";7
"unctuous";20
"unequivocal";96
"ungrateful";66
"unguarded";174
"unhappy";98
"unmindful";132
"unresisting";66
"unsteady";32
"untoward";38
"unyielding";51
"urgent";96
"vague";62
"vain";169
"venturous";122
"verbal";199
"violent";158
"virtuous";57
"visionary";51
"vocal";35
"watchful";120
"weak";109
"willing";85
"swift";107
"vehement";181
"wise";159
"wry";84
"sprightly";5
"surly";52
"timorous";110
"unobtrusive";201
"windy";209
"worldly";99
"unchanging";95
"uncomplaining";30
"unfeminine";131
"trustful";34
"wasteful";118
"whimsical";119
"technical";209
"unkind";172
"vicious";55
"trim";25
"unsuspicious";32
"scientific";214
"wary";8
"waggish";161
"ungenerous";172
"wrathful";215
"religious";193
