"terms";"clusters"
"#-close";239
"#-cold";131
"#-considerate";161
"#-curious";277
"#-free";166
"#-handsome";226
"#-honest";274
"#-hopeful";229
"#-neat";167
"#-open";47
"#-partial";142
"#-true";277
"abrupt";92
"acceptable";187
"accessible";135
"accurate";25
"active";279
"acute";6
"adventurous";271
"affable";3
"affectionate";225
"aloof";72
"animated";151
"argumentative";113
"arrogant";133
"artistic";13
"assured";263
"austere";278
"avaricious";230
"awkward";10
"bashful";251
"benevolent";227
"benignant";238
"bitter";76
"bland";148
"bluff";86
"boastful";164
"boisterous";262
"bold";61
"boyish";257
"brave";174
"brisk";32
"brutal";35
"busy";53
"calculating";269
"callous";141
"calm";75
"candid";258
"capricious";146
"captious";79
"careful";147
"careless";204
"casual";273
"censorious";95
"ceremonious";114
"certain";128
"changeable";222
"charitable";8
"chary";27
"chaste";243
"chatty";58
"cheerful";225
"cheery";4
"chivalrous";107
"christian";164
"circumspect";131
"civil";104
"classic";49
"clean";184
"close";180
"clumsy";132
"coherent";193
"cold";33
"combative";112
"compassionate";232
"complacent";255
"complimentary";199
"conceited";256
"conciliatory";106
"concise";29
"condescending";2
"confident";234
"confidential";236
"congenial";115
"considerate";219
"consistent";1
"constant";60
"contemplative";90
"contentious";110
"contrary";56
"conversational";254
"convivial";228
"cool";188
"cordial";172
"courageous";210
"courteous";2
"crisp";175
"critical";135
"cruel";117
"cunning";143
"curious";19
"dainty";163
"dandy";228
"decisive";226
"deferential";45
"defiant";205
"definite";7
"deliberate";39
"delicate";220
"demonstrative";223
"demure";96
"dependent";247
"despotic";151
"destructive";110
"desultory";95
"determined";14
"dignified";168
"diligent";81
"direct";109
"discourteous";47
"discreet";213
"disdainful";121
"disorderly";24
"dispassionate";21
"dissatisfied";208
"distrustful";168
"doleful";26
"domestic";150
"dreamy";169
"dutiful";101
"eager";82
"earnest";99
"easy";128
"eloquent";267
"emphatic";238
"energetic";163
"enthusiastic";37
"envious";176
"equable";21
"equitable";192
"eulogistic";92
"exact";15
"excitable";23
"exclusive";278
"expansive";23
"explicit";21
"expressive";78
"faithful";220
"familiar";180
"fast";259
"fastidious";90
"fatherly";227
"fearful";15
"feminine";24
"ferocious";103
"fervent";118
"fervid";200
"fickle";79
"fierce";183
"fiery";85
"firm";173
"fitful";115
"flighty";52
"forcible";231
"forensic";252
"forgetful";66
"forgiving";34
"formal";152
"forward";250
"frank";115
"free";156
"fresh";19
"fretful";226
"friendly";171
"frigid";72
"frivolous";143
"frolicsome";47
"frugal";68
"gallant";44
"gay";129
"general";178
"generous";38
"genial";129
"genteel";30
"gentle";147
"gentlemanly";43
"giddy";232
"girlish";77
"glib";119
"gloomy";279
"graceful";88
"graceless";182
"gracious";99
"grateful";188
"grave";185
"greedy";244
"gruff";148
"halting";89
"handsome";156
"handy";102
"hasty";60
"hateful";138
"haughty";175
