"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"#-considerate";13;13;0;0;1;"#-considerate";5,5346447986121;"#-considerate";0,889445875820099;"#-considerate";504;"#-considerate";0,029405346426623;"#-considerate";0,433698236942291
"#-curious";12;12;0;0;1;"#-curious";5,55794558961525;"#-curious";0,886830658532032;"#-curious";527;"#-curious";0,0269807844169518;"#-curious";0,441009521484375
"#-demonstrative";13;13;0;0;1;"#-demonstrative";5,55631880793956;"#-demonstrative";0,887921694450313;"#-demonstrative";522;"#-demonstrative";0,0277769132613364;"#-demonstrative";0,446477115154266
"#-familiar";25;25;1;14;1;"#-familiar";5,51134442215012;"#-familiar";0,892859514384634;"#-familiar";479,5;"#-familiar";0,0331537854875393;"#-familiar";0,415810197591782
"#-free";12;12;0;0;1;"#-free";5,50685868125762;"#-free";0,894717408125337;"#-free";471;"#-free";0,0348931347150259;"#-free";0,398848801851273
"#-intimate";12;12;0;0;1;"#-intimate";5,53151950008458;"#-intimate";0,890370227056131;"#-intimate";499;"#-intimate";0,0298398835516739;"#-intimate";0,427732527256012
"#-loud";13;13;0;0;1;"#-loud";5,30285798929748;"#-loud";0,926492381058267;"#-loud";306;"#-loud";0,0694305694305694;"#-loud";0,286774903535843
"#-open";9;9;0;0;1;"#-open";5,59853748198507;"#-open";0,877496858344905;"#-open";590;"#-open";0,0205824268324268;"#-open";0,483358681201935
"#-particular";13;13;0;0;1;"#-particular";5,00314842742967;"#-particular";0,955448081530116;"#-particular";188;"#-particular";0,125806451612903;"#-particular";0,121703557670116
"#-political";9;9;0;0;1;"#-political";5,13353367202788;"#-political";0,9447545657783;"#-political";229;"#-political";0,0994449583718779;"#-political";0,193780422210693
"#-proud";13;13;0;0;1;"#-proud";5,37715040227853;"#-proud";0,915708879667909;"#-proud";355;"#-proud";0,0591630591630592;"#-proud";0,334356665611267
"#-reticent";10;10;0;0;1;"#-reticent";5,54928672381392;"#-reticent";0,888715310159958;"#-reticent";515;"#-reticent";0,0285050605608097;"#-reticent";0,436164170503616
"#-slow";9;9;0;0;1;"#-slow";5,48519061457252;"#-slow";0,89785043743317;"#-slow";450;"#-slow";0,0391853743782766;"#-slow";0,396659255027771
"#-steady";14;14;0;0;1;"#-steady";5,20460565588168;"#-steady";0,93726697921846;"#-steady";258;"#-steady";0,0831820931639443;"#-steady";0,242598354816437
"#-unyielding";8;8;0;0;1;"#-unyielding";5,47675977790483;"#-unyielding";0,901132307334844;"#-unyielding";436;"#-unyielding";0,0415625251955172;"#-unyielding";0,380886495113373
"abject";23;22;1;22;0,956521739130435;"abject";5,04701282242553;"abject";0,949541898093968;"abject";206;"abject";0,117207032385604;"abject";0,179009884595871
"abrupt";10;10;1;154;1;"abrupt";5,55862074314492;"abrupt";0,884656228628963;"abrupt";539;"abrupt";0,0262975348984;"abrupt";0,450276017189025
"acceptable";107;92;8;38,75;0,85981308411215;"acceptable";5,4890094340275;"acceptable";0,896451695504538;"acceptable";477,555555555556;"acceptable";0,0403314389379088;"acceptable";0,406466755602095
"accessible";90;69;7;46,8571428571429;0,766666666666667;"accessible";5,38114583218269;"accessible";0,911078594280363;"accessible";401;"accessible";0,0585241722421565;"accessible";0,337547989562154
"accurate";56;50;4;55,25;0,892857142857143;"accurate";5,24107578919736;"accurate";0,914859320860621;"accurate";379,6;"accurate";0,0665474232553905;"accurate";0,354748383164406
"active";116;93;10;35,3;0,801724137931034;"active";5,43378381915671;"active";0,903543393487155;"active";448,454545454545;"active";0,0516165471220598;"active";0,389270973476497
"acute";19;19;1;75;1;"acute";5,21281517030907;"acute";0,934745433522333;"acute";281,5;"acute";0,0896174865330687;"acute";0,239387355744839
"adhesive";8;8;0;0;1;"adhesive";5,49950162375914;"adhesive";0,895701145026428;"adhesive";464;"adhesive";0,036810184351168;"adhesive";0,40401417016983
"adventurous";19;19;1;335;1;"adventurous";5,14099889711814;"adventurous";0,92613619591519;"adventurous";354;"adventurous";0,106515964521596;"adventurous";0,319676868617535
"affable";113;84;8;27;0,743362831858407;"affable";5,49134072673589;"affable";0,897221306661131;"affable";465,444444444444;"affable";0,037639600613999;"affable";0,403623266352547
"affectionate";212;133;17;16,8235294117647;0,627358490566038;"affectionate";5,50258619772268;"affectionate";0,894634922901726;"affectionate";479,222222222222;"affectionate";0,0364579165370866;"affectionate";0,415322351786825
"affluent";10;10;0;0;1;"affluent";5,51745053435564;"affluent";0,891303620674758;"affluent";488;"affluent";0,0317230485718047;"affluent";0,422399580478668
