"terms";"clusters"
"#-clean";92
"#-close";279
"#-cold";236
"#-considerate";61
"#-cruel";119
"#-determined";113
"#-disdainful";15
"#-easy";264
"#-fast";76
"#-gracious";11
"#-handsome";160
"#-irreligious";141
"#-kind";145
"#-melancholy";61
"#-partial";148
"#-particular";84
"#-reproachful";79
"#-sentimental";15
"#-suspicious";276
"#-unmindful";200
"abject";28
"abrupt";3
"acceptable";159
"accurate";29
"active";271
"acute";1
"affable";207
"affectionate";252
"aloof";150
"amorous";195
"analytical";244
"arbitrary";225
"argumentative";112
"avaricious";234
"awkward";217
"bacchanalian";257
"bashful";233
"benevolent";48
"benignant";85
"bitter";14
"bland";292
"boastful";265
"boisterous";240
"bold";121
"boyish";178
"brave";165
"brisk";38
"brutal";117
"brute";178
"buoyant";231
"busy";21
"calculating";23
"calm";186
"candid";19
"capricious";202
"careful";283
"careless";205
"carnal";16
"casual";222
"catawampous";118
"cautious";231
"certain";82
"charitable";97
"chary";24
"chaste";192
"chatty";272
"cheerful";158
"chivalrous";127
"christian";254
"civil";153
"clamorous";136
"clean";293
"close";248
"clumsy";245
"cockle";141
"coherent";279
"cold";170
"combustible";206
"coming";183
"compassionate";86
"complacent";125
"complimentary";269
"conciliatory";258
"condescending";246
"confident";226
"confidential";96
"congenial";93
"conscientious";91
"considerate";293
"consistent";130
"constant";247
"contrary";180
"conversational";228
"convivial";258
"cool";72
"cordial";293
"courteous";259
"covetous";253
"cowardly";227
"coy";36
"credulous";108
"crisp";268
"critical";57
"cruel";25
"cunning";36
"curious";107
"dainty";115
"daring";9
"debauched";261
"decided";58
"deferential";157
"defiant";119
"definite";34
"deliberate";69
"delicate";26
"demonstrative";112
"dependent";53
"despotic";60
"destructive";206
"determined";93
"dexterous";88
"dignified";244
"dilatory";48
"direct";290
"discreet";102
"disdainful";267
"disrespectful";125
"dissatisfied";236
"distrustful";130
"doleful";197
"domestic";247
"downright";77
"dreamy";7
"dutiful";128
"eager";41
"earnest";25
"easy";46
"ecstatic";197
"efficient";227
"eloquent";81
"emphatic";2
"energetic";277
"enthusiastic";133
