"terms";"clusters"
"#-accessible";66
"#-handsome";69
"#-heavy";109
"#-reasonable";69
"#-sure";4
"#-vain";99
"active";40
"acute";35
"affectionate";111
"assured";4
"awkward";14
"bitter";113
"bold";74
"busy";25
"calm";23
"careless";28
"certain";77
"changeable";79
"cheerful";28
"christian";76
"civil";3
"clean";80
"close";12
"cold";8
"communicative";67
"complimentary";91
"conciliatory";102
"confident";58
"confidential";100
"conscientious";67
"consistent";45
"constant";28
"contrary";57
"cool";19
"cordial";40
"critical";20
"cruel";86
"curious";24
"decided";55
"decisive";4
"delicate";63
"determined";93
"dignified";57
"direct";95
"disrespectful";68
"dissatisfied";97
"domestic";21
"dutiful";4
"eager";111
"earnest";74
"easy";39
"ecstatic";55
"explicit";108
"faithful";92
"familiar";20
"fearful";85
"fervent";114
"fickle";95
"firm";100
"fraternal";14
"free";87
"fresh";10
"friendly";37
"frivolous";20
"gallant";75
"gay";112
"general";72
"generous";35
"genteel";76
"gentle";12
"gentlemanlike";69
"gloomy";38
"graceful";80
"gracious";33
"grateful";74
"grave";41
"greedy";50
"guarded";33
"handsome";104
"hateful";50
"hearty";6
"heavy";115
"heedless";13
"helpless";59
"honest";73
"hopeful";90
"hopeless";109
"humble";24
"immovable";99
"impartial";30
"impatient";35
"impertinent";18
"impetuous";113
"inconstant";79
"independent";27
"indifferent";107
"indulgent";80
"industrious";47
"intellectual";20
"intense";90
"intimate";117
"irritable";23
"jealous";96
"joyful";52
"judicious";78
"just";22
"keen";22
"kind";5
"languid";62
"lazy";55
"lenient";67
"literary";63
"lively";77
"lofty";54
"lonely";23
"loud";81
"malevolent";100
"malicious";13
"maternal";11
"mild";13
"military";40
"mischievous";79
"miserly";70
"moderate";16
"modest";67
"monastic";26
"natural";41
"neat";78
"negligent";101
"noisy";14
"obliging";48
"obstinate";100
"open";53
"original";55
"partial";38
"particular";43
"patient";101
"pensive";91
"perverse";84
"pitiless";26
"placid";15
"playful";15
"pleasant";9
"polite";82
"positive";12
"proud";108
"punctual";70
"quick";10
"quiet";42
"random";67
"rapid";16
"rapturous";20
"reasonable";36
"refined";45
"religious";91
"resentful";91
"resolute";65
"respectful";75
"restless";55
"romantic";23
"rude";31
"sad";101
"sanguine";89
"scrupulous";67
"second";39
"sedentary";47
"selfish";106
"sensible";52
"sentimental";79
"serious";31
"servile";59
"severe";64
"shy";55
"silent";110
"simple";1
"sincere";77
"sly";79
"smooth";97
"sober";44
"social";114
"solemn";98
"solicitous";29
"speedy";92
"sportive";60
"stable";57
"steady";49
"steep";32
"stormy";33
"strict";100
"strong";39
"stubborn";34
"sudden";61
"sufficient";50
"sullen";103
"sure";83
"sweet";2
"sympathetic";56
"tacit";88
"tasteful";48
"tender";94
"thankful";32
"thoughtless";62
"treacherous";91
"tremulous";99
"true";5
"ugly";14
"uncertain";62
"uncheerful";24
"uncivil";102
"uncoquettish";4
"ungenerous";105
"unhappy";46
"unkind";116
"unsteady";51
"unsuspicious";45
"untoward";90
"urgent";116
"violent";71
"watchful";109
"unprejudiced";4
"traditional";103
"vain";17
"wise";45
"swift";103
"unfriendly";88
"unguarded";94
"unpretending";89
"willing";101
"worldly";7
"whimsical";33
"unreserved";76
"ungraceful";70
"tidy";58
"virtuous";100
"uncandid";47
"temperate";70
"thorough";66
"uncritical";56
