"source" "target" "tag"
5 110 "soft"
92 114 "heavy"
8 115 "general"
115 123 "general"
102 147 "uncertain"
123 162 "general"
162 170 "general"
143 232 "handsome"
183 247 "sure"
108 254 "melancholy"
22 255 "vain"
115 272 "cold"
278 290 "diligent"
177 290 "quiet"
124 358 "dependent"
421 425 "neat"
82 426 "exact"
157 433 "eloquent"
99 435 "true"
247 446 "sure"
283 447 "industrious"
290 448 "quiet"
256 450 "affectionate"
190 453 "formal"
448 459 "quiet"
334 462 "free"
285 471 "thankful"
459 474 "quiet"
151 487 "silent"
272 501 "cold"
425 502 "neat"
110 512 "soft"
462 514 "free"
456 521 "curious"
514 526 "natural"
526 558 "natural"
521 573 "curious"
487 608 "steep"
170 619 "general"
484 643 "particular"
446 645 "sure"
619 653 "general"
592 668 "open"
653 692 "general"
474 700 "quiet"
692 701 "general"
255 712 "vain"
501 714 "cold"
700 719 "quiet"
668 720 "open"
720 721 "open"
573 748 "curious"
719 752 "quiet"
285 753 "cheerful"
645 765 "sure"
172 768 "honest"
692 778 "sulky"
487 781 "sudden"
182 832 "slow"
714 838 "cold"
748 839 "curious"
114 839 "heavy"
765 846 "sure"
721 856 "open"
778 861 "sulky"
674 883 "busy"
487 883 "silent"
753 884 "cheerful"
846 888 "sure"
225 898 "quick"
839 926 "curious"
435 927 "true"
150 946 "rusty"
926 958 "curious"
927 970 "true"
888 972 "sure"
781 978 "sudden"
289 979 "proud"
701 997 "general"
753 1009 "thoughtful"
61 1022 "restless"
832 1023 "slow"
972 1034 "sure"
948 1042 "clean"
856 1045 "open"
838 1060 "cold"
1060 1061 "cold"
514 1072 "free"
958 1078 "curious"
459 1101 "second"
1078 1109 "curious"
1109 1118 "curious"
717 1133 "constant"
768 1134 "honest"
883 1147 "busy"
839 1147 "heavy"
1045 1151 "open"
1037 1154 "fresh"
884 1156 "cheerful"
446 1161 "gentle"
512 1170 "soft"
997 1181 "general"
1147 1186 "heavy"
1154 1187 "fresh"
1151 1191 "open"
232 1211 "handsome"
635 1211 "lively"
898 1211 "quick"
31 1214 "certain"
558 1248 "natural"
752 1252 "quiet"
1252 1253 "quiet"
1009 1254 "thoughtful"
970 1256 "true"
1061 1272 "cold"
1191 1272 "open"
249 1276 "stiff"
693 1282 "sweet"
1289 1314 "worldly"
1034 1322 "sure"
1282 1324 "sweet"
1072 1350 "free"
946 1360 "strong"
1360 1361 "strong"
1181 1369 "general"
452 1374 "grateful"
1374 1381 "grateful"
1324 1388 "delicate"
1187 1391 "fresh"
1254 1407 "thoughtful"
883 1414 "silent"
978 1421 "sudden"
1253 1422 "quiet"
381 1423 "smooth"
1422 1427 "quiet"
1386 1450 "genial"
1350 1463 "free"
1463 1464 "free"
1361 1489 "strong"
1118 1497 "curious"
1497 1503 "curious"
1322 1560 "sure"
1314 1566 "worldly"
1367 1577 "practical"
1147 1578 "busy"
1156 1582 "cheerful"
1381 1582 "grateful"
643 1588 "particular"
1391 1591 "fresh"
780 1599 "gloomy"
1214 1607 "certain"
1423 1612 "smooth"
1578 1613 "busy"
434 1613 "majestic"
1507 1629 "good-humoured"
1369 1632 "general"
1607 1638 "certain"
471 1650 "thankful"
1650 1653 "thankful"
1211 1679 "quick"
222 1681 "shy"
1560 1689 "sure"
1421 1693 "sudden"
1674 1697 "gracious"
193 1701 "stately"
1591 1729 "fresh"
1503 1730 "curious"
1211 1761 "handsome"
1681 1768 "shy"
1689 1772 "sure"
1256 1774 "true"
1774 1775 "true"
549 1786 "#-sure"
1582 1792 "cheerful"
1613 1794 "busy"
1272 1796 "open"
1794 1802 "busy"
21 1811 "serious"
1503 1831 "easy"
406 1837 "pleasant"
201 1846 "original"
1638 1853 "certain"
1775 1874 "true"
1407 1885 "thoughtful"
1407 1907 "benignant"
1772 1907 "sure"
1427 1911 "quiet"
1907 1912 "sure"
1912 1921 "sure"
1921 1924 "sure"
1802 1929 "busy"
1730 1946 "curious"
1779 1947 "loud"
1272 1949 "cold"
1101 1953 "second"
1632 1975 "general"
1945 1976 "charitable"
1975 1976 "general"
1946 1988 "curious"
1978 1992 "fervid"
1729 2009 "fresh"
1976 2016 "general"
1786 2017 "#-sure"
1388 2019 "delicate"
1947 2029 "loud"
1248 2041 "natural"
1798 2046 "bold"
1874 2052 "true"
1831 2061 "easy"
1200 2103 "demonstrative"
1161 2111 "gentle"
1911 2117 "quiet"
2117 2127 "quiet"
2127 2128 "quiet"
1414 2130 "silent"
468 2131 "ugly"
1637 2152 "congenial"
105 2171 "familiar"
2128 2172 "quiet"
1076 2174 "compassionate"
1022 2179 "restless"
2172 2186 "quiet"
2186 2187 "quiet"
1837 2188 "pleasant"
1697 2192 "gracious"
756 2201 "simple"
1588 2209 "particular"
2111 2215 "gentle"
2041 2216 "natural"
1924 2217 "sure"
2217 2221 "sure"
1042 2227 "clean"
2009 2231 "fresh"
1796 2243 "open"
2215 2273 "gentle"
1929 2280 "busy"
1489 2281 "strong"
1464 2284 "free"
2284 2303 "free"
348 2303 "humane"
