"source" "target" "tag"
22 38 "delicate"
30 83 "grateful"
17 103 "sure"
26 114 "quick"
103 118 "sure"
38 120 "delicate"
12 123 "certain"
118 123 "sure"
107 127 "true"
35 140 "silent"
17 151 "slow"
140 158 "silent"
120 209 "delicate"
167 209 "strong"
209 219 "strong"
219 223 "strong"
161 231 "cold"
241 242 "jolly"
27 261 "cunning"
169 261 "restless"
195 261 "sly"
221 263 "limp"
5 265 "rough"
158 288 "silent"
253 305 "gay"
216 306 "friendly"
74 307 "sudden"
243 327 "stealthy"
266 332 "close"
151 335 "slow"
40 340 "curious"
31 343 "fresh"
285 369 "unhappy"
41 377 "rusty"
295 386 "natural"
332 387 "close"
386 387 "natural"
123 389 "sure"
127 396 "true"
230 399 "general"
343 400 "fresh"
123 405 "certain"
209 410 "delicate"
396 415 "true"
189 417 "handsome"
223 422 "strong"
399 425 "general"
418 425 "solemn"
389 435 "sure"
435 450 "sure"
450 452 "sure"
430 470 "original"
387 473 "natural"
405 476 "certain"
323 478 "obedient"
144 478 "sweet"
425 479 "general"
422 479 "strong"
323 496 "timid"
114 498 "quick"
261 502 "cunning"
338 510 "keen"
478 512 "obedient"
473 520 "natural"
377 523 "rusty"
470 544 "original"
452 555 "sure"
544 560 "original"
476 567 "certain"
555 567 "sure"
565 580 "second"
580 582 "second"
478 582 "sweet"
479 603 "strong"
481 608 "ugly"
63 609 "careful"
213 609 "wise"
512 621 "obedient"
576 640 "cheerful"
162 641 "sad"
24 643 "kind"
137 654 "gloomy"
643 656 "kind"
567 658 "sure"
319 661 "easy"
318 668 "helpless"
28 669 "familiar"
510 682 "keen"
231 696 "cold"
343 697 "pleasant"
476 706 "impatient"
710 711 "merry"
609 711 "wise"
712 714 "#-wise"
711 714 "merry"
375 718 "particular"
603 722 "strong"
609 734 "quiet"
722 735 "strong"
658 743 "sure"
5 751 "constant"
735 762 "strong"
498 763 "quick"
661 764 "easy"
304 770 "humble"
213 778 "sufficient"
567 780 "certain"
415 786 "true"
668 787 "helpless"
307 804 "sudden"
804 806 "sudden"
479 816 "general"
400 818 "fresh"
560 825 "original"
264 826 "straight"
718 835 "particular"
825 841 "jealous"
841 842 "jealous"
842 850 "jealous"
314 866 "serious"
609 868 "careful"
786 875 "true"
743 878 "sure"
762 884 "strong"
751 888 "constant"
496 888 "timid"
261 890 "restless"
569 892 "earnest"
640 895 "cheerful"
305 895 "gay"
696 896 "cold"
654 896 "gloomy"
646 897 "thoughtful"
608 900 "ugly"
806 902 "sudden"
288 903 "silent"
896 907 "gloomy"
734 907 "quiet"
669 909 "familiar"
864 911 "weak"
875 914 "true"
825 930 "original"
793 931 "open"
648 933 "sorrowful"
641 935 "sad"
878 937 "sure"
935 938 "sad"
884 943 "strong"
262 944 "complacent"
900 944 "ugly"
868 962 "careful"
886 962 "fast"
937 964 "sure"
520 974 "natural"
