"" "atkins::easy" "god::penitent" "hull::particular" "jesus_christ::reasonable" "mahomet::faithful" "mahomet::true" "maresco::dexterous" "robin_crusoe::honest" "robinson::second" "xury::faithful" "xury::pensive" "atkins::hearty" "god::penitents" "hull::sufficient" "saviour_jesus_christ::reasonable" "xury::true" "maresco::merry" "robin_crusoe::sociable" "robinson::seconded" "xury::sudden"
"atkins::easy" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"god::penitent" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"hull::particular" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"jesus_christ::reasonable" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"mahomet::faithful" 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0
"mahomet::true" 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
"maresco::dexterous" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"robin_crusoe::honest" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"robinson::second" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"xury::faithful" 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"xury::pensive" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"atkins::hearty" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"god::penitents" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"hull::sufficient" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"saviour_jesus_christ::reasonable" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"xury::true" 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"maresco::merry" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"robin_crusoe::sociable" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"robinson::seconded" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"xury::sudden" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
