"source" "target" "tag"
130 132 "villars_howard_grove::natural"
83 138 "m._howard::faithful"
163 270 "mirvan::general"
324 366 "orville::silent"
99 399 "mirvan::indifferent"
236 475 "mirvan::gay"
270 609 "mirvan::general"
323 609 "orville::general"
527 630 "mirvan::ungrateful"
700 762 "madame_duval::polite"
700 762 "mirvan::polite"
609 773 "mirvan::general"
775 780 "madame_duval::genteel"
280 879 "mirvan::sure"
13 887 "madame_duval::strong"
474 983 "orville::sure"
879 1003 "monsieur_du_bois::sure"
758 1045 "madame_duval::violent"
885 1048 "madame_duval::cold"
997 1048 "mirvan::cold"
752 1058 "mirvan::easy"
1045 1187 "madame_duval::violent"
1142 1242 "branghton::sure"
879 1308 "mirvan::sure"
366 1325 "orville::silent"
1056 1329 "orville::vain"
1325 1359 "clement::silent"
762 1398 "mirvan::polite"
1308 1426 "clement::sure"
1359 1448 "clement::silent"
533 1448 "mirvan::generous"
971 1448 "mirvan::silent"
630 1448 "mirvan::ungrateful"
1325 1448 "orville::silent"
322 1465 "orville::animated"
609 1475 "orville::general"
1448 1490 "orville::silent"
879 1568 "madame_duval::sure"
773 1576 "mirvan::general"
1475 1576 "orville::general"
1187 1621 "madame_duval::violent"
758 1621 "mirvan::violent"
1308 1641 "mirvan::sure"
1621 1661 "madame_duval::violent"
1621 1661 "mirvan::violent"
1148 1673 "madame_duval::lively"
936 1683 "madame_duval::cruel"
691 1691 "mirvan::second"
682 1727 "madam::sweet"
32 1744 "madame_duval::weak"
1683 1753 "madame_duval::cruel"
83 1811 "m._howard::humble"
18 1811 "m._howard::obedient"
149 1832 "mirvan::eager"
1832 1836 "clement::eager"
1682 1836 "madame_duval::eager"
1832 1836 "mirvan::eager"
1426 1859 "clement::sure"
1899 1902 "m._du_bois::true"
1046 1960 "madame_duval::loud"
1722 1969 "madame_duval::gentle"
1321 1971 "clement::impertinent"
1661 2001 "madame_duval::violent"
1150 2007 "madame_duval::hasty"
1836 2058 "clement::eager"
1836 2058 "madame_duval::eager"
1836 2058 "mirvan::eager"
1378 2060 "madame_duval::prudent"
1378 2060 "mirvan::prudent"
2001 2067 "madame_duval::violent"
1661 2067 "mirvan::violent"
2013 2086 "madame_duval::fearful"
1922 2110 "m._du_bois::sure"
1568 2110 "madame_duval::sure"
1753 2129 "madame_duval::cruel"
1969 2139 "clement::gentle"
1576 2140 "mirvan::general"
231 2179 "maria::kind"
703 2179 "mirvan::kind"
764 2203 "madame_duval::peaceful"
52 2225 "john_belmont::vain"
1019 2233 "madame_duval::humble"
2066 2242 "madame_duval::passive"
833 2253 "madame_duval::civil"
2110 2288 "m._du_bois::sure"
2288 2303 "m._du_bois::sure"
1142 2303 "polly::sure"
2312 2314 "branghton::loud"
1960 2314 "madame_duval::loud"
683 2315 "madame_duval::awkward"
1242 2317 "branghton::sure"
2303 2320 "polly::sure"
2323 2326 "brown::sure"
2326 2333 "brown::sure"
1641 2339 "mirvan::sure"
1448 2350 "mirvan::generous"
174 2359 "mirvan::sweet"
2303 2374 "m._du_bois::sure"
2058 2393 "madame_duval::eager"
1278 2401 "branghton::genteel"
2320 2407 "polly::sure"
2317 2416 "branghton::sure"
780 2433 "madame_duval::genteel"
2233 2458 "madame_duval::humble"
2110 2524 "madame_duval::sure"
2416 2527 "branghton::sure"
1235 2534 "miss_branghton::sure"
1971 2696 "clement::impertinent"
1448 2697 "clement::silent"
1074 2757 "clement::proud"
2126 2763 "madame_duval::silent"
2438 2766 "clement_willoughby::true"
2604 2768 "smith::easy"
2140 2782 "clement::general"
2333 2802 "smith::sure"
2802 2847 "smith::sure"
2847 2856 "smith::sure"
855 2859 "clement_willoughby::violent"
2782 2861 "clement::general"
2782 2861 "madame_duval::general"
2861 2870 "clement::general"
2768 2886 "smith::easy"
2315 2898 "madame_duval::awkward"
2314 2899 "branghton::loud"
2898 2913 "madame_duval::awkward"
2203 2920 "madame_duval::quiet"
2524 2928 "madame_duval::sure"
2899 2930 "branghton::loud"
2314 2930 "m._du_bois::loud"
2928 3020 "madame_duval::sure"
2603 3030 "smith::rude"
2856 3030 "smith::sure"
983 3291 "orville::sure"
2140 3294 "mirvan::general"
1448 3318 "orville::generous"
1191 3334 "madame_duval::open"
2570 3348 "m._du_bois::melancholy"
3027 3362 "branghton::free"
