"source" "target" "tag"
118 134 "bingley::lively"
63 174 "bingley::second"
151 182 "bennet::handsome"
134 196 "bingley::lively"
159 196 "elizabeth::lively"
174 257 "bingley::second"
238 271 "bingley::sure"
238 271 "darcy::sure"
245 271 "jane::intimate"
282 288 "lucas::proud"
38 526 "bingley::hearty"
271 534 "bingley::sure"
130 655 "bingley::pleasant"
271 658 "jane::sure"
626 671 "darcy::general"
222 671 "elizabeth::general"
490 673 "bingley::civil"
159 762 "darcy::lively"
348 837 "elizabeth::easy"
606 900 "bennet::cold"
658 900 "jane::sure"
534 913 "bingley::sure"
913 915 "bingley::sure"
222 921 "bingley::general"
196 951 "elizabeth::sensible"
886 954 "elizabeth::impatient"
900 965 "bennet::sure"
255 992 "bennet::civil"
182 998 "bennet::handsome"
991 1002 "catherine::humble"
993 1033 "bennet::general"
297 1033 "jane::general"
431 1039 "elizabeth::sure"
900 1096 "bennet::cold"
671 1148 "darcy::general"
271 1154 "darcy::intimate"
610 1178 "bingley::sweet"
961 1207 "collins::silent"
1154 1221 "darcy::intimate"
1085 1236 "lydia::particular"
1198 1256 "elizabeth::vain"
756 1260 "elizabeth::polite"
1236 1262 "elizabeth::particular"
349 1274 "darcy::silent"
1259 1295 "wickham::certain"
673 1331 "bingley::civil"
338 1371 "darcy::impertinent"
1275 1379 "darcy::second"
283 1387 "elizabeth::true"
1216 1387 "jane::true"
1256 1395 "elizabeth::vain"
747 1398 "darcy::particular"
271 1398 "darcy::sure"
231 1404 "darcy::steady"
1096 1405 "bennet::cold"
1334 1429 "darcy::insolent"
1274 1429 "darcy::silent"
482 1444 "elizabeth::violent"
992 1445 "bennet::civil"
1331 1445 "bingley::civil"
951 1464 "elizabeth::sensible"
1379 1493 "collins::second"
1499 1500 "catherine::certain"
1499 1500 "collins::certain"
1529 1530 "collins::headstrong"
1529 1533 "lizzy::headstrong"
965 1535 "bennet::sure"
159 1572 "elizabeth::playful"
1207 1596 "collins::silent"
1262 1620 "elizabeth::particular"
671 1621 "elizabeth::general"
1033 1621 "jane::general"
1079 1621 "wickham::general"
1379 1662 "darcy::second"
196 1663 "bingley::sensible"
196 1663 "jane::sensible"
245 1681 "bennet::intimate"
1039 1746 "collins::sure"
1274 1754 "elizabeth::silent"
915 1755 "bingley::sure"
1535 1776 "bennet::sure"
1754 1806 "elizabeth::silent"
1663 1810 "jane::sensible"
1727 1841 "collins::steady"
1560 1858 "elizabeth::unhappy"
1621 1897 "wickham::general"
1897 1964 "wickham::general"
1464 1972 "elizabeth::sensible"
1905 1972 "gardiner::sensible"
1387 2000 "elizabeth::true"
257 2025 "bingley::second"
199 2025 "elizabeth::second"
1728 2134 "elizabeth::grateful"
2003 2145 "elizabeth::constant"
1493 2154 "collins::formal"
1493 2155 "collins::second"
2025 2155 "elizabeth::second"
1395 2187 "elizabeth::vain"
1751 2202 "elizabeth::earnest"
528 2222 "elizabeth::pleasant"
1758 2226 "lady_catherine::rapturous"
