"node_id" "tags" "dpub"
"1" "called, close, conceited, constant, continuing, domestic, even, girl, handsome, intimate, second, sensible, steady, still, strong" "1"
"2" "awkward, certain, delicate, domestic, face, girl, handsome, having, mild, modest, open, rapid, still, strong, unsolicitous" "2"
"3" "called, confidential, even, heavy, kind, vain" "3"
"4" "benevolent, charitable, coming, consistent, decided, delicate, even, exact, gentle, having, honest, independent, integrity, quick, resolute, rigid, sensible, serious, severe, solicitous, still, strict, strong, true, zealous" "4"
"5" "acceptable, decided, earnest, having, open, quick, selfish, still, vain" "5"
"6" "careful, easy, free, having, jealous, neat, open, responsible, strong, sweet, true" "6"
"7" "active, certain, cold, eloquent, even, explicit, face, feel, handsome, having, hearty, natural, particular, responsible, rough, severe, strong, sure, suspicious" "7"
"8" "contrary, feel, genteel, gentle, shrewd, still, strong, well-spoken, wise" "8"
"9" "close, confident, dependent, even, general, gentle, girl, having, headstrong, kind, lavish, natural, negative, prudent, sanguine, second, self-denying, selfish, sorrowful, spirit, still, sufficient, suspicious, tempered, unbending, uncertain, vain, willing" "9"
"10" "certain, cheerful, domestic, eloquent, even, feel, general, grateful, handsome, having, natural, particular, sanguine, sensible, still, uncertain" "10"
"11" "acute, assiduous, clumsy, contained, decided, dependent, having, hearty, hurried, kind, natural, open, quiet, sad, sensible, serious, severe, sure, sweet, sympathetic, wise" "11"
"12" "condescending, consistent, determined, even, face, handsome, hopeless, knowing, melancholy, neat, observant, still, sudden, sure, tight, unhappy" "12"
"13" "busy, cold, feel, forward, having, pleasant, unkind" "13"
"14" "friendly, good-humoured, hospitable, merry, particular, pleasant, still" "14"
"15" "coming, conversation, feel, friendly, game, general, handsome, having, knowing, social, strong, sure, sweet, unhappy" "15"
"16" "constant, easy, feel, forward, general, having, indifferent, nonsensical, steady, sure, tenacious" "16"
"17" "active, affluent, animated, coming, decided, easy, even, face, feel, good-humoured, having, musical, open, still, sympathetic, true" "17"
"18" "called, cheerful, coming, dashing, gloomy, having, hopeless, incurious, merry, strong, sure, unfeeling, unobservant" "18"
"19" "bold, called, even, feel, forward, grave, impatient, pleasant, second, serious, still, strong, sufficient, vague" "19"
"20" "careful, coming, conversation, determined, feel, hysterical, kind, quiet, still, sudden, sufficient, sure, unfeeling, vain" "20"
"21" "certain, coming, easy, finish, gallant, general, indifferent, natural, nervous, open, retentive, silent, spontaneous, unsuspicious" "21"
"22" "confident, decided, natural, proud, quick, strong" "22"
"23" "called, conversation, even, exceptions, general, natural, open, pleasant, sure" "23"
"24" "called, certain, coming, conversation, face, fast, gallant, graceful, handsome, having, kind, mouth, natural, open, pensive, pleasant, self-command, serious, sincere, steady, still, sure" "24"
"25" "called, even, feel, having, hearty, joyous, kind, knowing, merry, smooth, sure, thankful" "25"
"26" "ceremonious, cold, decided, face, general, having, negative, sure" "26"
"27" "certain, critical, fraternal, gentle, having, hospitable, intimate, lively, sad, sure, unguarded, unvarying" "27"
