"terms";"clusters"
"#-constant";7
"#-shrewd";105
"abrupt";38
"accurate";120
"active";39
"adventurous";52
"affectionate";119
"agreeable";79
"alert";22
"amiable";90
"anxious";26
"appreciative";35
"argumentative";30
"aristocratic";88
"articulate";4
"assured";13
"authoritative";11
"awkward";60
"benevolent";22
"bitter";47
"blasphemous";22
"blunt";55
"boastful";121
"bold";115
"brave";42
"brisk";74
"calm";32
"capable";35
"capricious";132
"careful";100
"careless";128
"casual";47
"cautious";129
"chaste";112
"cheerful";136
"chivalrous";11
"civil";112
"clumsy";95
"coarse";35
"compassionate";129
"complacent";105
"complicated";15
"complimentary";137
"confident";35
"confused";12
"congenial";71
"considerate";15
"constant";65
"contradictory";27
"cool";44
"cordial";131
"courageous";20
"courtly";112
"cruel";99
"curious";77
"dainty";24
"definite";86
"deliberate";60
"demonstrative";139
"despondent";131
"destructive";139
"determined";29
"devilish";105
"direct";85
"discreet";47
"disdainful";109
"disorderly";50
"disrespectful";60
"dissatisfied";27
"distant";68
"docile";52
"dogged";72
"doleful";54
"dominant";95
"dull";1
"dutiful";142
"eager";144
"earnest";26
"elegant";136
"emotional";97
"emphatic";98
"energetic";15
"exact";30
"exclusive";133
"explicit";94
"explosive";132
"expressive";71
"extravagant";17
"faithful";8
"fanciful";136
"fearful";69
"fearless";35
"feminine";110
"fervent";116
"fierce";99
"firm";106
"foolish";21
"forcible";47
"forgetful";106
"formal";77
"fraternal";78
"friendly";62
"frolicsome";11
"frugal";122
"gallant";96
"generous";16
"genial";98
"genteel";134
"gentle";9
"girlish";137
"glib";58
"gloomy";85
"graceful";131
"gracious";89
"greedy";103
"gregarious";38
"gruff";54
"harsh";38
"hasty";97
"haughty";96
"headlong";27
"heartless";138
"heedful";4
"heedless";52
"helpful";48
"honest";74
"hostile";2
"humane";65
"humble";58
"ignorant";67
"immature";51
"immovable";129
"impatient";45
"imperturbable";41
"impetuous";87
"impressible";112
"inconsistent";69
"independent";105
"indifferent";12
"industrious";31
"inexperienced";50
"informed";22
"ingenious";136
"inhuman";115
"inquisitive";14
"insolent";70
"intelligent";6
"intense";15
"intimate";107
"intricate";15
"ironical";50
"irreligious";69
"irrepressible";41
"irresolute";4
"jealous";138
"judicious";92
"just";34
"kind";25
"kindly";27
"knavish";143
"lazy";72
"learned";80
"lenient";22
"lethargic";84
"lifeless";114
"live";25
"lively";83
"loud";82
"loving";54
"loyal";7
"magnanimous";59
"malevolent";97
"maternal";72
"mature";104
"meddlesome";38
"meditative";78
"mercenary";117
"merciful";20
"merry";112
"methodical";94
"mistrustful";102
"moderate";136
"modest";13
"moody";51
"moral";61
"murderous";113
"musical";70
"mutinous";98
"narrow";46
"negative";98
"negligent";101
"nervous";98
"observant";28
"orderly";142
"original";116
"ostentatious";105
"outspoken";7
"particular";63
"passionate";40
"passive";135
"patient";16
"peaceful";130
"peevish";75
"pensive";75
"persevering";87
"persistent";123
"placid";27
"pleasant";57
"polished";41
"polite";53
"practical";66
"precise";80
"profound";47
"proper";25
"prophetic";16
"proud";110
"provincial";109
"quick";10
"rational";5
"reasonable";20
"reckless";17
"refined";141
"religious";74
"reproachful";106
"resentful";3
"reserved";54
"responsible";36
"restless";103
"retaliative";49
"revengeful";23
"rough";56
"rude";65
"rugged";83
"ruthless";35
"sarcastic";31
"selfish";86
"sensitive";3
"sensual";112
"sentimental";109
"serene";52
"serious";117
"shallow";41
"shrewd";57
"shy";98
"silent";10
"simple";140
"slow";111
"social";126
"solemn";76
"sour";34
"speedy";7
"stable";111
"stalwart";7
"steady";18
"stern";9
"stormy";19
"strict";54
"studious";123
"submissive";81
"sullen";127
"sunny";44
"superstitious";72
"tame";115
"tender";21
"thorough";38
"thoughtful";6
"tight";23
"timid";100
"transparent";12
"treacherous";88
"unchangeable";50
"uncompromising";20
"unenlightened";15
"unfailing";96
"unfeeling";134
"unkind";38
"unreasonable";125
"unscrupulous";58
"unselfish";138
"unsuspicious";88
"vain";12
"verbal";51
"vigorous";136
"violent";43
"warm";144
"wary";124
"wise";125
"undisguised";88
"unreserved";101
"sultry";96
"worldly";36
"sparkling";73
"vivid";110
"womanly";54
"zealous";13
"overbearing";60
"unhardened";47
"voluptuous";5
"uncomplaining";16
"sincere";27
"political";87
"unblushing";80
"straightforward";108
"vague";91
"spiritual";65
"timorous";19
"untiring";93
"vivacious";34
"responsive";118
"saintly";11
"suspicious";131
"trustworthy";134
"unfair";33
"unruly";64
"undutiful";31
"ungenerous";37
"severe";87
"unrelenting";97
