"terms";"clusters"
"#-inconstant";104
"accomplished";26
"active";17
"affected";65
"affectionate";77
"ambitious";27
"amiable";103
"amicable";55
"animated";61
"anxious";41
"approachable";10
"aristocratic";52
"awkward";96
"benevolent";18
"bold";69
"brave";27
"bright";19
"calm";29
"candid";64
"capable";16
"careful";83
"careless";62
"cautious";93
"ceremonious";67
"certain";32
"charitable";40
"cheerful";13
"civil";46
"clever";57
"clumsy";50
"cold";32
"compassionate";104
"confident";47
"confused";95
"consistent";68
"constant";30
"contradictory";54
"contrary";58
"cool";36
"cordial";51
"corrective";69
"courteous";4
"critical";70
"cruel";31
"curious";76
"decisive";84
"deep";75
"dependent";37
"determined";62
"dignified";102
"direct";83
"disdainful";84
"disrespectful";100
"distant";59
"dull";49
"durable";80
"dutiful";80
"eager";17
"earnest";28
"elegant";73
"eloquent";8
"exact";1
"excessive";45
"explicit";8
"expressive";2
"extravagant";94
"faithful";104
"fastidious";21
"fearful";20
"fearless";21
"fervent";86
"firm";87
"foolish";54
"forgetful";33
"formal";43
"forward";81
"fraternal";70
"friendly";36
"gallant";88
"generous";2
"genteel";55
"gentle";41
"gentlemanlike";91
"gloomy";3
"graceful";88
"hardened";50
"hasty";82
"headstrong";47
"heartless";33
"hearty";9
"heedless";60
"honest";52
"hospitable";66
"humble";73
"ignorant";48
"impatient";85
"imprudent";53
"inconsistent";64
"inconstant";6
"incurious";3
"indecisive";87
"independent";1
"indifferent";103
"indiscreet";47
"inexhaustible";21
"ingenious";61
"intelligent";29
"intimate";23
"irrational";63
"irresolute";86
"irritable";29
"jealous";4
"just";71
"kind";12
"lavish";47
"literary";98
"lively";66
"mature";64
"merciful";94
"merry";3
"mild";44
"mischievous";29
"moderate";64
"modest";65
"moral";14
"musical";61
"narrow";21
"negative";47
"nervous";59
"noisy";94
"obliging";78
"observant";64
"original";87
"overbearing";43
"particular";89
"patient";94
"pensive";19
"petty";21
"placid";39
"playful";87
"pleasant";24
"polished";42
"polite";30
"profound";6
"prompt";21
"proper";89
"proud";26
"prudent";34
"quick";90
"quiet";99
"rational";5
"reasonable";17
"religious";14
"resentful";104
"reserved";10
"responsible";8
"restless";43
"rigid";52
"rough";9
"rugged";8
"scrupulous";77
"selfish";47
"sentimental";98
"serious";16
"severe";92
"shrewd";55
"shy";14
"silent";13
"simple";29
"sincere";74
"slow";72
"smart";71
"solicitous";52
"speedy";7
"spontaneous";38
"steadfast";69
"steady";25
"stern";48
"strict";35
"submissive";94
"sunny";97
"suspicious";30
"sympathetic";42
"tenacious";15
"thorough";29
"thoughtful";56
"thoughtless";54
"unaffected";76
"unfeeling";72
"ungracious";95
"unkind";31
"unobservant";3
"unpersuadable";11
"unpolished";70
"unvarying";70
"unwise";58
"vague";7
"vain";12
"vigorous";52
"violent";64
"warm";22
"wild";53
"wise";79
"zealous";52
"spirited";98
"social";81
"stable";71
"tight";84
"ungenteel";67
"unsolicitous";44
"unsuspicious";11
"wary";101
"worldly";25
"unreasonable";15
"untaught";95
"unalterable";6
"unbending";47
"undeviating";45
"persuadable";67
"unforgiving";84
