"terms";"clusters"
"abrupt";48
"abstract";6
"active";57
"affable";50
"affected";34
"affectionate";86
"agreeable";64
"aloof";39
"amiable";91
"anxious";8
"awkward";12
"bitter";44
"boisterous";57
"bold";15
"brave";11
"bright";21
"brisk";80
"brutal";32
"calm";90
"candid";48
"capricious";12
"careful";44
"careless";61
"cautious";73
"certain";43
"cheerful";85
"childish";5
"civil";58
"clumsy";86
"coarse";72
"cold";75
"complimentary";36
"conciliatory";59
"confident";67
"confused";29
"conscientious";59
"consistent";48
"constant";89
"conventional";36
"cool";61
"courteous";37
"credulous";66
"cruel";83
"cunning";54
"curious";44
"dainty";20
"daring";78
"deep";26
"definite";42
"despondent";69
"determined";76
"dignified";32
"direct";59
"disorderly";66
"disrespectful";69
"distant";1
"distrustful";48
"dull";27
"eager";56
"earnest";71
"elegant";76
"exact";53
"excessive";37
"expressive";80
"faithful";9
"fearful";34
"fickle";49
"fierce";57
"fiery";70
"firm";84
"foolish";62
"forcible";50
"forgetful";2
"frank";45
"friendly";13
"frugal";53
"gallant";68
"generous";30
"genial";12
"genteel";6
"gentle";7
"gloomy";89
"graceful";30
"gracious";79
"gruff";87
"harsh";41
"hasty";10
"haughty";76
"headlong";18
"hearty";63
"honest";31
"hospitable";14
"humble";44
"ignorant";78
"impatient";55
"inconstant";22
"indifferent";28
"ingenious";5
"ingenuous";81
"intense";54
"intimate";66
"irreligious";5
"irresolute";66
"jaunty";5
"jovial";58
"kind";89
"lavish";22
"lazy";91
"lifeless";29
"lively";40
"loud";4
"loving";48
"loyal";18
"malicious";66
"manly";30
"meek";66
"merry";68
"mild";28
"modest";5
"moral";35
"musical";23
"narrow";19
"natural";31
"nervous";36
"noisy";56
"original";63
"particular";15
"patient";9
"peaceful";49
"philosophical";3
"pious";50
"placid";40
"pleasant";85
"polished";29
"political";60
"practical";20
"precise";48
"profound";17
"proper";46
"proud";15
"prudent";82
"quick";8
"quiet";38
"reasonable";25
"reckless";55
"religious";16
"restless";83
"rigid";74
"roguish";67
"rough";7
"rude";73
"scornful";69
"sensitive";65
"serious";83
"severe";51
"silent";43
"simple";72
"sincere";59
"slow";13
"smart";23
"social";86
"solemn";4
"sparkling";67
"stable";8
"steady";35
"stern";10
"strict";70
"sullen";19
"sunny";65
"surly";25
"suspicious";88
"talkative";47
"temperate";20
"tender";60
"thorough";24
"thoughtful";55
"tight";37
"timid";77
"uncouth";51
"unkind";69
"vague";33
"vain";33
"violent";77
"warm";52
"whimsical";24
"wild";1
"wise";8
"worldly";47
