"terms";"clusters"
"accomplished";38
"active";10
"adventurous";9
"affable";34
"affectionate";15
"agreeable";1
"amiable";26
"anxious";1
"aristocratic";3
"audacious";32
"awkward";41
"bitter";36
"bold";11
"brave";2
"bright";37
"calm";54
"candid";35
"capable";52
"capricious";9
"careful";24
"careless";27
"certain";37
"cheerful";44
"childish";51
"clever";48
"coarse";16
"cold";1
"compassionate";34
"complacent";31
"complimentary";32
"confident";41
"confused";13
"congenial";4
"considerate";50
"constant";48
"contradictory";19
"contrary";19
"conversational";36
"cool";7
"cordial";4
"cruel";6
"curious";1
"dainty";20
"deep";17
"defiant";18
"dependent";42
"determined";30
"dignified";38
"direct";9
"disdainful";53
"distant";17
"distrustful";49
"dull";26
"dutiful";45
"eager";7
"earnest";44
"earthy";20
"elegant";28
"eloquent";40
"emphatic";2
"energetic";32
"exact";42
"expressive";3
"faithful";24
"fearful";10
"fierce";49
"fiery";34
"foolish";13
"formal";2
"frank";5
"friendly";8
"gallant";2
"generous";7
"genial";46
"genteel";28
"gentle";47
"gloomy";8
"graceful";46
"gracious";22
"hasty";27
"haughty";38
"hearty";19
"honest";7
"hospitable";19
"humble";14
"immovable";30
"impatient";4
"indifferent";51
"industrious";45
"inflexible";31
"ingenuous";46
"inquisitive";41
"intellectual";9
"intelligent";21
"intemperate";16
"intense";36
"inward";41
"jealous";43
"kind";1
"languid";30
"literal";53
"lively";12
"loud";6
"loving";23
"mercenary";9
"merry";53
"methodical";41
"mild";39
"modest";42
"moral";46
"murderous";20
"musical";29
"narrow";26
"natural";37
"nervous";2
"observant";14
"orderly";49
"original";42
"particular";1
"patient";16
"peaceful";42
"placid";43
"playful";35
"pleasant";37
"polite";6
"practical";35
"profound";28
"proper";51
"proud";17
"prudent";40
"punctual";50
"quick";17
"quiet";37
"reasonable";54
"reproachful";20
"respectful";20
"responsible";33
"restless";11
"rigid";20
"rough";22
"selfish";40
"sensitive";20
"serene";43
"serious";15
"severe";48
"shrewd";41
"shy";25
"silent";44
"simple";15
"slow";8
"social";16
"solemn";10
"speedy";41
"spirited";25
"sprightly";16
"stable";11
"stalwart";32
"steady";24
"stern";53
"strict";18
"sunny";12
"suspicious";49
"tender";27
"thoughtful";47
"tight";39
"timid";38
"unreasonable";51
"unvarying";5
"vague";4
"violent";33
"vivacious";52
"warm";26
"whimsical";46
"wild";22
"zealous";34
"worldly";35
"vigorous";32
"wise";4
"vain";18
