"accomplished" "active" "affectionate" "agreeable" "amiable" "anxious" "awkward" "calm" "capable" "careful" "careless" "cautious" "ceremonious" "certain" "charitable" "cheerful" "civil" "clever" "clownish" "coarse" "cold" "compassionate" "confident" "confused" "constant" "cool" "cordial" "cruel" "curious" "decisive" "deep" "dependent" "determined" "direct" "discreet" "distant" "dull" "eager" "earnest" "elegant" "exact" "excessive" "expressive" "faithful" "fearful" "foolish" "friendly" "gallant" "generous" "gentle" "gentlemanlike" "graceful" "hasty" "honest" "humble" "ignorant" "illiterate" "impatient" "imprudent" "independent" "indifferent" "indulgent" "insolent" "intellectual" "intelligent" "intimate" "judicious" "just" "kind" "lively" "mild" "moderate" "modest" "musical" "natural" "negligent" "nervous" "obliging" "original" "particular" "pert" "pleasant" "prompt" "proper" "proud" "prudent" "quick" "quiet" "rational" "reasonable" "reserved" "respectful" "restless" "rude" "scrupulous" "selfish" "serious" "severe" "silent" "simple" "sincere" "slow" "social" "solemn" "solicitous" "steady" "tender" "thorough" "thoughtful" "thoughtless" "unaffected" "unfair" "unfeeling" "ungracious" "unpersuadable" "unreasonable" "unsuspicious" "vain" "warm" "wise" "wild"
"accomplished" 0 1 0 0 3 1 0 0 1 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 2 0 0 1 0 1 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0
"active" 1 0 1 1 2 2 1 0 1 0 1 0 0 0 1 2 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 2 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 1 0 1 2 1 0 2 0 1 0 1 0 1 1 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
"affectionate" 0 1 0 1 3 2 2 0 1 1 0 0 0 1 0 1 1 4 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 2 0 0 0 0 0 3 0 2 1 0 0 0 1 0 0 0 0 3 1 2 1 1 1 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 1 0
"agreeable" 0 1 1 0 10 6 2 0 1 1 0 1 0 4 0 7 2 3 2 1 9 2 2 2 2 0 2 0 1 1 0 1 3 2 0 1 2 2 2 6 0 0 0 1 1 0 5 5 0 3 1 2 0 0 2 5 2 2 1 1 1 0 1 0 0 2 2 1 7 3 2 3 1 3 10 2 2 4 1 4 1 12 1 9 3 2 8 5 6 6 1 0 0 1 0 0 7 8 4 3 1 0 1 1 1 3 0 2 0 2 2 1 0 0 1 2 1 1 5 1 0
"amiable" 3 2 3 10 0 6 0 0 2 1 2 0 1 3 1 4 4 4 1 0 4 0 1 1 2 0 1 2 0 1 0 2 4 2 1 2 0 1 1 6 1 1 0 1 0 1 3 3 2 3 0 2 0 0 2 3 1 1 1 2 1 1 0 1 1 1 0 1 13 2 1 3 1 3 11 1 1 7 1 8 1 6 1 5 1 0 7 1 5 2 1 1 1 1 1 0 3 6 3 2 0 0 3 0 0 1 1 0 0 1 1 1 0 2 0 1 0 3 3 1 0
"anxious" 1 2 2 6 6 0 2 0 4 0 2 0 1 7 1 4 3 2 1 0 3 1 1 2 1 0 1 1 1 1 1 0 2 0 0 2 1 3 3 1 0 1 1 1 0 1 2 2 1 1 0 0 1 0 1 0 1 1 2 0 1 0 1 0 0 3 0 1 6 2 1 1 1 4 5 2 2 5 0 6 1 4 1 10 1 0 4 3 1 4 0 0 1 2 1 0 2 2 2 0 1 1 0 1 0 1 1 2 0 1 0 0 0 0 0 1 0 1 4 1 0
"awkward" 0 1 2 2 0 2 0 0 0 0 0 0 1 1 0 2 2 2 1 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 2 0 0 0 0 0 0 3 0 0 2 0 0 0 0 1 2 1 1 0 0 0 0 1 0 0 0 0 0 3 1 0 0 0 0 1 1 1 1 0 1 1 2 0 1 0 0 2 0 1 0 0 0 0 1 1 0 3 1 3 1 0 0 0 0 1 0 0 3 0 1 0 0 1 1 1 1 0 1 2 1 1
"calm" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0
"capable" 1 1 1 1 2 4 0 0 0 1 1 0 0 2 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 2 3 0 1 2 0 4 1 0 0 3 0 0 2 2 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"careful" 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 1 1 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 1 0 1 0 0 0 0 1 1 1 1 1 1 1 0 0 0 2 2 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
