"active" "affectionate" "agreeable" "amiable" "anxious" "aristocratic" "awkward" "bitter" "boastful" "bold" "brave" "bright" "brisk" "calm" "capable" "careful" "careless" "certain" "cheerful" "childish" "clever" "clumsy" "cold" "complimentary" "confident" "confused" "consistent" "contemplative" "conventional" "cool" "cruel" "curious" "deep" "determined" "dignified" "direct" "discreet" "distant" "dull" "eager" "earnest" "elegant" "emphatic" "exact" "expressive" "faithful" "fierce" "foolish" "formal" "friendly" "gallant" "generous" "gentle" "gloomy" "graceful" "gracious" "greedy" "heroic" "honest" "hospitable" "humble" "ignorant" "impatient" "impertinent" "inconsistent" "independent" "indifferent" "industrious" "inquisitive" "insolent" "intimate" "intrusive" "jealous" "kind" "literary" "lively" "magnanimous" "manly" "maternal" "mercenary" "methodical" "mild" "modest" "moral" "narrow" "natural" "nervous" "observant" "orderly" "original" "particular" "passionate" "patient" "peaceful" "playful" "pleasant" "polite" "practical" "proper" "proud" "punctual" "quick" "quiet" "reasonable" "reckless" "responsible" "restless" "rough" "scornful" "selfish" "sensitive" "serious" "severe" "shallow" "shy" "silent" "simple" "slow" "social" "solemn" "sprightly" "stable" "steady" "stern" "strict" "sullen" "suspicious" "sympathetic" "tender" "thoughtful" "tight" "timid" "trustworthy" "underhanded" "vague" "vain" "violent" "warm" "wild" "wise"
"active" 0 0 0 0 1 0 0 0 0 2 0 3 0 0 1 1 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0
"affectionate" 0 0 2 1 0 1 1 0 0 0 0 2 0 0 0 1 0 5 0 1 1 0 1 0 0 1 1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 1 3 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 1 1 0 0 0 1 0 0 2 0 0 0 1 1 1 0 0 2 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 1 1 1 1
"agreeable" 0 2 0 0 1 1 1 1 1 1 1 6 2 0 1 0 0 10 1 2 3 1 3 1 1 1 1 1 1 1 0 0 3 1 0 1 0 2 7 0 0 2 1 0 2 3 0 1 0 5 0 4 3 1 1 4 1 1 0 1 2 1 0 0 0 0 4 1 1 0 2 0 1 4 1 0 2 1 4 0 0 3 1 3 3 8 1 1 1 5 4 1 2 2 0 2 4 1 3 2 1 1 2 2 0 3 0 0 0 1 3 2 0 1 0 3 2 1 1 0 1 4 1 0 1 1 0 0 2 1 0 0 0 1 0 1 2 0 1 1
"amiable" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 1 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 2 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"anxious" 1 0 1 0 0 1 0 0 1 0 1 4 1 0 0 0 1 7 1 0 1 0 2 1 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 0 0 0 0 0 0 1 0 0 1 3 0 3 0 1 0 3 1 0 2 0 1 1 2 1 1 0 1 1 0 1 1 1 2 1 3 0 1 1 0 1 0 0 1 0 0 3 1 0 0 2 2 0 0 0 0 1 0 0 0 3 1 2 3 0 0 0 0 0 0 0 1 2 1 0 2 1 0 0 1 1 0 1 1 0 0 1 1 0 0 3 0 0 0 0 0 2 0 1 0 1
"aristocratic" 0 1 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 3 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2
"awkward" 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 1 2 0
"bitter" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 2 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 2 0 0 1 1 0 0 0 0 1 0 1 0 0
"boastful" 0 0 1 0 1 0 1 0 0 0 1 2 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
"bold" 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 3 0 0 2 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 2 0 0 0 1 2 0 1 1 0 2 0 2 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0
