"terms";"clusters"
"accomplished";1
"affectionate";1
"agreeable";2
"amiable";1
"anxious";2
"bitter";1
"bold";2
"brave";1
"bright";2
"calm";1
"capable";1
"careful";1
"certain";2
"cheerful";2
"childish";1
"cold";2
"confused";1
"constant";2
"cool";1
"cruel";2
"curious";1
"deep";2
"determined";1
"devilish";1
"disdainful";1
"distant";2
"dull";2
"earnest";2
"elegant";1
"emphatic";1
"exact";1
"expressive";1
"faithful";1
"fierce";1
"frank";1
"friendly";1
"gallant";1
"generous";1
"genteel";1
"gentle";2
"gloomy";1
"graceful";1
"gracious";2
"haughty";1
"honest";2
"humble";1
"indifferent";1
"jealous";1
"juvenile";1
"kind";2
"lively";1
"loud";1
"mild";2
"modest";1
"moral";1
"natural";2
"observant";1
"original";1
"particular";2
"patient";1
"pensive";1
"pleasant";2
"polite";1
"presumptuous";1
"profound";1
"proper";1
"proud";2
"quick";2
"quiet";2
"restless";1
"rough";2
"sensitive";1
"serene";1
"serious";1
"severe";1
"silent";2
"simple";2
"slow";2
"social";1
"solemn";2
"steady";2
"stern";1
"sullen";1
"tender";1
"thoughtful";2
"tight";1
"timid";2
"tough";1
"vague";1
"violent";1
"warm";2
"wild";2
"worldly";1
