"active" "adventurous" "affectionate" "agreeable" "amiable" "anxious" "benevolent" "bitter" "bold" "bright" "calm" "capable" "certain" "cheerful" "childish" "chivalrous" "coarse" "cold" "confused" "constant" "contented" "cool" "cruel" "deep" "distant" "docile" "eager" "earnest" "enthusiastic" "excessive" "expressive" "fearful" "firm" "gallant" "generous" "genial" "gentle" "gloomy" "harsh" "heroic" "humane" "ignorant" "impatient" "indifferent" "inquisitive" "intense" "intimate" "invincible" "kind" "lifeless" "lively" "loud" "mild" "moderate" "moral" "narrow" "natural" "nervous" "passionate" "peaceful" "placid" "pleasant" "profound" "proud" "quick" "rough" "rude" "rugged" "saintly" "selfish" "sensitive" "serene" "serious" "severe" "silent" "simple" "slow" "solemn" "steady" "thoughtful" "vain" "violent" "warm" "wild" "vivid"
"active" 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
"adventurous" 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0
"affectionate" 1 0 0 0 2 1 1 0 1 0 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 2 1 2 1 1 0 0 1 1 0 1 1 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 2 1 2 0 0 0 0 0 0 1 2 0
"agreeable" 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 2 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 2 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 2 1 1
"amiable" 1 0 2 0 0 1 4 2 0 0 1 1 0 3 0 0 2 3 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 1 5 1 3 0 0 1 0 0 2 0 1 1 1 0 1 1 2 0 0 1 1 1 0 2 1 1 1 0 2 0 3 0 0 0 1 1 0 1 3 1 0 0 0 0 1 0 0 0 0
"anxious" 0 0 1 0 1 0 1 1 1 0 2 0 0 1 0 0 0 0 0 1 1 1 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 1 1 2 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 1 0
"benevolent" 1 0 1 1 4 1 0 1 0 0 2 0 0 3 1 0 1 5 0 2 1 0 1 2 1 2 0 0 0 1 3 0 0 0 1 0 3 1 4 1 0 1 0 0 0 1 1 0 1 1 1 1 3 0 1 0 2 1 0 1 1 1 0 1 3 1 2 0 0 0 0 2 0 1 1 1 1 0 0 0 1 1 0 1 0
"bitter" 0 0 0 0 2 1 1 0 0 0 1 5 0 0 0 0 0 5 1 0 0 1 0 2 2 1 0 0 1 0 1 0 2 0 3 1 4 1 1 0 0 2 0 0 1 0 0 0 2 2 0 1 1 0 0 0 2 0 1 1 1 0 1 0 0 0 1 1 1 2 0 0 0 0 3 1 1 1 1 0 1 0 2 2 0
"bold" 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0
"bright" 1 1 0 1 0 0 0 0 0 0 2 1 0 2 1 1 0 1 1 0 0 0 1 1 0 0 1 2 0 0 0 1 0 1 0 0 3 1 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 1 0 0 1 0 0 1 0 0 2 2 0 1 0 0 1 0 1 1 2 1 0 1
