"active" "affable" "affectionate" "agreeable" "amiable" "anxious" "benevolent" "bold" "bright" "calm" "careful" "certain" "cheerful" "clever" "cold" "considerate" "constant" "cool" "cruel" "curious" "deep" "determined" "direct" "distant" "dull" "earnest" "expressive" "faithful" "friendly" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "hearty" "honest" "humble" "ignorant" "immovable" "impatient" "indifferent" "ingenious" "jealous" "kind" "lively" "loud" "modest" "moral" "narrow" "natural" "original" "particular" "passionate" "patient" "pleasant" "polished" "polite" "political" "practical" "precise" "profound" "proper" "proud" "quick" "quiet" "reasonable" "responsible" "rigid" "rough" "sensitive" "serious" "severe" "silent" "simple" "slow" "social" "spirited" "steady" "stern" "submissive" "tender" "thoughtful" "tight" "timid" "vague" "vain" "violent" "warm" "wild" "wise"
"active" 0 0 0 1 1 1 0 1 0 1 0 3 0 0 1 0 1 0 0 0 1 0 0 2 0 1 1 0 0 0 1 2 0 0 2 0 1 1 0 1 0 0 0 0 1 0 0 0 0 1 1 2 4 0 1 0 0 1 1 1 0 0 2 0 0 3 0 0 2 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 1 0 1 1
"affable" 0 0 1 1 0 1 0 0 1 0 0 3 1 0 2 0 0 0 0 0 0 0 1 0 0 0 2 0 1 2 1 0 0 1 1 0 1 1 0 0 0 1 0 1 3 0 0 2 1 0 1 0 1 0 0 2 0 0 0 1 0 0 2 2 2 1 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
"affectionate" 0 1 0 1 1 1 0 0 2 0 3 4 2 0 1 1 2 1 2 2 1 0 0 0 1 0 0 1 3 2 0 2 0 1 1 0 1 0 1 0 2 2 1 0 2 0 0 1 2 0 5 1 3 1 1 4 0 1 0 1 2 0 0 5 2 3 3 0 0 2 0 3 0 0 1 3 1 0 0 0 0 0 0 0 2 1 2 0 0 2 1
"agreeable" 1 1 1 0 1 3 3 1 3 0 1 8 1 6 1 3 3 0 1 3 1 1 1 2 3 3 4 2 6 2 1 2 2 1 3 0 3 3 1 0 2 0 0 0 4 1 1 1 0 1 6 2 4 0 1 5 0 3 2 3 2 1 4 6 6 7 0 0 3 1 1 1 2 3 2 4 1 2 0 3 0 0 2 3 0 0 1 0 3 1 3
"amiable" 1 0 1 1 0 3 1 3 1 1 1 7 0 0 2 1 2 0 2 0 0 0 0 2 1 0 1 0 1 2 1 2 0 1 1 0 1 0 0 1 1 0 0 0 2 1 2 0 2 2 1 0 2 2 0 2 2 0 0 1 0 1 1 1 1 2 1 0 1 0 0 1 1 1 0 0 0 0 2 1 0 0 0 1 1 0 0 0 0 2 1
"anxious" 1 1 1 3 3 0 1 1 6 1 3 4 1 0 3 2 4 0 3 2 0 2 0 4 2 2 5 3 1 2 2 4 1 2 2 0 5 1 3 1 2 0 0 2 6 0 2 0 2 3 3 2 3 0 2 6 0 1 0 0 1 2 5 8 1 12 1 1 0 0 0 1 0 6 0 1 1 2 0 0 1 1 1 3 4 1 1 3 0 1 1
"benevolent" 0 0 0 3 1 1 0 0 2 1 0 1 0 0 1 0 0 1 0 0 0 0 1 1 1 1 1 0 0 1 0 0 1 0 0 0 2 1 0 0 1 0 0 1 1 0 2 0 1 1 1 0 0 0 0 1 3 0 0 0 0 0 1 1 1 3 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 1 0 1
"bold" 1 0 0 1 3 1 0 0 1 0 0 2 1 2 3 0 0 0 1 1 1 0 0 1 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 2 0 1 1 1 0 1 1 0 0 1 0 3 0 0 2 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0
"bright" 0 1 2 3 1 6 2 1 0 4 0 15 4 3 4 3 3 1 2 6 6 2 1 4 5 1 2 3 5 2 0 1 10 2 5 2 4 1 4 3 3 0 4 2 10 4 4 2 1 8 7 3 4 3 2 6 0 1 2 6 0 0 5 7 6 12 1 2 0 5 1 1 0 6 2 4 0 2 3 1 2 2 1 3 2 1 3 3 3 3 1
"calm" 1 0 0 0 1 1 1 0 4 0 1 5 0 1 2 0 1 0 1 0 1 0 1 2 1 1 1 2 1 0 0 0 2 0 0 0 1 0 1 2 1 0 1 0 2 0 1 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 4 2 0 1 0 0 1 0 2 0 1 0 0 0 0 0 0 2 1 0 0 0 1 0 3 0
