"terms";"clusters"
"active";2
"affectionate";2
"agreeable";2
"amiable";2
"anxious";1
"bitter";2
"bright";1
"calm";1
"careful";2
"certain";1
"cheerful";1
"clever";2
"cold";1
"cruel";2
"curious";2
"deep";1
"distant";1
"dull";2
"eager";1
"earnest";1
"exact";2
"expressive";2
"faithful";2
"fearful";1
"fierce";2
"friendly";2
"generous";2
"gentle";1
"gloomy";1
"gracious";2
"hasty";2
"haughty";2
"hearty";1
"honest";1
"humane";2
"humble";2
"impatient";2
"ingenious";2
"intense";2
"irrepressible";2
"kind";1
"lively";2
"loud";1
"malicious";2
"merry";2
"narrow";1
"natural";2
"nervous";2
"noisy";2
"particular";1
"peaceful";2
"pleasant";1
"precise";2
"profound";1
"proper";1
"proud";2
"quick";1
"quiet";1
"respectful";2
"rigid";2
"rough";1
"serious";2
"silent";1
"simple";1
"slow";1
"smart";2
"solemn";1
"strict";2
"surly";2
"thoughtful";2
"vigorous";2
"violent";1
"warm";1
"wild";1
"wise";2
