"terms";"clusters"
"active";25
"affected";20
"affectionate";41
"agreeable";6
"amiable";50
"anxious";53
"awkward";48
"benevolent";14
"boisterous";18
"bold";47
"bright";6
"calm";34
"careful";3
"cautious";46
"certain";6
"cheerful";33
"cold";31
"complicated";16
"confused";48
"constant";23
"contemplative";40
"cool";12
"critical";51
"cruel";22
"cunning";12
"curious";28
"deep";5
"determined";30
"devilish";24
"dignified";55
"distant";10
"dull";40
"eager";30
"earnest";47
"elegant";20
"eloquent";32
"emphatic";14
"enthusiastic";35
"excessive";7
"expressive";34
"facetious";51
"faithful";44
"fearful";27
"fierce";23
"firm";15
"foolish";19
"friendly";26
"gentle";10
"gloomy";39
"graceful";16
"gracious";13
"harsh";25
"hasty";27
"haughty";51
"hearty";42
"honest";35
"hospitable";36
"humble";44
"humorous";19
"immovable";45
"indefatigable";45
"independent";54
"ingenious";52
"intense";11
"intimate";12
"kind";11
"lazy";43
"learned";4
"lively";11
"loud";9
"merry";2
"moral";14
"narrow";2
"natural";50
"nervous";29
"noisy";30
"original";45
"particular";5
"pleasant";5
"poetic";46
"practical";51
"precise";38
"profound";17
"proper";53
"proud";3
"quiet";5
"reasonable";49
"respectful";22
"restless";26
"rude";8
"sentimental";51
"serious";1
"severe";32
"silent";10
"slow";41
"smart";53
"solemn";37
"spirited";54
"stable";49
"steady";48
"stern";21
"strict";18
"surly";18
"suspicious";13
"talkative";43
"thoughtful";43
"tight";20
"vain";8
"verbal";45
"violent";33
"warm";6
"wild";53
"wise";26
