"active" "affectionate" "agreeable" "amiable" "anxious" "calm" "capable" "certain" "cheerful" "civil" "cold" "constant" "cruel" "determined" "distant" "dull" "eager" "earnest" "excessive" "friendly" "gentle" "honest" "impatient" "impertinent" "independent" "indifferent" "intimate" "kind" "lively" "natural" "particular" "pleasant" "proper" "proud" "prudent" "quick" "quiet" "reasonable" "selfish" "serious" "silent" "simple" "sincere" "smart" "vain" "violent" "warm"
"active" 0 0 1 3 2 1 0 2 1 1 1 4 0 1 0 0 0 2 1 1 1 0 1 1 0 2 0 1 0 2 1 0 2 0 0 2 0 2 0 2 2 2 2 2 0 1 2
"affectionate" 0 0 2 5 0 3 4 7 1 2 4 1 0 1 0 1 4 0 0 0 1 2 2 0 2 2 1 2 3 5 6 1 4 0 3 1 3 2 1 3 5 1 2 0 2 2 1
"agreeable" 1 2 0 2 4 0 1 4 1 6 4 3 1 1 1 4 3 2 3 1 2 0 0 2 2 1 1 2 1 4 6 3 0 0 0 1 2 0 0 5 6 1 0 4 0 2 0
"amiable" 3 5 2 0 1 0 3 3 1 3 4 3 1 2 0 0 4 3 0 0 1 0 1 0 2 2 0 0 1 5 4 1 3 0 1 0 2 1 3 2 3 3 2 0 0 3 2
"anxious" 2 0 4 1 0 2 4 4 1 3 4 4 1 3 3 3 1 4 0 3 0 2 3 1 0 1 1 5 0 6 10 3 2 1 2 2 1 4 1 4 6 6 3 2 2 5 2
"calm" 1 3 0 0 2 0 0 4 2 0 3 1 0 3 1 0 0 2 0 2 1 1 0 0 0 1 3 1 2 2 2 1 0 1 2 1 2 4 0 1 4 2 2 1 1 1 0
"capable" 0 4 1 3 4 0 0 4 1 0 4 5 4 1 2 1 1 4 0 1 3 2 3 0 3 3 1 1 2 6 8 1 2 2 1 2 3 2 2 2 5 3 2 0 1 2 1
"certain" 2 7 4 3 4 4 4 0 2 1 1 5 1 3 2 2 3 1 0 1 1 2 3 1 2 3 4 3 2 6 8 4 4 1 2 2 3 1 2 3 6 8 2 1 2 2 3
"cheerful" 1 1 1 1 1 2 1 2 0 1 3 2 0 1 0 1 1 2 0 0 0 1 2 0 2 1 1 2 0 0 4 0 2 0 0 1 3 1 2 5 6 1 2 1 0 3 2
"civil" 1 2 6 3 3 0 0 1 1 0 2 2 0 1 0 2 1 1 2 2 2 0 1 2 1 0 0 2 0 2 3 2 0 0 0 1 2 0 0 2 3 1 0 2 0 3 1
