"terms";"clusters"
"affectionate";14
"agreeable";2
"amiable";11
"anxious";12
"bitter";23
"bold";5
"bright";28
"calm";7
"careful";14
"cautious";11
"certain";21
"cheerful";1
"cold";22
"constant";3
"cool";30
"cunning";31
"curious";15
"deep";22
"distant";10
"dull";18
"earnest";8
"exact";23
"faithful";4
"fearful";6
"foolish";29
"friendly";26
"genteel";23
"gentle";10
"gloomy";16
"hasty";4
"hearty";11
"honest";26
"humble";12
"impatient";4
"kind";19
"loud";2
"merry";5
"mild";23
"modest";11
"moral";32
"narrow";13
"natural";19
"noisy";24
"original";1
"particular";19
"peaceful";4
"pleasant";21
"profound";25
"proper";27
"quick";26
"quiet";22
"restless";15
"rough";3
"silent";22
"simple";20
"slow";17
"smart";31
"solemn";9
"tender";32
"thoughtful";8
"tight";31
"timid";20
"vague";32
"violent";5
"warm";8
"wild";16
