"affectionate" "agreeable" "anxious" "bold" "bright" "calm" "certain" "cheerful" "childish" "cold" "cruel" "curious" "deep" "distant" "dull" "earnest" "foolish" "friendly" "gentle" "honest" "kind" "natural" "particular" "pleasant" "proud" "quick" "quiet" "rough" "serious" "silent" "simple" "slow" "thoughtful" "wild"
"affectionate" 0 5 1 1 3 2 6 3 2 1 3 1 4 1 3 5 2 1 6 1 5 4 3 2 1 1 9 2 5 5 0 2 1 1
"agreeable" 5 0 3 1 5 2 8 4 4 5 5 1 3 6 1 1 3 6 3 3 6 13 5 7 2 2 7 0 4 3 0 2 4 0
"anxious" 1 3 0 4 3 4 9 2 4 6 2 4 3 1 5 2 4 2 4 2 3 4 4 5 1 2 4 1 3 4 2 1 5 6
"bold" 1 1 4 0 2 1 5 2 0 1 0 4 4 1 1 3 0 2 3 2 2 3 1 3 0 3 10 5 2 1 2 0 3 3
"bright" 3 5 3 2 0 5 6 8 11 5 2 3 4 4 3 5 7 5 8 3 8 14 9 10 9 5 15 6 9 5 5 4 3 6
"calm" 2 2 4 1 5 0 4 2 1 2 2 1 2 1 1 1 3 3 6 1 2 4 2 2 5 1 8 2 1 4 0 2 0 2
"certain" 6 8 9 5 6 4 0 5 3 5 2 6 9 7 1 6 2 9 7 5 11 11 8 5 7 5 14 3 5 6 6 5 6 9
"cheerful" 3 4 2 2 8 2 5 0 3 5 3 0 1 3 5 4 2 2 3 2 6 7 3 4 2 1 11 1 3 6 5 1 2 2
"childish" 2 4 4 0 11 1 3 3 0 1 3 1 2 2 2 2 2 1 1 1 4 1 3 2 4 1 5 3 3 3 1 2 0 4
"cold" 1 5 6 1 5 2 5 5 1 0 3 1 3 5 2 2 2 3 6 2 5 5 3 7 3 0 7 4 1 5 0 1 1 3
"cruel" 3 5 2 0 2 2 2 3 3 3 0 1 4 2 0 4 2 2 1 3 4 4 2 7 2 1 7 0 4 8 0 1 1 2
"curious" 1 1 4 4 3 1 6 0 1 1 1 0 5 1 4 0 1 3 2 0 4 0 0 4 2 2 3 3 0 4 1 0 2 4
"deep" 4 3 3 4 4 2 9 1 2 3 4 5 0 2 2 3 3 1 5 3 3 4 2 8 3 3 5 2 2 3 0 1 1 4
"distant" 1 6 1 1 4 1 7 3 2 5 2 1 2 0 1 1 0 4 3 2 3 5 5 4 4 2 9 1 0 3 1 2 2 2
"dull" 3 1 5 1 3 1 1 5 2 2 0 4 2 1 0 1 1 1 4 1 4 6 3 7 3 2 6 1 0 5 0 2 2 7
"earnest" 5 1 2 3 5 1 6 4 2 2 4 0 3 1 1 0 0 2 4 1 4 5 3 5 4 3 6 3 3 3 3 3 2 6
"foolish" 2 3 4 0 7 3 2 2 2 2 2 1 3 0 1 0 0 2 7 0 5 3 1 2 2 1 7 3 5 5 1 0 0 4
"friendly" 1 6 2 2 5 3 9 2 1 3 2 3 1 4 1 2 2 0 4 0 6 5 5 7 3 4 4 3 1 2 3 1 5 3
"gentle" 6 3 4 3 8 6 7 3 1 6 1 2 5 3 4 4 7 4 0 3 6 7 4 5 3 6 11 4 4 6 2 1 4 5
"honest" 1 3 2 2 3 1 5 2 1 2 3 0 3 2 1 1 0 0 3 0 3 3 3 5 2 0 3 3 1 5 1 5 1 2
"kind" 5 6 3 2 8 2 11 6 4 5 4 4 3 3 4 4 5 6 6 3 0 7 5 6 2 1 8 8 5 10 2 2 1 6
"natural" 4 13 4 3 14 4 11 7 1 5 4 0 4 5 6 5 3 5 7 3 7 0 11 7 4 6 11 3 5 8 8 5 6 2
"particular" 3 5 4 1 9 2 8 3 3 3 2 0 2 5 3 3 1 5 4 3 5 11 0 7 8 2 11 2 4 2 2 2 2 3
"pleasant" 2 7 5 3 10 2 5 4 2 7 7 4 8 4 7 5 2 7 5 5 6 7 7 0 3 5 12 4 4 8 4 2 1 6
"proud" 1 2 1 0 9 5 7 2 4 3 2 2 3 4 3 4 2 3 3 2 2 4 8 3 0 1 9 4 0 2 3 3 0 3
"quick" 1 2 2 3 5 1 5 1 1 0 1 2 3 2 2 3 1 4 6 0 1 6 2 5 1 0 4 0 3 2 2 1 4 1
"quiet" 9 7 4 10 15 8 14 11 5 7 7 3 5 9 6 6 7 4 11 3 8 11 11 12 9 4 0 5 5 11 4 3 5 8
"rough" 2 0 1 5 6 2 3 1 3 4 0 3 2 1 1 3 3 3 4 3 8 3 2 4 4 0 5 0 1 6 2 1 1 7
"serious" 5 4 3 2 9 1 5 3 3 1 4 0 2 0 0 3 5 1 4 1 5 5 4 4 0 3 5 1 0 1 1 2 1 3
"silent" 5 3 4 1 5 4 6 6 3 5 8 4 3 3 5 3 5 2 6 5 10 8 2 8 2 2 11 6 1 0 2 3 3 6
"simple" 0 0 2 2 5 0 6 5 1 0 0 1 0 1 0 3 1 3 2 1 2 8 2 4 3 2 4 2 1 2 0 0 2 0
"slow" 2 2 1 0 4 2 5 1 2 1 1 0 1 2 2 3 0 1 1 5 2 5 2 2 3 1 3 1 2 3 0 0 1 0
"thoughtful" 1 4 5 3 3 0 6 2 0 1 1 2 1 2 2 2 0 5 4 1 1 6 2 1 0 4 5 1 1 3 2 1 0 1
"wild" 1 0 6 3 6 2 9 2 4 3 2 4 4 2 7 6 4 3 5 2 6 2 3 6 3 1 8 7 3 6 0 0 1 0
