"terms";"clusters"
"#-harsh";124
"#-silent";145
"abrupt";12
"abstract";144
"accomplished";4
"acid";144
"active";170
"adventurous";103
"affable";203
"affected";141
"affectionate";189
"agreeable";90
"aloof";19
"ambitious";79
"amiable";76
"amorous";179
"angelic";56
"anxious";75
"approachable";188
"audacious";154
"awkward";68
"beneficent";80
"benevolent";121
"bitter";132
"bland";110
"blunt";100
"boisterous";65
"bold";58
"bountiful";179
"boyish";195
"brave";28
"breezy";103
"bright";51
"brisk";113
"brutal";153
"buoyant";164
"calm";29
"candid";12
"capable";81
"capricious";24
"careful";132
"careless";127
"casual";104
"cautious";7
"certain";131
"changeable";154
"charitable";150
"chaste";39
"cheerful";112
"childish";190
"civil";45
"clever";100
"clumsy";37
"coarse";176
"coherent";124
"cold";123
"communicative";34
"companionable";34
"compassionate";197
"complacent";46
"complex";186
"complicated";85
"complimentary";44
"conciliatory";38
"condescending";146
"confident";55
"confused";118
"congenial";171
"conscientious";74
"considerate";144
"consistent";172
"constant";64
"contented";71
"conventional";148
"conversational";146
"cool";127
"cordial";95
"courageous";34
"courteous";82
"courtly";98
"cowardly";121
"crafty";95
"credulous";14
"critical";53
"cruel";158
"cunning";152
"curious";132
"dainty";185
"daring";18
"deep";97
"defensive";146
"definite";138
"dependent";42
"despondent";33
"destructive";6
"determined";134
"devilish";160
"devout";155
"dignified";194
"direct";8
"discourteous";175
"discreet";3
"disdainful";27
"disorderly";39
"disrespectful";81
"dissatisfied";102
"distant";196
"distrustful";12
"dogged";120
"doleful";104
"dreamy";179
"dull";183
"eager";13
"earnest";96
"earthy";5
"elegant";181
"emphatic";130
"energetic";171
"enlightened";60
"enthusiastic";40
"envious";106
"exact";191
"excessive";82
"excitable";147
"exclusive";27
"explicit";25
"expressive";48
"extravagant";204
"faithful";101
"fanciful";117
"fearful";113
"feminine";126
"fervent";110
"fickle";78
"fierce";170
"fiery";52
"firm";59
"flighty";67
"flippant";154
"foolhardy";46
"foolish";139
"forcible";39
"forgetful";78
"forgiving";9
"formal";83
"frank";134
"friendly";57
"frivolous";81
"frugal";169
"gallant";93
"generous";200
"genial";76
"genteel";144
"gentle";26
"gloomy";162
"graceful";157
"gracious";174
"greedy";204
"gregarious";35
"gruff";115
"hardened";20
"harsh";202
"hasty";88
"haughty";180
"headlong";177
"heartless";175
"hearty";201
"heedless";151
"heretical";43
"heroic";31
"honest";125
"hospitable";37
"humble";69
"humorous";108
"icy";185
"ignorant";136
"immovable";165
"impatient";62
"impertinent";195
"imperturbable";10
"impetuous";34
"impious";20
"imprudent";33
"incautious";150
"inconsiderate";122
"inconstant";129
"incorruptible";33
"indefinite";56
"indelicate";43
"independent";14
"indifferent";93
"indomitable";21
"inefficient";121
"inflexible";80
"informed";137
"ingenious";109
"ingenuous";81
"injudicious";98
"inquisitive";39
"insecure";40
"intellectual";9
"intemperate";39
"intense";152
"intimate";169
"intrusive";188
"invariable";102
"inward";117
"ironical";122
"irreligious";199
"irresolute";150
"irreverent";175
"jaunty";136
"jealous";108
"jolly";190
"jovial";17
"judicious";31
"just";173
"juvenile";49
"kind";162
"languid";22
"lavish";17
"lazy";92
"leisurely";154
"lifeless";84
"live";160
"lively";29
"logical";155
"loud";86
"loving";12
"loyal";144
"lucid";46
"lusty";167
"malicious";118
"manly";200
"meek";8
"mercenary";67
"merciful";119
"merciless";143
"merry";140
"mild";30
"mirthful";198
"moderate";31
"modest";135
"moral";192
"musical";70
"narrow";161
"natural";66
"negative";137
"negligent";15
"nervous";129
"noisy";13
"obliging";60
"observant";80
"orderly";171
"original";64
"particular";125
"passionate";175
"passive";194
"patient";101
"peaceful";7
"peevish";130
"persuasive";81
"petty";168
"philosophical";47
"pious";111
"placid";29
"playful";165
"pleasant";112
"pliant";9
"polished";84
"polite";42
"political";166
"practical";61
"precise";73
"productive";54
"profane";145
"profound";192
"proper";90
"prophetic";2
"proud";125
"prudent";18
"punctual";168
"quick";75
"quiet";51
"rash";77
"rational";49
"reasonable";200
"rebellious";195
"reckless";107
"refined";173
"reflective";80
"relentless";99
"religious";157
"reproachful";137
"respectful";133
"responsible";20
"restless";158
"rigid";116
"roguish";41
"rough";63
"rude";59
"rugged";124
"sarcastic";105
"scornful";36
"scrupulous";46
"selfish";9
"sensitive";32
"sentimental";1
"serene";191
"serious";64
"severe";87
"shallow";49
"shrewd";23
"shrewish";144
"shy";188
"silent";131
"simple";114
"sincere";8
"slanderous";15
"slow";64
"sluggish";203
"sly";54
"smart";70
"sociable";110
"social";142
"solemn";149
"sparkling";47
"speedy";184
"spirited";156
"spiritual";79
"spiteful";204
"spontaneous";60
"squeamish";43
"stable";75
"stalwart";185
"steady";170
"stern";88
"stormy";128
"strict";84
"submissive";102
"sullen";161
"sunny";159
"surly";87
"suspicious";52
