"terms";"clusters"
"#-certain";9
"#-honest";198
"#-particular";33
"#-proper";187
"#-serious";182
"#-smart";104
"#-violent";111
"abrupt";146
"abstract";145
"accessible";98
"accomplished";12
"accurate";31
"active";89
"adventurous";127
"affable";87
"affected";99
"affectionate";126
"affirmative";123
"agreeable";77
"aloof";146
"ambitious";189
"amiable";166
"amicable";1
"amorous";196
"angelic";10
"anticipative";198
"anxious";101
"arbitrary";187
"argumentative";85
"aristocratic";120
"arrogant";110
"assured";119
"audacious";15
"awkward";129
"bashful";9
"benevolent";50
"bitter";56
"blunt";87
"boastful";143
"boisterous";171
"bold";18
"boyish";17
"brave";16
"bright";128
"brisk";37
"brutal";39
"buoyant";154
"calculating";86
"calm";61
"candid";85
"capable";91
"careful";181
"careless";158
"careworn";103
"casual";4
"cautious";63
"certain";101
"changeable";172
"charitable";151
"chaste";60
"chatty";167
"cheerful";169
"childish";200
"civil";116
"clever";201
"clumsy";191
"coarse";114
"coherent";104
"cold";101
"communicative";7
"compassionate";174
"complacent";189
"complex";95
"complicated";51
"complimentary";136
"condescending";33
"confident";124
"confused";178
"conscientious";110
"considerate";12
"constant";122
"contented";66
"contradictory";142
"conventional";70
"conversational";45
"cool";53
"cordial";12
"courteous";116
"covetous";85
"cowardly";87
"crafty";160
"critical";75
"cruel";91
"cunning";52
"curious";166
"dainty";183
"decisive";167
"deep";128
"definite";75
"deliberate";103
"dependent";20
"derisive";167
"despondent";182
"destructive";17
"detached";175
"determined";4
"devilish";138
"dignified";106
"direct";57
"discerning";67
"discreet";123
"disdainful";20
"disrespectful";121
"dissatisfied";127
"distant";194
"docile";16
"dogged";137
"doleful";82
"dreamy";183
"dull";128
"dutiful";143
"eager";129
"earnest";77
"economical";92
"elegant";114
"eloquent";66
"emphatic";176
"energetic";188
"enlightened";110
"enthusiastic";31
"envious";41
"evasive";130
"exact";138
"excessive";139
"excitable";160
"exclusive";202
"explicit";161
"expressive";166
"extravagant";109
"facetious";149
"faithful";55
"fastidious";35
"fearful";72
"feminine";137
"fervent";84
"fickle";73
"fierce";37
"fiery";40
"firm";72
"flighty";46
"flippant";131
"foolish";129
"formal";185
"forward";174
"frank";49
"fretful";107
"friendly";80
"frivolous";187
"frugal";183
"gallant";55
"generous";165
"genial";92
"genteel";13
"gentle";128
"girlish";21
"gloomy";88
"graceful";29
"gracious";179
"greedy";157
"gruff";186
"guileless";4
"hardened";83
"harsh";133
"hasty";77
"haughty";163
"headlong";180
"heartless";78
"hearty";122
"heroic";171
"honest";148
"hospitable";104
"hostile";34
"humane";130
"humble";97
"humorous";168
"hypocritical";96
"ignorant";140
"illiterate";163
"imitative";47
