"terms";"clusters"
"#-harsh";175
"#-silent";109
"abrupt";87
"abstract";156
"accomplished";8
"acid";156
"active";52
"adventurous";29
"affable";63
"affected";102
"affectionate";57
"agreeable";142
"aloof";60
"ambitious";91
"amiable";82
"amorous";93
"angelic";37
"anxious";98
"approachable";83
"audacious";6
"awkward";85
"beneficent";61
"benevolent";86
"bitter";44
"bland";3
"blunt";15
"boisterous";52
"bold";101
"bountiful";93
"boyish";23
"brave";73
"breezy";29
"bright";75
"brisk";2
"brutal";24
"buoyant";117
"calm";59
"candid";87
"capable";27
"capricious";147
"careful";44
"careless";76
"casual";89
"cautious";103
"certain";115
"changeable";6
"charitable";96
"chaste";174
"cheerful";127
"childish";158
"civil";45
"clever";137
"clumsy";65
"coarse";107
"coherent";37
"cold";115
"communicative";74
"companionable";74
"compassionate";33
"complacent";36
"complex";151
"complicated";143
"complimentary";94
"conciliatory";92
"condescending";172
"confident";160
"confused";149
"congenial";178
"conscientious";182
"considerate";156
"consistent";32
"constant";69
"contented";67
"conventional";183
"conversational";153
"cool";43
"cordial";122
"courageous";74
"courteous";148
"courtly";11
"cowardly";86
"crafty";62
"credulous";84
"critical";21
"cruel";35
"cunning";162
"curious";165
"dainty";88
"daring";171
"deep";176
"defensive";172
"definite";24
"dependent";7
"despondent";26
"destructive";64
"determined";159
"devilish";125
"devout";175
"dignified";24
"direct";30
"discourteous";126
"discreet";16
"disdainful";9
"disorderly";80
"disrespectful";27
"dissatisfied";114
"distant";38
"distrustful";87
"dogged";31
"doleful";97
"dreamy";18
"dull";177
"eager";68
"earnest";43
"earthy";181
"elegant";32
"emphatic";151
"energetic";86
"enlightened";133
"enthusiastic";124
"envious";121
"exact";158
"excessive";148
"excitable";89
"exclusive";9
"explicit";133
"expressive";17
"extravagant";144
"faithful";100
"fanciful";139
"fearful";39
"feminine";118
"fervent";3
"fickle";119
"fierce";52
"fiery";149
"firm";68
"flighty";123
"flippant";6
"foolhardy";178
"foolish";59
"forcible";182
"forgetful";119
"forgiving";8
"formal";1
"frank";54
"friendly";166
"frivolous";27
"frugal";4
"gallant";100
"generous";40
"genial";82
"genteel";156
"gentle";154
"gloomy";69
"graceful";169
"gracious";40
"greedy";99
"gregarious";67
"gruff";92
"hardened";49
"harsh";132
"hasty";25
"haughty";32
"headlong";149
"heartless";126
"hearty";78
"heedless";47
"heretical";50
"heroic";151
"honest";101
"hospitable";57
"humble";166
"humorous";24
"icy";88
"ignorant";113
"immovable";134
"impatient";5
"impertinent";31
"imperturbable";72
"impetuous";74
"impious";151
"imprudent";19
"incautious";108
"inconsiderate";178
"inconstant";130
"incorruptible";145
"indefinite";42
"indelicate";109
"independent";173
"indifferent";25
"indomitable";95
"inefficient";42
"inflexible";135
"informed";77
"ingenious";136
"ingenuous";161
"injudicious";11
"inquisitive";80
"insecure";124
"intellectual";111
"intemperate";174
"intense";121
"intimate";4
"intrusive";48
"invariable";124
"inward";139
"ironical";152
"irreligious";90
"irresolute";164
"irreverent";178
"jaunty";121
"jealous";24
"jolly";88
"jovial";170
"judicious";151
"just";70
"juvenile";66
"kind";69
"languid";18
"lavish";170
"lazy";58
"leisurely";6
"lifeless";65
"live";41
"lively";59
"logical";175
"loud";98
"loving";87
"loyal";156
"lucid";178
"lusty";13
"malicious";107
"manly";146
"meek";34
"mercenary";123
"merciful";62
"merciless";96
"merry";132
"mild";25
"mirthful";66
"moderate";22
"modest";90
"moral";76
"musical";112
"narrow";140
"natural";154
"negative";8
"negligent";22
"nervous";183
"noisy";55
"obliging";133
"observant";135
"orderly";181
"original";14
"particular";101
"passionate";152
"passive";24
"patient";132
"peaceful";148
"peevish";151
"persuasive";27
"petty";10
"philosophical";105
"pious";164
"placid";59
"playful";134
"pleasant";127
"pliant";151
"polished";28
"polite";114
"political";120
"practical";141
"precise";180
"productive";86
"profane";152
"profound";165
"proper";142
"prophetic";167
"proud";101
"prudent";171
"punctual";10
"quick";106
"quiet";75
"rash";122
"rational";23
"reasonable";112
"rebellious";143
"reckless";163
"refined";70
"reflective";77
"relentless";56
"religious";110
"reproachful";77
"respectful";29
"responsible";37
"restless";35
"rigid";103
"roguish";160
"rough";154
"rude";138
"rugged";178
"sarcastic";145
"scornful";46
"scrupulous";95
"selfish";111
"sensitive";51
"sentimental";155
"serene";108
"serious";14
"severe";130
"shallow";116
"shrewd";1
"shrewish";156
"shy";48
"silent";115
"simple";147
"sincere";20
"slanderous";36
"slow";168
"sluggish";63
"sly";61
"smart";112
"sociable";178
"social";57
"solemn";78
"sparkling";105
"speedy";72
"spirited";71
"spiritual";91
"spiteful";7
"spontaneous";49
"squeamish";91
"stable";98
"stalwart";88
"steady";44
"stern";132
"stormy";12
"strict";65
"submissive";53
"sullen";5
"sunny";130
"surly";94
"suspicious";107
"talkative";85
"tame";116
"temperate";156
"tempestuous";181
"tender";141
"thorough";150
"thoughtful";25
"tidy";48
"tight";94
"timid";100
"timorous";72
"transparent";157
"trustworthy";11
"tyrannical";47
"unassuming";48
"unchanging";104
"uncouth";81
"undutiful";179
"ungentlemanly";15
"ungovernable";151
"unkind";71
"unobservant";48
"unreasonable";160
"unrelenting";10
"unsociable";66
"unthinking";125
"unvarying";143
"unyielding";143
"vague";140
"vain";100
"verbal";18
"violent";140
"vivacious";3
"warm";128
"whimsical";129
"wild";38
"wise";131
"sour";126
"servile";91
"unceremonious";53
"valiant";157
"vigorous";133
"worldly";79
"zealous";70
"unreserved";179
"uncivil";178
"thoughtless";143
"tough";118
"undisciplined";109
"underhanded";91
"straightforward";93
"truthful";23
"testy";36
"vivid";136
"ungraceful";12
"wily";167
"unmindful";117
"unerring";16
"unrestrained";42
"unmerciful";12
"visionary";56
"uninformed";50
"sultry";144
"superstitious";135
"restrained";109
"unresponsive";126
