"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"#-deep";8;8;1;75;1;"#-deep";4,28206339272227;"#-deep";0,913221659690036;"#-deep";110,5;"#-deep";0,0305116696385802;"#-deep";0,375087767839432
"#-kind";5;5;0;0;1;"#-kind";4,42490742349784;"#-kind";0,91050992411281;"#-kind";129;"#-kind";0,0230321094702615;"#-kind";0,412880599498749
"affectionate";5;5;0;0;1;"affectionate";1,79175946922805;"affectionate";1;"affectionate";6;"affectionate";0;"affectionate";0
"agreeable";46;34;8;14,5;0,739130434782609;"agreeable";3,95922897044845;"agreeable";0,922944883404497;"agreeable";92,8888888888889;"agreeable";0,0313782044217806;"agreeable";0,35104904572169
"anxious";32;24;7;13;0,75;"anxious";4,23535025360686;"anxious";0,914371738242271;"anxious";105,75;"anxious";0,0349482230835893;"anxious";0,391112994402647
"arbitrary";8;8;0;0;1;"arbitrary";4,33886746081949;"arbitrary";0,911110665050447;"arbitrary";117;"arbitrary";0,0308988764044944;"arbitrary";0,398743242025375
"awkward";11;11;3;22;1;"awkward";4,29670210309914;"awkward";0,911675204688672;"awkward";112,5;"awkward";0,0307009197942574;"awkward";0,39195292443037
"bitter";11;11;2;38,5;1;"bitter";2,96509029107728;"bitter";0,963747119950998;"bitter";44,3333333333333;"bitter";0,0947108447108447;"bitter";0,193556740880012
"bold";17;15;3;18,3333333333333;0,882352941176471;"bold";4,37640684766227;"bold";0,911573454946958;"bold";122;"bold";0,0267560746910675;"bold";0,393800996243953
"brave";3;3;0;0;1;"brave";4,36851299945315;"brave";0,910905711564928;"brave";121;"brave";0,0277227722772277;"brave";0,382040828466415
"bright";20;19;2;25;0,95;"bright";4,12569771272191;"bright";0,916685683187988;"bright";92;"bright";0,0412376508607463;"bright";0,388814628124237
"brutal";4;4;0;0;1;"brutal";3,97119160296355;"brutal";0,922660674726736;"brutal";74;"brutal";0,0526315789473684;"brutal";0,366288632154465
"calm";56;43;12;6,75;0,767857142857143;"calm";3,654227268258;"calm";0,945413486262639;"calm";57;"calm";0,10396670812109;"calm";0,288958951830864
"capable";10;10;3;33;1;"capable";4,16334865936729;"capable";0,919817035265784;"capable";98;"capable";0,0393313709181863;"capable";0,362811535596848
"careful";15;12;3;18;0,8;"careful";4,21176161709539;"careful";0,91401810382937;"careful";101,75;"careful";0,0364068565876814;"careful";0,391413256525994
"careless";6;6;0;0;1;"careless";4,21504642100177;"careless";0,911366745528735;"careless";102;"careless";0,0358056265984655;"careless";0,412060648202896
"casual";12;12;1;17;1;"casual";4,24949785400099;"casual";0,910610545663147;"casual";106,5;"casual";0,0344838357111329;"casual";0,406744033098221
"cautious";14;13;3;13,3333333333333;0,928571428571429;"cautious";4,32008506662415;"cautious";0,910741648336891;"cautious";115,25;"cautious";0,0302969410996792;"cautious";0,39332427829504
"certain";80;52;16;7,1875;0,65;"certain";4,24320087459362;"certain";0,915061482419873;"certain";107,352941176471;"certain";0,0360268615617455;"certain";0,379066201693871
"charitable";17;14;2;54;0,823529411764706;"charitable";4,11780502415858;"charitable";0,928746243753353;"charitable";98,3333333333333;"charitable";0,0502256711952512;"charitable";0,327830746769905
"cheerful";21;20;5;21,8;0,952380952380952;"cheerful";3,87222400899246;"cheerful";0,935014866691711;"cheerful";82,1666666666667;"cheerful";0,103237602293419;"cheerful";0,277033731341362
"circumspect";6;6;0;0;1;"circumspect";4,36149843708902;"circumspect";0,912614717609942;"circumspect";119;"circumspect";0,0291153415453527;"circumspect";0,39055472612381
"civil";11;9;2;10,5;0,818181818181818;"civil";4,40919939764384;"civil";0,910737323615747;"civil";126,666666666667;"civil";0,0239239178330087;"civil";0,396670122941335
"clumsy";11;11;2;32,5;1;"clumsy";4,27898264503883;"clumsy";0,915047758443068;"clumsy";108,333333333333;"clumsy";0,0316807769467738;"clumsy";0,393050501743953
"cold";35;31;6;15,3333333333333;0,885714285714286;"cold";4,1988227846458;"cold";0,916106315258107;"cold";100,428571428571;"cold";0,0371370214764864;"cold";0,381346434354782
"complicated";4;4;0;0;1;"complicated";4,44699726468785;"complicated";0,912167645712413;"complicated";131;"complicated";0,021824686940966;"complicated";0,395040154457092
"confused";25;20;4;26,25;0,8;"confused";4,04962339032432;"confused";0,925327004841;"confused";85,8;"confused";0,0479081883394647;"confused";0,349292540550232
"consistent";8;8;0;0;1;"consistent";3,63651448138448;"consistent";0,96097575258646;"consistent";44;"consistent";0,1;"consistent";0,20052082836628
"constant";47;38;10;4,4;0,808510638297872;"constant";4,12398618266661;"constant";0,915682678217924;"constant";91,6363636363636;"constant";0,0412195878050705;"constant";0,371907450936057
"contented";9;9;0;0;1;"contented";4,26182255254356;"contented";0,908443087046981;"contented";109;"contented";0,0341763499658237;"contented";0,404050022363663
"contrary";27;22;6;10,3333333333333;0,814814814814815;"contrary";3,56858978552661;"contrary";0,952743455526582;"contrary";51,2857142857143;"contrary";0,127823036084351;"contrary";0,237534644348281
"cool";7;7;1;15;1;"cool";4,08090375810296;"cool";0,919815647638466;"cool";85;"cool";0,0437679564765572;"cool";0,345242112874985
"cordial";7;7;2;47,5;1;"cordial";4,13507036437359;"cordial";0,922165928667453;"cordial";96;"cordial";0,0434055685667684;"cordial";0,373945524295171
"covetous";4;4;0;0;1;"covetous";4,13974051447428;"covetous";0,915509525475407;"covetous";92;"covetous";0,0383838383838384;"covetous";0,39919975399971
"cruel";15;14;1;34;0,933333333333333;"cruel";4,08728749526812;"cruel";0,917633501534052;"cruel";88;"cruel";0,0444314535863832;"cruel";0,383278906345367
"cunning";4;4;0;0;1;"cunning";4,43932824657303;"cunning";0,912028110280253;"cunning";130;"cunning";0,0221847269091364;"cunning";0,386474907398224
"curious";13;11;2;30,5;0,846153846153846;"curious";3,94740360131908;"curious";0,931005530870416;"curious";79,6666666666667;"curious";0,0600466401836265;"curious";0,336183746655782
"deep";26;24;7;11,2857142857143;0,923076923076923;"deep";4,13084818299191;"deep";0,918965273017355;"deep";93,125;"deep";0,0427044921246656;"deep";0,356871176511049
"determined";7;7;1;16;1;"determined";3,01750959954232;"determined";0,977731337629795;"determined";28;"determined";0,0473856209150327;"determined";0,0918549448251725
"diligent";12;11;1;41;0,916666666666667;"diligent";4,39293236275367;"diligent";0,91163915538143;"diligent";124;"diligent";0,0263617816727302;"diligent";0,396891698241233
"distant";4;4;1;91;1;"distant";4,06487396155033;"distant";0,929105735299131;"distant";88,5;"distant";0,0490041853426809;"distant";0,35886637866497
"dull";8;8;4;17,25;1;"dull";4,14119328798261;"dull";0,918516662860339;"dull";95,8;"dull";0,0406079219496269;"dull";0,364782160520554
"eager";24;21;6;11,8333333333333;0,875;"eager";4,28594127450617;"eager";0,911338191596006;"eager";111;"eager";0,0314574585849994;"eager";0,402314237185887
"earnest";14;14;3;30,3333333333333;1;"earnest";3,66688825288903;"earnest";0,943977435134978;"earnest";71;"earnest";0,0376998297690896;"earnest";0,250722900032997
"exact";18;15;3;31;0,833333333333333;"exact";3,95399381959731;"exact";0,930985644230449;"exact";77,75;"exact";0,0581703142759393;"exact";0,298953618854284
"excessive";10;8;2;13;0,8;"excessive";3,60395447790906;"excessive";0,944415471815398;"excessive";49,3333333333333;"excessive";0,0862717032071871;"excessive";0,338063965241114
"extravagant";3;3;0;0;1;"extravagant";4,29285110591983;"extravagant";0,908081010178076;"extravagant";113;"extravagant";0,0322128851540616;"extravagant";0,403591692447662
"faithful";35;26;7;16,1428571428571;0,742857142857143;"faithful";4,26929799084538;"faithful";0,917981688980614;"faithful";114,125;"faithful";0,0390342472655399;"faithful";0,380409352481365
"fearful";4;4;0;0;1;"fearful";4,23861807497549;"fearful";0,910755089443774;"fearful";105;"fearful";0,0351966873706004;"fearful";0,410276830196381
