"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"active";8;8;0;0;1;"active";3,2444926304073;"active";0,995824584245608;"active";26;"active";0,00181159420289855;"active";0
"affectionate";8;8;0;0;1;"affectionate";3,2444926304073;"affectionate";0,995824584245608;"affectionate";26;"affectionate";0,00181159420289855;"affectionate";0
"amiable";9;9;0;0;1;"amiable";3,53174962891494;"amiable";0,985553499107927;"amiable";36;"amiable";0,00252525252525253;"amiable";0,0800000131130219
"animated";9;9;0;0;1;"animated";3,53174962891494;"animated";0,985553499107927;"animated";36;"animated";0,00252525252525253;"animated";0,0800000131130219
"benevolent";5;5;0;0;1;"benevolent";1,79175946922805;"benevolent";1;"benevolent";6;"benevolent";0;"benevolent";0
"bitter";8;8;0;0;1;"bitter";3,72473775634318;"bitter";0,984289403194225;"bitter";44;"bitter";0,00255102040816327;"bitter";0,166666656732559
"bright";9;9;1;19;1;"bright";3,27216115803719;"bright";0,993054423344155;"bright";27;"bright";0,00173636188550243;"bright";0,08333333581686
"callous";8;8;0;0;1;"callous";3,2444926304073;"callous";0,995824584245608;"callous";26;"callous";0,00181159420289855;"callous";0
"calm";11;11;0;0;1;"calm";2,89037175789616;"calm";1;"calm";18;"calm";0;"calm";0
"capable";8;8;0;0;1;"capable";3,72473775634318;"capable";0,984289403194225;"capable";44;"capable";0,00255102040816327;"capable";0,166666656732559
"cheerful";1;1;0;0;1;"cheerful";3,29982968566709;"cheerful";0,990284262442701;"cheerful";28;"cheerful";0,00166112956810631;"cheerful";0,16666667163372
"childish";5;5;0;0;1;"childish";1,79175946922805;"childish";1;"childish";6;"childish";0;"childish";0
"cold";27;25;3;15,3333333333333;0,925925925925926;"cold";3,36733287155656;"cold";0,988377728571475;"cold";32,25;"cold";0,00148745773745774;"cold";0,0825000032782555
"confused";8;8;0;0;1;"confused";3,72473775634318;"confused";0,984289403194225;"confused";44;"confused";0,00255102040816327;"confused";0,166666656732559
"constant";11;11;0;0;1;"constant";2,89037175789616;"constant";1;"constant";18;"constant";0;"constant";0
"contented";5;5;0;0;1;"contented";3,86523928925254;"contented";0,973540327364595;"contented";53;"contented";0,00228070175438597;"contented";0,269230753183365
"cordial";11;11;0;0;1;"cordial";2,89037175789616;"cordial";1;"cordial";18;"cordial";0;"cordial";0
"cruel";8;8;0;0;1;"cruel";3,2444926304073;"cruel";0,995824584245608;"cruel";26;"cruel";0,00181159420289855;"cruel";0
"dependent";8;8;0;0;1;"dependent";3,72473775634318;"dependent";0,984289403194225;"dependent";44;"dependent";0,00255102040816327;"dependent";0,166666656732559
"devilish";6;6;0;0;1;"devilish";3,77552077709211;"devilish";0,975284095673106;"devilish";48;"devilish";0,00192307692307692;"devilish";0,25
"distant";12;12;1;22;1;"distant";3,78059875864124;"distant";0,980017272675634;"distant";47,5;"distant";0,00228154642138546;"distant";0,240833327174186
"earnest";8;8;0;0;1;"earnest";3,2444926304073;"earnest";0,995824584245608;"earnest";26;"earnest";0,00181159420289855;"earnest";0
"expressive";9;9;1;63;1;"expressive";2,81410961508368;"expressive";0,987872571078522;"expressive";28,5;"expressive";0,00100603621730382;"expressive";0,157499998807907
"firm";8;8;0;0;1;"firm";3,72473775634318;"firm";0,984289403194225;"firm";44;"firm";0,00255102040816327;"firm";0,166666656732559
"gentle";31;29;3;13,6666666666667;0,935483870967742;"gentle";3,56912519818938;"gentle";0,985237895555217;"gentle";38,5;"gentle";0,00220273601484782;"gentle";0,124166667461395
"gloomy";4;4;0;0;1;"gloomy";3,83645976093931;"gloomy";0,975745142157044;"gloomy";51;"gloomy";0,00201207243460765;"gloomy";0,314999997615814
"heartless";11;11;0;0;1;"heartless";2,89037175789616;"heartless";1;"heartless";18;"heartless";0;"heartless";0
"ignorant";15;13;1;20;0,866666666666667;"ignorant";3,65363520300353;"ignorant";0,980418797390517;"ignorant";42;"ignorant";0,00222416472416472;"ignorant";0,165000006556511
