"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"#-agreeable";8;8;0;0;1;"#-agreeable";4,86117800338884;"#-agreeable";0,954341656294593;"#-agreeable";163;"#-agreeable";0,00129454408511039;"#-agreeable";0,204297512769699
"#-certain";8;8;0;0;1;"#-certain";4,5228813433551;"#-certain";0,960367839258102;"#-certain";111;"#-certain";0,00165118679050568;"#-certain";0,211371511220932
"#-cheerful";8;8;0;0;1;"#-cheerful";4,5228813433551;"#-cheerful";0,960367839258102;"#-cheerful";111;"#-cheerful";0,00165118679050568;"#-cheerful";0,211371511220932
"#-distrustful";12;12;0;0;1;"#-distrustful";3,01494688017959;"#-distrustful";0,990285649671236;"#-distrustful";21;"#-distrustful";0,00264550264550265;"#-distrustful";0
"#-eager";7;7;0;0;1;"#-eager";4,76323778373644;"#-eager";0,954473926039156;"#-eager";147;"#-eager";0,00140080045740423;"#-eager";0,237036645412445
"#-superstitious";9;9;0;0;1;"#-superstitious";4,69182915791374;"#-superstitious";0,953627509668448;"#-superstitious";137;"#-superstitious";0,00191806772436656;"#-superstitious";0,254077106714249
"#-suspicious";3;3;0;0;1;"#-suspicious";4,90193007550528;"#-suspicious";0,953374335297728;"#-suspicious";171;"#-suspicious";0,00113960113960114;"#-suspicious";0,233506932854652
"active";15;15;0;0;1;"active";4,74708795176127;"active";0,953856122801617;"active";145;"active";0,00194491639095055;"active";0,195336222648621
"affirmative";19;18;2;114,5;0,947368421052632;"affirmative";4,44342554152841;"affirmative";0,962495255590778;"affirmative";119;"affirmative";0,00164948328896474;"affirmative";0,174832403659821
"agreeable";12;12;1;56;1;"agreeable";4,27135379777162;"agreeable";0,967156030158453;"agreeable";84;"agreeable";0,00219860069108659;"agreeable";0,108163611032069
"amiable";8;8;0;0;1;"amiable";4,88841829152042;"amiable";0,954030573042734;"amiable";168;"amiable";0,00121075752705454;"amiable";0,236745253205299
"anxious";26;26;2;56;1;"anxious";4,68350966001873;"anxious";0,955521655005927;"anxious";136,333333333333;"anxious";0,00162861972256791;"anxious";0,190122167269389
"argumentative";12;12;0;0;1;"argumentative";3,01494688017959;"argumentative";0,990285649671236;"argumentative";21;"argumentative";0,00264550264550265;"argumentative";0
"awkward";9;9;0;0;1;"awkward";4,65660203369403;"awkward";0,955161755511552;"awkward";131;"awkward";0,00195646183521631;"awkward";0,210077375173569
"bashful";8;8;0;0;1;"bashful";4,88841829152042;"bashful";0,954030573042734;"bashful";168;"bashful";0,00121075752705454;"bashful";0,236745253205299
"bland";12;12;0;0;1;"bland";3,01494688017959;"bland";0,990285649671236;"bland";21;"bland";0,00264550264550265;"bland";0
"blunt";9;9;0;0;1;"blunt";4,32583045573995;"blunt";0,968634002493352;"blunt";87;"blunt";0,00163517441860465;"blunt";0,115226350724697
"boisterous";8;8;0;0;1;"boisterous";4,82234251140058;"boisterous";0,95373973043393;"boisterous";157;"boisterous";0,00135375570511333;"boisterous";0,199410438537598
"bold";17;16;2;67;0,941176470588235;"bold";4,70447427935623;"bold";0,956428915339282;"bold";138,666666666667;"bold";0,0016008948829289;"bold";0,219898511966069
"bright";36;31;3;77,3333333333333;0,861111111111111;"bright";4,38753565294649;"bright";0,963722836756671;"bright";108,75;"bright";0,00199501683020172;"bright";0,166431285440922
"brisk";6;6;0;0;1;"brisk";4,90361231458406;"brisk";0,95262119010949;"brisk";172;"brisk";0,00105607859189521;"brisk";0,256955713033676
"buoyant";10;10;0;0;1;"buoyant";3,68718545135023;"buoyant";0,980321529813181;"buoyant";43;"buoyant";0,00227272727272727;"buoyant";0,122448980808258
"candid";8;8;0;0;1;"candid";4,88841829152042;"candid";0,954030573042734;"candid";168;"candid";0,00121075752705454;"candid";0,236745253205299
