"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"#-inconstant";4;4;0;0;1;"#-inconstant";4,92880864841564;"#-inconstant";0,918529757609357;"#-inconstant";214;"#-inconstant";0,0521251002405774;"#-inconstant";0,327383279800415
"accomplished";16;16;1;20;1;"accomplished";4,80272671515953;"accomplished";0,932757069346764;"accomplished";173;"accomplished";0,0653238686779059;"accomplished";0,274498179554939
"active";44;39;4;14,75;0,886363636363636;"active";4,55687957316324;"active";0,955372022504835;"active";130,4;"active";0,091511438569513;"active";0,28080141544342
"affected";14;13;1;9;0,928571428571429;"affected";4,8703233162852;"affected";0,924632136559554;"affected";194;"affected";0,0574832523924434;"affected";0,298231661319733
"affectionate";14;14;2;16,5;1;"affectionate";4,72074279393021;"affectionate";0,944785781701312;"affectionate";150;"affectionate";0,0817770775287769;"affectionate";0,278944740692775
"agreeable";227;124;28;3,21428571428571;0,54625550660793;"agreeable";4,65074138261184;"agreeable";0,94296615272441;"agreeable";153,48275862069;"agreeable";0,0768312459259324;"agreeable";0,264943443495652
"ambitious";8;8;0;0;1;"ambitious";4,89099121561243;"ambitious";0,921391213560488;"ambitious";202;"ambitious";0,0544753086419753;"ambitious";0,302121013402939
"amiable";70;57;6;12,8333333333333;0,814285714285714;"amiable";4,29799990216367;"amiable";0,951050000751463;"amiable";134,857142857143;"amiable";0,0675312856871543;"amiable";0,24368742108345
"amicable";6;6;0;0;1;"amicable";4,09718761448906;"amicable";0,992743931318411;"amicable";62;"amicable";0,107142857142857;"amicable";0,319444447755814
"animated";9;9;0;0;1;"animated";4,41632033362643;"animated";0,97434603262378;"animated";93;"animated";0,128676470588235;"animated";0,236326515674591
"anxious";137;94;16;5,25;0,686131386861314;"anxious";4,61401524417861;"anxious";0,948531432405858;"anxious";144,058823529412;"anxious";0,079231722156534;"anxious";0,251495221081902
"approachable";4;4;0;0;1;"approachable";3,81343874586123;"approachable";0,996029230984702;"approachable";46;"approachable";0,0666666666666667;"approachable";0
"aristocratic";20;20;0;0;1;"aristocratic";3,55534806148941;"aristocratic";1;"aristocratic";35;"aristocratic";0;"aristocratic";0
"awkward";18;15;2;26;0,833333333333333;"awkward";4,01212981542186;"awkward";0,959631976299166;"awkward";111,666666666667;"awkward";0,0478491221106666;"awkward";0,18167086939017
"benevolent";30;28;1;31;0,933333333333333;"benevolent";4,11819330059499;"benevolent";0,97571714304082;"benevolent";86;"benevolent";0,0453781512605042;"benevolent";0,148341044783592
"bold";7;7;0;0;1;"bold";4,46652119918077;"bold";0,969892755054051;"bold";100;"bold";0,116959064327485;"bold";0,230937495827675
