"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","Crusoe","David Copperfield","Dombey and Son","Emma","Evelina","Frankenstein","Great Expectations","Hard Times","Little Dorrit","Mansfield Park","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Northanger Abbey","Oliver Twist","Our Mutual Friend","Persuasion","Pickwick","Pride and Prejudice","Sense and Sensibility","The Old Curiosity Shop","The unfortunate traveler"
"1","abrasive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","abrupt",55,3,3,2,0,5,2,2,8,1,1,1,2,1,2,3,3,0,2,3,0,3,1,0,7,0
"3","absent-minded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","abstinent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","abstract",16,0,5,0,0,2,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,2,0
"6","abusive",12,0,0,1,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0,1,2,0,0,0
"7","acceptant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","accessible",23,1,0,1,0,1,5,0,0,0,0,2,8,0,0,1,1,0,0,3,0,0,0,0,0,0
"9","accommodating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","accomplished",49,0,1,6,0,1,10,4,1,0,0,1,5,2,1,1,6,0,3,0,2,1,3,1,0,0
"11","accurate",29,1,0,2,0,1,2,0,0,1,2,1,5,1,3,2,2,0,1,1,0,3,1,0,0,0
"12","acid",5,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"13","acquiescent",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","acquisitive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","active",162,4,18,19,0,7,9,7,0,3,1,1,11,10,10,2,12,2,8,7,5,6,4,8,8,0
"16","adaptable",6,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0
"17","adaptive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","adjustable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","adulterous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","adventurous",28,2,3,2,0,2,4,1,0,1,0,0,2,0,0,0,4,0,0,1,0,4,0,0,2,0
"21","affable",45,0,3,7,0,2,5,1,1,0,1,0,9,0,3,1,1,0,0,4,0,4,1,1,1,0
"22","affected",69,0,6,0,0,8,3,1,5,1,0,1,1,5,2,0,8,3,3,0,2,11,4,2,3,0
"23","affectionate",273,5,4,23,1,26,15,7,7,5,4,6,18,13,14,10,22,10,6,13,3,12,16,19,14,0
"24","affirmative",8,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,1,0,0,0,0,0,0
"25","aggressive",5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
"26","agitable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","agitative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","agreeable",550,6,15,47,9,45,21,38,10,5,13,12,37,41,37,5,26,16,7,31,29,29,34,18,19,0
"29","aimful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","aimless",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"31","alarmable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","alert",4,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"33","aloof",21,0,6,3,0,1,1,0,1,0,0,1,2,0,3,0,1,0,1,0,0,1,0,0,0,0
"34","altruistic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","ambitious",28,0,1,2,0,1,8,0,2,0,0,0,0,3,1,0,3,0,2,4,1,0,0,0,0,0
