"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1","abrasive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","abrupt",42,3,3,2,5,2,1,1,2,2,3,3,2,3,3,7
"3","absent-minded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","abstinent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","abstract",16,0,5,0,2,0,0,0,1,1,0,5,0,0,0,2
"6","abusive",7,0,0,1,1,0,0,1,1,0,0,0,0,2,1,0
"7","acceptant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","accessible",23,1,0,1,1,5,0,2,8,0,1,1,0,3,0,0
"9","accommodating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","accomplished",36,0,1,6,1,10,0,1,5,1,1,6,3,0,1,0
"11","accurate",26,1,0,2,1,2,2,1,5,3,2,2,1,1,3,0
"12","acid",5,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0
"13","acquiescent",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"14","acquisitive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","active",123,4,18,19,7,9,1,1,11,10,2,12,8,7,6,8
"16","adaptable",6,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0
"17","adaptive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","adjustable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","adulterous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","adventurous",26,2,3,2,2,4,0,0,2,0,0,4,0,1,4,2
"21","affable",41,0,3,7,2,5,1,0,9,3,1,1,0,4,4,1
"22","affected",46,0,6,0,8,3,0,1,1,2,0,8,3,0,11,3
"23","affectionate",192,5,4,23,26,15,4,6,18,14,10,22,6,13,12,14
"24","affirmative",8,0,0,0,0,0,0,0,2,3,1,1,0,1,0,0
"25","aggressive",5,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0
"26","agitable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","agitative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","agreeable",350,6,15,47,45,21,13,12,37,37,5,26,7,31,29,19
"29","aimful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","aimless",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"31","alarmable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","alert",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"33","aloof",20,0,6,3,1,1,0,1,2,3,0,1,1,0,1,0
"34","altruistic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
