"root_node_id" "tag"
"1" "#-unkind"
"1" "amiable"
"1" "capable"
"1" "cheerful"
"1" "cold"
"1" "constant"
"1" "cunning"
"1" "earnest"
"1" "independent"
"1" "narrow-minded"
"1" "selfish"
"1" "severe"
"1" "steady"
"2" "affectionate"
"2" "clever"
"2" "eager"
"2" "generous"
"2" "good-humored"
"2" "immovable"
"2" "proper"
"2" "prudent"
"2" "ungracious"
"3" "particular"
"3" "quiet"
"3" "serious"
"4" "pleasant"
"4" "unkind"
"4" "unreasonable"
"5" "careless"
"5" "contrary"
"5" "impatient"
"5" "indefatigable"
"5" "maternal"
"5" "natural"
"5" "political"
"5" "solemn"
"5" "unobtrusive"
"5" "violent"
"5" "warm"
"6" "animated"
"6" "certain"
"6" "elegant"
"6" "simple"
"6" "spiritless"
"6" "tame"
"6" "wild"
"7" "#-civil"
"7" "agreeable"
"7" "cordial"
"7" "direct"
"7" "ignorant"
"7" "lively"
"7" "silent"
"7" "unreserved"
"8" "anxious"
"8" "calm"
"8" "dependent"
"8" "distant"
"8" "friendly"
"8" "moderate"
"8" "reasonable"
"8" "uncivil"
"8" "unfeeling"
"9" "kind"
"10" NA
"10" "10"
"11" "civil"
"11" "contented"
"11" "narrow"
"11" "sociable"
"11" "wise"
"12" "chatty"
"12" "formal"
"12" "graceful"
"12" "polite"
"12" "shy"
"13" "boisterous"
"13" "dull"
"13" "gentlemanlike"
"13" "juvenile"
"13" "merry"
"13" "noisy"
"13" "smart"
"13" "unaffected"
"13" "witty"
"14" "loud"
"14" "musical"
"15" "active"
"15" "ill-natured"
"15" "indifferent"
"15" "quick"
"16" "dissatisfied"
"16" "invariable"
"16" "languid"
"16" "restless"
"17" "frank"
"17" "manly"
"18" "intimate"
"18" "jealous"
"18" "sparkling"
"19" "#-silent"
"19" "deceitful"
"19" "sincere"
"19" "worldly"
"20" "#-undiscerning"
"20" "gentle"
"20" "mild"
"20" "prejudiced"
"20" "rash"
"20" "saucy"
"20" "stubborn"
"21" NA
"21" "21"
"22" "careful"
"22" "excessive"
"24" "extravagant"
"24" "faithful"
"24" "imprudent"
"24" "indulgent"
"24" "stable"
"25" "bold"
"25" "inelegant"
"25" "strict"
"27" "impertinent"
"29" "contradictory"
"29" "exact"
"29" "expressive"
"31" "#-uncheerful"
"32" "candid"
"33" "consistent"
"33" "suspicious"
"33" "ungenerous"
"34" "speedy"
"34" "vain"
"36" "#-extravagant"
"37" "#-merry"
"37" "#-shy"
"37" "ingenious"
"37" "negligent"
"37" "steadfast"
"38" "fastidious"
"38" "rugged"
"38" "tidy"
"38" "uncouth"
"39" "communicative"
"39" "confused"
"40" "#-smart"
"40" "genteel"
"41" "loving"
"43" "#-sly"
"43" "good-natured"
"43" "rude"
"44" "#-frank"
"44" "irrational"
"46" "benevolent"
"46" "credulous"
"46" "enthusiastic"
"46" "judicious"
"46" "mischievous"
"46" "philanthropic"
"46" "ungenteel"
"47" "critical"
"47" "playful"
"48" "accomplished"
"48" "petty"
"48" "productive"
"48" "shrewd"
"49" "bashful"
"49" "cautious"
"49" "curious"
"49" "illiterate"
"49" "thorough"
"50" "firm"
"50" "hasty"
"50" "proud"
"51" "compassionate"
"52" "frivolous"
"53" "compliant"
"55" "headstrong"
"55" "observant"
"55" "sly"
"56" "deep"
"56" "modest"
"57" NA
"57" "57"
"58" "irritable"
"60" "solicitous"
"60" "zealous"
"61" "fearful"
"61" "thoughtful"
"62" "negative"
"63" "#-quiet"
"67" "unprincipled"
"68" "considerate"
"68" "foolish"
"68" "gloomy"
"68" "nervous"
"69" "bitter"
"69" "cruel"
"69" "hardened"
"69" "humble"
"70" "insincere"
"71" "discerning"
"71" "insolent"
"73" "#-dull"
"76" "confident"
"76" "impetuous"
"76" "passionate"
"76" "polished"
"77" "awkward"
"77" "fervent"
"77" "inexperienced"
"78" "concise"
"78" "obstinate"
"79" "irresolute"
"80" "submissive"
"81" "gracious"
"82" "hostile"
"83" "inventive"
"83" "leisurely"
"83" "old-fashioned"
"83" "respectful"
"85" "conscientious"
"86" NA
"86" "86"
"87" "#-elegant"
"87" "#-genteel"
"87" "uncordial"
"88" "irrepressible"
"88" "spirited"
"89" "intelligent"
"90" "affable"
"91" "demure"
"91" "high-minded"
"91" "scrupulous"
"94" "#-agreeable"
"94" "hearty"
"94" "unrestrained"
"95" "precise"
"95" "rational"
"96" NA
"96" "96"
"98" "unamiable"
"99" "discreet"
"99" "unchanging"
"100" "blunt"
"100" "complicated"
"100" "dignified"
"100" "honest"
"103" "#-kind"
"104" "#-bright"
"105" "good-hearted"
"106" "vigorous"
"109" "#-ignorant"
"109" "uncheerful"
"110" NA
"110" "110"
"111" "#-contented"
"111" "verbal"
"112" "decisive"
"112" "fanciful"
"112" "inquisitive"
"112" "unfair"
"112" "uninformed"
"117" "inarticulate"
"118" "#-cheerful"
"118" "punctual"
"118" "slow"
"119" "stormy"
"121" "impartial"
"122" "hard-hearted"
"123" "cool"
"123" "feminine"
"123" "vague"
"124" "#-inconstant"
"124" "ingratiating"
"124" "spontaneous"
"124" "undiscerning"
"126" "temperate"
"129" "hospitable"
"130" "fickle"
"130" "genial"
"130" "unguarded"
"131" "fretful"
"132" "sensitive"
"132" "unbiased"
"135" "affirmative"
"135" "economical"
"135" "thoughtless"
"137" "#-inexperienced"
"137" "boyish"
"143" "haughty"
