"terms";"clusters"
"#-wise";6
"abrupt";79
"accessible";74
"accomplished";79
"affected";9
"affectionate";18
"agreeable";20
"aloof";5
"anxious";75
"beneficent";78
"bold";21
"brave";1
"bright";80
"brisk";66
"buoyant";74
"calculating";65
"calm";2
"capable";41
"careless";35
"cautious";10
"certain";74
"chaste";31
"cheerful";3
"childish";61
"cold";35
"compassionate";62
"complacent";52
"complicated";14
"complimentary";58
"confident";32
"confused";54
"constrained";35
"contented";26
"conventional";41
"conversational";45
"cool";8
"cruel";39
"curious";58
"deep";44
"defiant";71
"demonstrative";41
"determined";29
"devilish";42
"dictatorial";28
"dishonest";22
"dissatisfied";43
"doleful";27
"dull";27
"eager";24
"earnest";15
"energetic";9
"exact";14
"expressive";33
"faithful";62
"fanciful";59
"feminine";73
"foolish";41
"formal";59
"friendly";42
"generous";83
"genial";8
"genteel";60
"gentle";32
"graceful";6
"gracious";73
"gruff";77
"hardened";54
"hasty";1
"hearty";23
"heedless";33
"honest";62
"humane";6
"humorous";38
"ignorant";79
"imaginative";67
"impatient";37
"impulsive";25
"indefatigable";59
"indifferent";13
"industrious";36
"inexperienced";18
"kind";75
"ladylike";28
"logical";73
"mild";43
"modest";15
"moral";16
"narrow";11
"natural";19
"nervous";68
"noisy";56
"orderly";5
"particular";57
"patient";68
"pensive";24
"pert";45
"philosophical";8
"pious";5
"pleasant";48
"polite";46
"practical";9
"proud";17
"punctual";81
"quick";63
"quiet";18
"reasonable";73
"resentful";54
"rigid";8
"rugged";49
"shrewd";70
"silent";18
"simple";50
"slow";66
"sprightly";66
"stubborn";45
"sullen";28
"violent";40
"visionary";74
"trustful";6
"timid";43
"wild";4
"tight";9
"intimate";26
"loving";72
"gallant";22
"steady";30
"vain";30
"tender";69
"outspoken";23
"prudent";82
"reserved";35
"rough";13
"vivacious";66
"intellectual";52
"excessive";55
"merciful";55
"predatory";55
"persistent";2
"reliant";2
"serene";51
"fearful";64
"social";14
"stormy";54
"uncommunicative";42
"explosive";53
"languid";53
"original";76
"passive";53
"profound";45
"suspicious";38
"unreasonable";5
"inflexible";7
"zealous";34
"restless";43
"political";60
"inconsiderate";33
"vague";47
"untiring";47
"warm";60
"greedy";67
"maternal";22
"independent";12
"sentimental";73
"serious";41
"lazy";58
"trustworthy";81
"unkind";1
"rude";5
"prompt";32
"strict";32
"vengeful";32
"sunny";12
"respectful";29
"tidy";45
"stern";5
"religious";42
"reproachful";43
"thoughtful";73
"unaccommodating";5
"ungracious";5
