"source" "target" "tag"
9 26 "heroic"
26 36 "heroic"
125 126 "agreeable"
65 133 "eager"
126 143 "agreeable"
143 165 "agreeable"
165 174 "agreeable"
55 209 "warm"
145 210 "proper"
172 214 "particular"
93 214 "vain"
56 215 "intimate"
48 231 "affectionate"
214 236 "vain"
133 254 "eager"
214 306 "particular"
353 400 "impertinent"
38 407 "amiable"
213 438 "pleasant"
174 486 "agreeable"
407 489 "amiable"
489 495 "amiable"
36 511 "heroic"
486 520 "agreeable"
210 538 "proper"
520 539 "agreeable"
236 549 "vain"
505 575 "impatient"
539 591 "agreeable"
591 592 "agreeable"
592 593 "agreeable"
593 598 "agreeable"
598 599 "agreeable"
520 609 "dull"
374 632 "silent"
513 648 "simple"
616 684 "loud"
216 709 "contented"
599 713 "agreeable"
438 720 "pleasant"
713 727 "agreeable"
720 739 "pleasant"
290 749 "wild"
172 770 "constant"
512 771 "lively"
809 811 "anxious"
71 824 "quiet"
727 865 "agreeable"
306 873 "particular"
865 877 "agreeable"
538 880 "proper"
739 884 "pleasant"
215 907 "intimate"
407 928 "bright"
811 959 "anxious"
928 961 "bright"
48 961 "certain"
621 967 "quick"
824 980 "quiet"
961 997 "bright"
219 1001 "smart-looking"
877 1048 "agreeable"
1048 1067 "agreeable"
542 1070 "speedy"
749 1071 "wild"
980 1073 "quiet"
254 1107 "eager"
735 1109 "#-certain"
206 1117 "deep"
1071 1133 "wild"
1042 1134 "rude"
884 1139 "pleasant"
538 1150 "generous"
1067 1157 "agreeable"
709 1157 "contented"
959 1162 "anxious"
1107 1192 "eager"
231 1203 "affectionate"
549 1206 "vain"
324 1208 "indifferent"
31 1209 "jealous"
967 1211 "quick"
257 1214 "ungenerous"
1212 1218 "unkind"
1162 1219 "anxious"
1208 1222 "cold"
1206 1261 "vain"
1235 1268 "obstinate"
880 1268 "proper"
995 1269 "fearful"
1214 1273 "selfish"
1219 1286 "anxious"
232 1296 "graceful"
1268 1328 "proper"
233 1331 "indulgent"
400 1337 "impertinent"
490 1351 "proud"
1337 1364 "impertinent"
50 1375 "wise"
609 1384 "dull"
1157 1388 "contented"
530 1400 "severe"
1261 1401 "vain"
209 1401 "warm"
48 1410 "ignorant"
1269 1417 "fearful"
1380 1418 "solemn"
873 1423 "particular"
1328 1427 "proper"
1134 1445 "rude"
1454 1457 "serious"
1218 1459 "unkind"
151 1464 "natural"
495 1465 "amiable"
1133 1474 "wild"
1139 1481 "pleasant"
1192 1492 "eager"
761 1502 "sly"
1464 1509 "natural"
714 1512 "bold"
1286 1513 "anxious"
1388 1518 "contented"
1203 1534 "affectionate"
1150 1544 "generous"
38 1548 "moderate"
1513 1565 "anxious"
575 1568 "impatient"
648 1577 "simple"
821 1578 "reasonable"
1070 1590 "speedy"
841 1597 "clever"
1398 1606 "foolish"
694 1612 "devilish"
48 1621 "cheerful"
1621 1623 "cheerful"
1577 1630 "simple"
1157 1655 "agreeable"
961 1659 "certain"
770 1674 "constant"
1167 1678 "gentleman-like"
1655 1683 "agreeable"
1699 1712 "cruel"
1423 1734 "particular"
23 1743 "smart"
358 1750 "conceited"
250 1759 "gentle"
1548 1763 "moderate"
1602 1782 "honest"
1659 1790 "certain"
1073 1795 "quiet"
1512 1803 "bold"
1273 1806 "selfish"
771 1811 "lively"
1051 1835 "narrow"
1166 1840 "active"
1492 1840 "eager"
1840 1844 "eager"
1734 1851 "particular"
1606 1855 "foolish"
1790 1857 "certain"
1851 1858 "particular"
1401 1872 "vain"
632 1887 "silent"
1925 1926 "independent"
1209 1938 "jealous"
1857 1943 "certain"
1811 1947 "lively"
1796 1949 "sincere"
1947 1951 "lively"
574 1954 "#-agreeable"
1949 1964 "sincere"
1938 1965 "jealous"
1759 1966 "gentle"
1951 2008 "lively"
1465 2011 "amiable"
1674 2015 "constant"
635 2030 "placid"
648 2031 "judicious"
1417 2035 "fearful"
1683 2052 "agreeable"
1565 2053 "anxious"
697 2071 "frightened"
2075 2077 "gloomy"
684 2093 "loud"
2071 2096 "frightened"
1630 2099 "simple"
4 2103 "considerable"
1418 2111 "solemn"
2111 2116 "solemn"
68 2117 "capable"
1858 2126 "particular"
2053 2129 "anxious"
2126 2133 "particular"
1117 2134 "deep"
2035 2148 "fearful"
2129 2150 "anxious"
2150 2156 "anxious"
2092 2162 "violent"
1375 2162 "wise"
1541 2164 "humble"
2099 2168 "simple"
159 2169 "rational"
2116 2174 "solemn"
1623 2178 "cheerful"
1776 2199 "unsatisfied"
1872 2199 "vain"
1211 2201 "quick"
2156 2206 "anxious"
2199 2206 "vain"
1855 2207 "foolish"
2196 2217 "immovable"
2162 2218 "violent"
2173 2220 "distant"
1222 2222 "cold"
1795 2234 "quiet"
2220 2237 "distant"
997 2239 "bright"
271 2245 "coarse"
2036 2265 "unpleasant"
1208 2274 "indifferent"
1481 2284 "pleasant"
1966 2285 "gentle"
2103 2307 "considerable"
2052 2314 "agreeable"
2031 2320 "judicious"
2206 2324 "anxious"
1962 2347 "careless"
2265 2358 "unpleasant"
2222 2360 "cold"
202 2365 "polite"
2206 2365 "vain"
1887 2377 "silent"
1534 2379 "affectionate"
2015 2382 "constant"
1459 2389 "unkind"
1712 2395 "cruel"
2164 2411 "humble"
1943 2416 "certain"
2201 2416 "quick"
2360 2449 "cold"
2377 2453 "silent"
2148 2455 "fearful"
2077 2455 "gloomy"
2245 2468 "coarse"
1509 2469 "natural"
2449 2483 "cold"
2455 2500 "gloomy"
2455 2501 "fearful"
1118 2506 "resentful"
2239 2515 "bright"
2358 2530 "unpleasant"
2567 2569 "faithful"
2569 2570 "faithful"
2416 2583 "quick"
2382 2588 "constant"
1964 2596 "sincere"
263 2605 "literary"
2570 2628 "faithful"
1457 2635 "serious"
2117 2637 "capable"
2324 2641 "anxious"
1568 2641 "impatient"
1400 2646 "severe"
1782 2660 "honest"
2530 2669 "unpleasant"
2285 2677 "gentle"
2583 2695 "quick"
2168 2732 "simple"
2588 2735 "constant"
2735 2736 "constant"
1926 2754 "independent"
2300 2758 "impartial"
2469 2766 "natural"
2133 2806 "particular"
2314 2822 "agreeable"
2660 2832 "honest"
2284 2832 "pleasant"
2483 2846 "cold"
2513 2849 "confident"
2501 2857 "fearful"
2846 2872 "cold"
708 2885 "impudent"
2365 2892 "vain"
2758 2908 "cool"
2822 2910 "agreeable"
1844 2916 "eager"
2669 2917 "unpleasant"
1544 2919 "generous"
2093 2934 "loud"
2917 2937 "unpleasant"
2453 2940 "silent"
2379 2946 "affectionate"
2940 2946 "silent"
