"","x"
"1","absentmi"
"2","abstinen"
"3","abstract"
"4","abusive"
"5","acceptan"
"6","accessib"
"7","accommod"
"8","accompli"
"9","acid"
"10","acquiesc"
"11","acquisit"
"12","adaptabl"
"13","adaptive"
"14","adjustab"
"15","adultero"
"16","adventur"
"17","affable"
"18","affectio"
"19","affirmat"
"20","aggressi"
"21","agitable"
"22","agitativ"
"23","agreeabl"
"24","aimful"
"25","aimless"
"26","alarmabl"
"27","alert"
"28","altruist"
"29","ambitiou"
"30","amicable"
"31","analytic"
"32","angelic"
"33","antagoni"
"34","anticipa"
"35","antisoci"
"36","apatheti"
"37","apprecia"
"38","approach"
"39","arbitrar"
"40","arbitrat"
"41","argument"
"42","aristocr"
"43","arrogant"
"44","articula"
"45","artistic"
"46","ascendan"
"47","asocial"
"48","assertiv"
"49","assured"
"50","astute"
"51","audaciou"
"52","austere"
"53","authorit"
"54","autocrat"
"55","autonomo"
"56","aweless"
"57","balky"
"58","belliger"
"59","bendable"
"60","benefice"
"61","benevole"
"62","biased"
"63","bigheade"
"64","bigheart"
"65","bigmouth"
"66","bigoted"
"67","bland"
"68","blase"
"69","blasphem"
"70","bluntwit"
"71","blustery"
"72","boastful"
"73","boastles"
"74","boistero"
"75","bookish"
"76","boorish"
"77","bossy"
"78","bountifu"
"79","boyish"
"80","brainy"
"81","brash"
"82","brave"
"83","brawlsom"
"84","brazen"
"85","breezy"
"86","bristly"
"87","broadmin"
"88","broadspo"
"89","broody"
"90","brusque"
"91","brutal"
"92","bubbly"
"93","bullhead"
"94","bullish"
"95","bullying"
"96","buoyant"
"97","business"
"98","busyish"
"99","cagy"
"100","calculab"
"101","calculat"
"102","callous"
"103","candid"
"104","canny"
"105","cantanke"
"106","capricio"
"107","carefree"
"108","careworn"
"109","casual"
"110","catty"
"111","caustic"
"112","cavalier"
"113","censoria"
"114","cerebral"
"115","ceremoni"
"116","changeab"
"117","changele"
"118","charitab"
"119","chatty"
"120","cherubic"
"121","chic"
"122","childlik"
"123","chipper"
"124","chitchat"
"125","chivalro"
"126","choosy"
"127","circumsp"
"128","civilize"
"129","clairvoy"
"130","clannish"
"131","clearcut"
"132","clearhea"
"133","clearsig"
"134","clearthi"
"135","clingy"
"136","cliquish"
"137","closedmi"
"138","closefis"
"139","closemou"
"140","clownish"
"141","clumsy"
"142","cocky"
"143","coercive"
"144","coherent"
"145","coldhear"
"146","combativ"
"147","communic"
"148","companio"
"149","compassl"
"150","compasst"
"151","competit"
"152","complace"
"153","complain"
"154","complais"
"155","complex"
"156","complian"
"157","complica"
