"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1","abrupt",38,3,2,2,5,2,1,1,2,1,2,3,2,3,2,7
"2","absentmi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","abstinen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","abstract",24,0,7,1,3,0,0,0,1,1,0,5,0,0,2,4
"5","abusive",6,0,0,1,1,0,0,1,0,0,0,0,0,2,1,0
"6","acceptan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","accessib",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","accommod",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","accompli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","accurate",23,1,0,1,1,2,1,1,4,3,2,2,1,1,3,0
"11","acid",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"12","acquiesc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","acquisit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","active",104,3,14,18,5,8,1,1,11,7,2,11,5,7,5,6
"15","adaptabl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","adaptive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","adjustab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","adultero",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","adventur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","affable",33,0,2,6,2,4,1,0,8,2,1,1,0,3,3,0
"21","affected",10,0,0,0,2,1,0,0,0,0,0,2,1,0,4,0
"22","affectio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","affirmat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","aggressi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","agitable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","agitativ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","agreeabl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","aimful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","aimless",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"30","alarmabl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","alert",9,1,1,1,0,2,0,0,0,0,0,0,0,4,0,0
"32","aloof",23,0,7,3,1,1,0,0,3,4,0,0,1,2,1,0
"33","altruist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","ambitiou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","amiable",151,2,7,20,15,14,4,2,11,14,3,16,6,9,21,7
"36","amicable",7,0,0,2,0,1,0,0,0,2,1,1,0,0,0,0
"37","amorous",7,0,1,0,0,0,0,0,0,0,0,3,1,0,1,1
"38","analytic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","angelic",11,0,2,0,1,5,0,0,1,1,0,1,0,0,0,0
"40","animated",37,3,0,2,1,4,2,0,2,5,2,3,1,3,8,1
"41","antagoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","anticipa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","antisoci",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","anxious",332,14,18,33,31,21,12,9,29,28,3,40,23,18,27,26
"45","apatheti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","apprecia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","approach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","arbitrar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","arbitrat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","argument",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","aristocr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","arrogant",5,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0
"53","articula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","artistic",5,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
"55","ascendan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","asocial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","assertiv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","assured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","astute",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","audaciou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","austere",3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"62","authorit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","autocrat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","autonomo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","aweless",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","awkward",81,1,4,5,6,4,1,1,5,10,4,17,2,6,12,3
"67","balky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","bashful",27,0,0,2,3,1,1,0,7,4,0,1,1,1,4,2
"69","belliger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","bendable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
