"terms";"clusters"
"#-chatty";51
"#-tender";18
"abusive";11
"accomplished";58
"active";58
"affected";67
"affectionate";41
"agreeable";69
"amiable";24
"anxious";18
"arrogant";58
"authoritative";62
"awkward";63
"benevolent";26
"bold";14
"calm";58
"capable";36
"careful";5
"careless";50
"ceremonious";39
"certain";55
"circumspect";33
"civil";60
"cold";4
"confident";68
"conscientious";12
"constant";29
"cordial";59
"courteous";65
"cruel";18
"curious";56
"decisive";35
"deep";37
"determined";34
"dictatorial";58
"dignified";41
"distant";41
"dull";5
"eager";8
"earnest";70
"elegant";36
"exact";66
"excessive";58
"explicit";23
"extravagant";46
"fastidious";11
"fearful";1
"foolish";4
"friendly";52
"gentle";1
"honest";10
"humble";70
"hypocritical";39
"ignorant";6
"illiterate";56
"impartial";13
"impatient";1
"imprudent";5
"indifferent";7
"indirect";68
"indulgent";12
"intelligent";21
"irreligious";68
"irritable";6
"lively";37
"malicious";18
"mild";22
"moderate";9
"narrow";40
"natural";45
"noisy";48
"overbearing";26
"particular";27
"peevish";19
"pleasant";51
"pompous";2
"proper";61
"proud";4
"prudent";22
"quick";7
"rational";35
"reasonable";54
"restless";31
"rough";2
"serious";35
"severe";48
"silent";30
"steady";13
"suspicious";53
"taciturn";11
"uncivil";5
"unguarded";49
"violent";45
"unaffected";23
"witty";11
"faithful";11
"quarrelsome";58
"generous";57
"insincere";57
"clever";4
"genteel";4
"kind";70
"nervous";70
"selfish";26
"sincere";70
"unpretending";70
"conceited";58
"formal";69
"solemn";39
"cool";58
"intimate";20
"spirited";42
"spiteful";25
"thorough";15
"untidy";15
"polite";64
"unsuspicious";3
"wild";46
"obliging";38
"hasty";58
"negative";35
"intricate";53
"insolent";11
"direct";16
"unbending";16
"ingenious";32
"unrestrained";32
"indelicate";1
"steadfast";67
"quiet";35
"studious";35
"gracious";11
"haughty";58
"original";8
"headstrong";44
"mercenary";44
"unassuming";8
"ostentatious";28
"impertinent";10
"ungovernable";6
"vain";17
"miserly";11
"playful";43
"unreserved";33
"simple";2
"wise";7
"unreasonable";31
"shy";68
"sarcastic";13
"warm";47
"worldly";62
"ungenerous";7
"unsocial";58
