"source" "target" "tag"
3 7 "constant"
24 26 "selfish"
18 29 "capable"
25 43 "amiable"
18 56 "cheerful"
43 84 "generous"
17 106 "unkind"
67 147 "particular"
29 151 "capable"
147 157 "particular"
43 161 "amiable"
40 165 "affectionate"
53 172 "quiet"
172 175 "quiet"
161 180 "amiable"
101 189 "serious"
165 194 "affectionate"
180 198 "amiable"
165 226 "natural"
198 237 "amiable"
194 245 "affectionate"
24 261 "cold"
261 262 "cold"
175 266 "quiet"
11 273 "independent"
237 274 "amiable"
226 278 "natural"
189 287 "certain"
262 297 "cold"
294 297 "friendly"
43 303 "prudent"
213 305 "simple"
16 328 "earnest"
297 332 "cold"
157 333 "particular"
142 345 "pleasant"
26 349 "narrow"
345 358 "pleasant"
333 368 "particular"
297 373 "friendly"
328 375 "earnest"
232 378 "civil"
297 379 "anxious"
332 382 "cold"
368 383 "wise"
368 385 "particular"
349 392 "narrow"
273 395 "independent"
382 399 "cold"
401 402 "unaffected"
402 405 "unaffected"
385 406 "particular"
255 409 "agreeable"
56 409 "cheerful"
242 415 "silent"
399 417 "cold"
406 423 "particular"
284 426 "reasonable"
379 436 "anxious"
297 439 "unfeeling"
417 459 "cold"
7 459 "constant"
151 461 "violent"
431 462 "quick"
459 475 "cold"
245 477 "affectionate"
392 488 "narrow"
380 505 "graceful"
423 512 "particular"
512 517 "manly"
358 518 "pleasant"
518 534 "pleasant"
287 540 "certain"
42 557 "clever"
415 570 "silent"
540 578 "certain"
50 578 "proper"
505 584 "frank"
409 585 "dull"
208 585 "spiritless"
151 587 "capable"
477 593 "affectionate"
462 593 "quick"
278 594 "natural"
419 596 "musical"
587 600 "capable"
375 600 "earnest"
593 605 "lively"
570 605 "silent"
439 606 "indifferent"
594 608 "natural"
189 608 "serious"
605 610 "lively"
600 621 "capable"
475 631 "cold"
274 632 "amiable"
459 640 "constant"
608 640 "serious"
318 644 "kind"
557 651 "clever"
608 656 "natural"
409 664 "agreeable"
605 664 "silent"
480 668 "invariable"
664 671 "agreeable"
426 680 "reasonable"
632 681 "amiable"
606 686 "indifferent"
430 696 "active"
699 704 "stable"
584 723 "frank"
578 728 "certain"
512 737 "particular"
188 756 "warm"
631 757 "cold"
757 758 "cold"
42 763 "eager"
671 787 "agreeable"
758 798 "cold"
656 839 "natural"
422 849 "loud"
640 872 "constant"
600 872 "earnest"
758 874 "bold"
610 877 "lively"
303 889 "prudent"
872 899 "constant"
395 900 "independent"
593 904 "affectionate"
728 905 "certain"
737 906 "particular"
488 919 "narrow"
763 920 "eager"
920 931 "eager"
461 944 "violent"
409 947 "cheerful"
284 949 "dependent"
644 954 "kind"
664 962 "silent"
640 975 "serious"
