"anne_page::stable—generally";"hugh_evans::stable—generally"
"anne_page::stable";"hugh_evans::stable"
"anne_page::careful";"hugh_evans::careful"
"anne_page::indiscretion";"hugh_evans::indiscretion"
"anne_page::consideration";"hugh_evans::consideration"
"anne_page::acquisition";"anne_page::stable"
"anne_page::acquisition";"hugh_evans::acquisition"
"anne_page::acquisition";"hugh_evans::stable"
"anne_page::stable";"hugh_evans::acquisition"
"hugh_evans::acquisition";"hugh_evans::stable"
"anne_page::gallantry";"hugh_evans::gallantry"
"mary_jones::emphatically";"william_meredith::emphatically"
"john_willet::profound";"john_willet::slowness"
"willet::gentleman";"willet::silent"
"john::bright";"john::dull"
"phil_parkes::companions";"phil_parkes::restless"
"phil_parkes::companions";"tom_cobb::companions"
"phil_parkes::companions";"tom_cobb::restless"
"phil_parkes::restless";"tom_cobb::companions"
"phil_parkes::restless";"tom_cobb::restless"
"tom_cobb::companions";"tom_cobb::restless"
"john_willet::awkward";"john_willet::particularly"
"joe::deliberation";"joe::warm"
"joe::#-information";"willet::#-information"
"joe::companions";"joe::deep"
"joe::companions";"joe::profound"
"joe::companions";"willet::companions"
"joe::companions";"willet::deep"
"joe::companions";"willet::profound"
"joe::deep";"joe::profound"
"joe::deep";"willet::companions"
"joe::deep";"willet::deep"
"joe::deep";"willet::profound"
"joe::profound";"willet::companions"
"joe::profound";"willet::deep"
"joe::profound";"willet::profound"
"willet::companions";"willet::deep"
"willet::companions";"willet::profound"
"willet::deep";"willet::profound"
"joe::conciliatory";"joe::talkative"
"haredale::giving";"haredale::stable"
"joe::tough";"parkes::tough"
"phil::abstractedly";"willet::abstractedly"
"joe::naturally";"parkes::naturally"
"john_willet::irreverent";"john_willet::monosyllable"
"john_willet::irreverent";"natur::irreverent"
"john_willet::irreverent";"natur::monosyllable"
"john_willet::monosyllable";"natur::irreverent"
"john_willet::monosyllable";"natur::monosyllable"
"natur::irreverent";"natur::monosyllable"
"john::#-proud";"john::toughness"
"geoffrey::impatient";"geoffrey::polished"
"geoffrey::impatient";"john_willet::impatient"
"geoffrey::impatient";"john_willet::polished"
"geoffrey::impatient";"reuben_haredale::impatient"
"geoffrey::impatient";"reuben_haredale::polished"
"geoffrey::impatient";"solomon_daisy::impatient"
"geoffrey::impatient";"solomon_daisy::polished"
"geoffrey::polished";"john_willet::impatient"
"geoffrey::polished";"john_willet::polished"
"geoffrey::polished";"reuben_haredale::impatient"
"geoffrey::polished";"reuben_haredale::polished"
"geoffrey::polished";"solomon_daisy::impatient"
"geoffrey::polished";"solomon_daisy::polished"
"john_willet::impatient";"john_willet::polished"
"john_willet::impatient";"reuben_haredale::impatient"
"john_willet::impatient";"reuben_haredale::polished"
"john_willet::impatient";"solomon_daisy::impatient"
"john_willet::impatient";"solomon_daisy::polished"
"john_willet::polished";"reuben_haredale::impatient"
"john_willet::polished";"reuben_haredale::polished"
"john_willet::polished";"solomon_daisy::impatient"
"john_willet::polished";"solomon_daisy::polished"
"reuben_haredale::impatient";"reuben_haredale::polished"
"reuben_haredale::impatient";"solomon_daisy::impatient"
"reuben_haredale::impatient";"solomon_daisy::polished"
"reuben_haredale::polished";"solomon_daisy::impatient"
"reuben_haredale::polished";"solomon_daisy::polished"
"solomon_daisy::impatient";"solomon_daisy::polished"
"cobb::forward";"solomon_daisy::forward"
"geoffrey::acquiesced";"geoffrey::property"
"geoffrey::acquiesced";"joe::acquiesced"
"geoffrey::acquiesced";"joe::property"
"geoffrey::acquiesced";"reuben_haredale::acquiesced"
"geoffrey::acquiesced";"reuben_haredale::property"
"geoffrey::acquiesced";"solomon::acquiesced"
"geoffrey::acquiesced";"solomon::property"
"geoffrey::acquiesced";"warren::acquiesced"
"geoffrey::acquiesced";"warren::property"
"geoffrey::property";"joe::acquiesced"
"geoffrey::property";"joe::property"
"geoffrey::property";"reuben_haredale::acquiesced"
"geoffrey::property";"reuben_haredale::property"
"geoffrey::property";"solomon::acquiesced"
"geoffrey::property";"solomon::property"
"geoffrey::property";"warren::acquiesced"
"geoffrey::property";"warren::property"
"joe::acquiesced";"joe::property"
"joe::acquiesced";"reuben_haredale::acquiesced"
"joe::acquiesced";"reuben_haredale::property"
"joe::acquiesced";"solomon::acquiesced"
"joe::acquiesced";"solomon::property"
"joe::acquiesced";"warren::acquiesced"
"joe::acquiesced";"warren::property"
"joe::property";"reuben_haredale::acquiesced"
"joe::property";"reuben_haredale::property"
"joe::property";"solomon::acquiesced"
"joe::property";"solomon::property"
"joe::property";"warren::acquiesced"
