"terms";"clusters"
"#-alone";61
"#-bad";70
"#-beautiful";158
"#-blind";108
"#-clever";50
"#-considerate";32
"#-curious";50
"#-difficult";38
"#-disappointed";45
"#-dumb";74
"#-excited";107
"#-familiar";156
"#-frightening";107
"#-good";143
"#-happy";13
"#-loud";61
"#-old";72
"#-open";33
"#-powerful";40
"#-professional";143
"#-proud";33
"#-rich";43
"#-tired";155
"abnormal";50
"abusive";77
"accomplished";2
"active";49
"admirable";75
"adorable";32
"adventurous";48
"affectionate";60
"afraid";11
"aggravating";40
"agreeable";144
"alcoholic";131
"alone";11
"amazing";126
"amusing";25
"angry";138
"anxious";35
"appealing";131
"appreciative";9
"argumentative";25
"arrogant";20
"artificial";24
"artistic";131
"ashamed";138
"attentive";85
"attractive";82
"average";12
"awake";44
"awful";78
"awkward";109
"bad";114
"bashful";121
"beautiful";83
"big";56
"bitter";152
"blind";128
"bold";23
"bored";20
"boring";94
"brave";103
"bright";11
"brilliant";17
"businesslike";34
"busy";69
"calm";75
"capable";121
"careful";129
"careless";62
"casual";48
"cautious";159
"certain";46
"charming";132
"cheap";118
"cheerful";3
"childish";13
"clean";62
"clever";55
"clumsy";18
"cold";144
"comfortable";115
"comical";136
"compassionate";158
"compatible";14
"competent";119
"complicated";12
"concerned";25
"confident";109
"confused";13
"confusing";107
"conscientious";159
"considerate";98
"consistent";139
"cool";120
"corrupt";119
"courageous";47
"courteous";28
"crazy";21
"cruel";55
"curious";114
"dangerous";30
"daring";47
"decent";28
"delighted";118
"delightful";17
"dependent";146
"depressed";150
"desirable";52
"determined";78
"devoted";65
"difficult";37
"direct";85
"disabled";142
"disappointed";91
"disgusting";43
"distinguished";69
"disturbed";151
"dumb";82
"eager";146
"effective";19
"elderly";125
"embarrassed";54
"encouraging";41
"energetic";27
"enthusiastic";160
"ethical";40
"evil";85
"excellent";134
"exceptional";14
"excited";106
"exciting";33
"exhausted";105
"experienced";63
"expressive";65
"extraordinary";85
"fair";37
"faithful";22
"familiar";115
"famous";5
"fascinating";47
"fat";142
"feminine";27
"fine";110
"firm";29
"foolish";98
"forgetful";143
"forgiving";84
"fortunate";124
"friendly";69
"frightening";48
"furious";112
"generous";22
"gentle";60
"genuine";88
"gifted";123
"glad";46
"gorgeous";36
"graceful";5
"gracious";115
"grateful";16
"greedy";84
"handsome";138
"happy";57
"hard";81
"harmless";105
"healthy";137
"helpful";160
"helpless";28
"homeless";61
"honest";69
"hopeful";16
"humorous";19
"ignorant";134
"imaginative";155
"impatient";129
"important";75
"impressive";24
"impulsive";149
"inconsiderate";43
"independent";13
"inexperienced";127
"influential";10
"informal";4
"innocent";115
"insane";157
"intellectual";140
"intelligent";93
"interested";66
"interesting";71
"irrational";72
"irritable";156
"jealous";71
"joyful";10
"kind";83
"lazy";74
"liberal";1
"lively";58
"lonely";106
"lonesome";116
"loud";120
"lovable";53
"lovely";73
"loving";122
"loyal";12
"lucky";104
"mature";157
"mean";18
"modest";67
"moody";77
"motherly";95
"muscular";34
"natural";11
"neat";26
"needy";80
"negative";145
"nervous";154
"nice";51
"noisy";102
"normal";87
"obnoxious";107
"observant";152
"offensive";151
"open";57
"opinionated";131
"ordinary";29
"original";66
"overworked";70
"passionate";101
"pathetic";74
"patient";141
"peaceful";91
"persistent";72
"persuasive";28
"plain";114
"playful";6
"pleasant";81
"pleased";60
"polite";147
"popular";153
"positive";1
"powerful";90
"practical";135
"prejudiced";23
"preoccupied";8
"presentable";36
"pretty";97
"private";115
"professional";15
"prominent";92
"prompt";116
"proper";138
"prosperous";130
"proud";59
"punctual";96
"quiet";64
"reasonable";31
"rebellious";158
"reckless";140
"reliable";143
"religious";94
"remarkable";22
"respectable";73
"respected";99
"respectful";139
"responsible";49
"rich";59
"ridiculous";141
"romantic";154
"rough";141
"rude";108
"sad";68
"sarcastic";4
"satisfied";132
"scared";103
"secure";61
"selfish";30
"sensible";138
"sensitive";100
"sentimental";117
"serious";89
"shallow";148
"short";46
"shy";150
"sincere";104
"sleepy";41
"slender";140
"slim";116
"smart";54
"social";86
"spontaneous";95
"stable";12
"straightforward";48
"strange";81
"strict";82
"strong";64
"stubborn";95
"stupid";76
"successful";2
"superstitious";79
"surprised";114
"suspicious";113
"sweet";120
"sympathetic";96
"talented";136
"tall";133
"terrible";88
"terrific";125
"thankful";5
"thin";26
"thorough";39
"thoughtful";5
"tiny";102
"tired";65
"tolerant";34
"tough";42
"troubled";51
"trustworthy";140
"uncomfortable";73
"uneducated";96
"unfair";38
"unhappy";55
"unlucky";111
"unreasonable";125
"unusual";56
"useful";49
"valuable";67
"violent";141
"warm";132
"weak";114
"wealthy";51
"well";37
"wise";7
"wonderful";59
"worthy";55
"youthful";86
"weird";42
"unfaithful";87
"traditional";72
"unemployed";79
