"terms";"clusters"
"#-bad";43
"#-certain";90
"#-fine";45
"#-handsome";34
"#-honest";45
"#-interested";98
"#-little";84
"#-mean";91
"#-nice";45
"#-proper";59
"#-serious";13
"#-smart";63
"#-surprised";27
"#-violent";34
"#-young";127
"accomplished";132
"active";128
"admirable";119
"adventurous";97
"affectionate";48
"afraid";130
"aggravating";16
"agreeable";111
"alone";37
"amazing";105
"ambitious";133
"angry";115
"annoying";113
"anxious";92
"argumentative";56
"arrogant";59
"artificial";32
"ashamed";9
"attentive";40
"attractive";56
"average";68
"awake";10
"awful";52
"awkward";106
"bad";55
"bashful";35
"beautiful";81
"big";89
"bitter";146
"blind";95
"bold";103
"brave";127
"bright";17
"brilliant";6
"busy";80
"calm";131
"capable";125
"careful";95
"careless";124
"casual";16
"cautious";102
"certain";112
"charming";124
"cheap";131
"cheerful";118
"childish";97
"chubby";113
"clean";60
"clever";137
"clumsy";72
"cold";81
"comfortable";37
"comical";1
"compassionate";13
"competent";85
"complicated";97
"concerned";16
"confident";117
"confused";124
"confusing";34
"conscientious";59
"considerate";104
"cool";86
"courteous";85
"crazy";10
"critical";101
"cruel";95
"curious";138
"dangerous";61
"decent";121
"delighted";142
"delightful";136
"dependent";64
"depressed";73
"desirable";52
"determined";79
"devoted";137
"difficult";146
"direct";28
"disappointed";26
"disrespectful";8
"distinguished";54
"disturbed";99
"dumb";119
"eager";71
"elderly";125
"embarrassed";64
"embarrassing";67
"encouraging";75
"energetic";35
"entertaining";43
"enthusiastic";139
"evil";128
"excellent";142
"excited";46
"exciting";20
"exhausted";61
"experienced";63
"expressive";141
"extraordinary";36
"fair";116
"faithful";3
"familiar";57
"famous";102
"fascinating";23
"fat";42
"feminine";53
"fine";55
"firm";66
"foolish";106
"fortunate";103
"forward";68
"friendly";89
"funny";109
"furious";19
"generous";145
"gentle";17
"genuine";53
"gifted";122
"glad";81
"gorgeous";143
"graceful";134
"gracious";135
"grateful";18
"greedy";28
"handsome";37
"happy";36
"hard";81
"harmless";117
"healthy";10
"helpless";131
"honest";44
"hopeful";93
"hostile";126
"humorous";29
"ignorant";79
"impatient";30
"important";71
"impressive";28
"inconsiderate";20
"independent";23
"inexperienced";47
"influential";73
"innocent";57
"insane";56
"insulting";63
"intellectual";143
"intelligent";56
"interested";14
"interesting";9
"irritable";88
"irritated";107
"jealous";70
"joyful";62
"kind";114
"laughing";59
"lazy";19
"liberal";93
"lively";141
"logical";113
"lonely";21
"lonesome";87
"loud";116
"lovely";115
"lucky";15
"masculine";68
"mature";25
"mean";89
"modest";132
"moody";77
"motherly";58
"muscular";25
"natural";92
"neat";85
"needy";68
"nervous";33
"nice";135
"noisy";40
"offensive";22
"open";36
"ordinary";136
"original";37
"outstanding";68
"passionate";96
"pathetic";107
"patient";52
"peaceful";123
"persuasive";77
"plain";7
"playful";4
"pleasant";112
"pleased";106
"pleasing";11
"polite";109
"popular";83
"positive";1
"powerful";40
"practical";126
"preoccupied";34
"pretty";111
"private";2
"productive";88
"professional";76
"prominent";35
"prompt";5
"proper";111
"prosperous";75
"proud";130
"punctual";128
"quiet";81
"reasonable";125
"rebellious";144
"reckless";29
"religious";84
"remarkable";12
"respectable";134
"respectful";39
"responsible";79
"rich";44
"ridiculous";83
"romantic";38
"rough";135
"rude";69
"sad";108
"sarcastic";15
"satisfied";140
"scared";58
"secure";99
"selfish";57
"sensible";34
"sensitive";82
"sentimental";100
"serious";65
"shallow";59
"sincere";51
"skilled";69
"skinny";100
"sleepy";78
"slender";110
"slim";100
"sloppy";105
"smart";120
"social";144
"stable";18
"straightforward";101
"strange";129
"strict";76
"strong";36
"stupid";132
"successful";138
"superstitious";99
"surprised";65
"suspicious";38
"sweet";115
"sympathetic";127
"talented";85
"talkative";62
"tall";42
"terrible";3
"terrific";87
"thankful";8
"thin";21
"thorough";50
"thoughtful";86
"thoughtless";145
"tiny";49
"tired";70
"tough";82
"troubled";24
"trustworthy";113
"uncomfortable";120
"unemployed";45
"unfriendly";59
"unhappy";41
"unpopular";27
"unreasonable";105
"unusual";142
"useful";21
"valuable";85
"violent";116
"warm";17
"weak";7
"wealthy";31
"well";30
"wise";94
"witty";90
"wonderful";24
"worthy";92
"youthful";74
