"terms";"clusters"
"affectionate";4
"afraid";2
"agreeable";20
"alone";33
"angry";5
"awful";3
"awkward";24
"bad";30
"beautiful";2
"big";11
"bright";25
"busy";14
"certain";25
"charming";9
"cheerful";39
"childish";27
"clean";14
"cold";30
"confident";42
"confused";14
"conscientious";8
"cool";35
"curious";10
"dangerous";39
"devoted";7
"difficult";38
"excellent";18
"expressive";9
"extraordinary";28
"fair";6
"fine";31
"firm";8
"friendly";43
"generous";5
"gentle";26
"genuine";42
"glad";17
"good";40
"gracious";19
"grateful";21
"great";1
"handsome";41
"happy";4
"hard";33
"healthy";24
"important";31
"innocent";7
"kind";12
"liberal";24
"little";29
"lovely";16
"modest";35
"natural";38
"neat";21
"nice";22
"noisy";18
"old";1
"open";25
"ordinary";34
"original";20
"passionate";32
"pathetic";34
"pleasant";39
"pleased";23
"polite";13
"poor";1
"powerful";16
"pretty";22
"private";24
"proud";38
"quiet";33
"remarkable";12
"respectful";31
"responsible";34
"rich";11
"ridiculous";16
"rough";18
"satisfied";37
"sensible";36
"serious";26
"short";25
"social";21
"strange";33
"strong";33
"sweet";6
"sympathetic";3
"tired";28
"troubled";34
"unhappy";27
"unusual";23
"violent";15
"warm";44
"weak";19
"well";41
"wise";44
"wonderful";11
"worthy";36
"young";40
"youthful";26
